Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,0,18,5,27.8,0.91,0.25,0,0,21.1,3,0,0,1.4,1.4,0.08,-1.4,-1.4
3,Issah Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,3,15,5,33.3,0.47,0.16,0.2,0.6,10.5,0,0,0,1.9,1.9,0.13,+1.1,+1.1
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,0,20,0,0,1.36,0,0,,23.9,1,0,0,1,1,0.05,-1,-1
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,3,29,10,34.5,0.88,0.3,0.1,0.3,26.8,0,0,0,1.5,1.5,0.05,+1.5,+1.5
8,Charles Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,10.1,3,19,4,21.1,1.87,0.39,0.16,0.75,12.5,0,0,0,2.1,2.1,0.11,+0.9,+0.9
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,0,13,3,23.1,0.93,0.21,0,0,13,0,0,0,1.4,1.4,0.11,-1.4,-1.4
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,1,10,2,20,0.74,0.15,0.1,0.5,15.9,0,0,0,0.6,0.6,0.06,+0.4,+0.4
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,10.7,0,0,0,5.9,5.9,0.18,+0.1,+0.1
13,Amir Abrashi,al ALB,MFDF,Freiburg,de Bundesliga,30,1990,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
14,Gennaro Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,4.9,0,9,0,0,1.84,0,0,,25.8,1,0,0,0.3,0.3,0.03,-0.3,-0.3
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,0,9,0,0,0.29,0,0,,13.1,0,0,0,1.1,1.1,0.12,-1.1,-1.1
16,Ragnar Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,1.1,1,2,1,50,1.8,0.9,0.5,1,13.7,0,0,0,0.1,0.1,0.07,+0.9,+0.9
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,1,18,2,11.1,0.7,0.08,0.06,0.5,20.5,0,0,0,1,1,0.05,0,0
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,9,55,31,56.4,1.86,1.05,0.16,0.29,13.8,0,0,0,9.8,9.8,0.18,-0.8,-0.8
19,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,21,1999,20.6,1,7,4,57.1,0.34,0.19,0.14,0.25,17.6,0,0,0,1.3,1.3,0.19,-0.3,-0.3
20,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,5.3,2,23,7,30.4,4.32,1.32,0.09,0.29,15.3,0,0,0,2.1,2.1,0.1,-0.1,-0.1
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,0,18,5,27.8,0.55,0.15,0,0,10.5,0,0,0,1.1,1.1,0.06,-1.1,-1.1
22,Bobby Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,0.4,0,1,0,0,2.5,0,0,,17.1,0,0,0,0.3,0.3,0.34,-0.3,-0.3
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,20,1,0,0,1.9,1.9,0.08,+0.1,+0.1
