Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,34,32,2881,32
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,34,34,2983,33.1
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,31,29,2462,27.4
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,34,34,2956,32.8
2066,João Pedro,it ITA,FW,Cagliari,it Serie A,29,1992,37,37,3323,36.9
2180,Teemu Pukki,fi FIN,FW,Norwich City,eng Premier League,31,1990,37,37,3253,36.1
1341,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,28,1993,37,36,3232,35.9
1298,Joselu,es ESP,FW,Alavés,es La Liga,31,1990,37,35,3122,34.7
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,8,6,560,6.2
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,30,29,2536,28.2
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,13,1,259,2.9
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,1,0,10,0.1
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,31,26,2260,25.1
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,37,36,3084,34.3
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,24,12,1351,15
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,13,2,331,3.7
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,8,2,352,3.9
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,25,13,1256,14
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,36,25,2260,25.1
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,12,4,443,4.9
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,17,6,668,7.4
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,24,17,1616,18
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,4,360,4
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,27,21,1868,20.8
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,23,12,1237,13.7
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,31,31,2735,30.4
137,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,37,36,3087,34.3
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,28,22,2140,23.8
1720,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,22,1998,35,34,3023,33.6
30,Naouirou Ahamada,fr FRA,MFDF,Stuttgart,de Bundesliga,19,2002,3,0,61,0.7
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,15,1350,15
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,25,11,1004,11.2
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,32,30,2637,29.3
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,21,17,1437,16
35,Rayan Aït Nouri,fr FRA,DFMF,Wolves,eng Premier League,20,2001,23,20,1828,20.3
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,24,23,1995,22.2
358,Jarrod Bowen,eng ENG,FW,West Ham,eng Premier League,24,1996,36,34,2983,33.1
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,26,25,2261,25.1
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,25,21,1844,20.5
40,Marley Aké,fr FRA,FWMF,Juventus,it Serie A,20,2001,4,0,77,0.9
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,14,10,923,10.3
105,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,36,34,2971,33
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,7,0,54,0.6
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,8,6,516,5.7
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,10,4,315,3.5
46,Kevin Akpoguma,ng NGA,DFFW,Hoffenheim,de Bundesliga,26,1995,26,19,1527,17
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,30,30,2642,29.4
48,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,4,0,158,1.8
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,23,16,1425,15.8
2828,Ollie Watkins,eng ENG,FW,Aston Villa,eng Premier League,25,1995,35,33,2952,32.8
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,30,30,2644,29.4
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,2,0,22,0.2
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,34,27,2353,26.1
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,28,28,2465,27.4
55,Marc Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,17,11,1132,12.6
1511,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,32,1988,34,34,2946,32.7
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,25,17,1534,17
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,14,12,1105,12.3
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,29,28,2403,26.7
60,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,26,1995,20,11,1065,11.8
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,12,1080,12
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,33,30,2320,25.8
