Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1624,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,24,1995,16.4,492,484,7,1,2,1,9,2,0,0,0,0,409,1,15
1625,Aarón Martín,es ESP,DF,Celta Vigo,es La Liga,23,1997,17.1,866,701,163,24,0,2,54,138,1,0,0,0,675,2,17
1626,Aarón Martín,es ESP,DFFW,Mainz 05,de Bundesliga,23,1997,2.9,173,130,43,1,0,0,21,39,3,0,2,0,120,0,6
1627,Álex Martín,es ESP,DF,Cádiz,es La Liga,22,1998,1.1,41,33,7,3,0,1,3,4,0,0,0,0,31,1,0
1628,Jonas Martin,fr FRA,MF,Rennes,fr Ligue 1,30,1990,5.4,383,369,14,11,0,4,2,1,0,0,0,0,340,0,7
1629,Martinelli,br BRA,FW,Arsenal,eng Premier League,19,2001,6.5,159,155,2,0,1,1,12,1,0,0,0,0,121,2,2
1630,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,27,1992,38,1319,923,388,135,0,1,0,0,0,0,0,0,880,8,0
1631,Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,29,1991,28,1472,1377,88,79,1,37,10,9,0,0,0,0,1208,7,9
1632,Javi Martínez,es ESP,MFFW,Osasuna,es La Liga,20,1999,5.1,157,154,2,0,0,1,7,0,0,0,0,0,104,1,3
1633,Javi Martínez,es ESP,DFMF,Bayern Munich,de Bundesliga,31,1988,5.2,390,382,7,5,0,2,2,2,0,0,0,0,347,1,1
1634,Josep Martinez,es ESP,GK,RB Leipzig,de Bundesliga,22,1998,1,50,43,7,1,0,1,0,0,0,0,0,0,38,0,0
1635,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,22,1997,28.5,566,558,8,0,1,7,12,3,0,0,0,0,380,0,28
1636,Pablo Martinez,fr FRA,DF,Nîmes,fr Ligue 1,31,1989,6,297,281,15,13,0,11,0,2,0,0,0,0,245,1,1
1637,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,24,1996,16.5,830,775,52,26,0,16,5,26,0,0,0,0,667,3,5
1638,Gelson Martins,pt POR,MFFW,Monaco,fr Ligue 1,25,1995,17.2,624,618,5,2,1,0,28,2,0,0,0,0,516,1,13
1639,Adam Marušić,me MNE,DF,Lazio,it Serie A,27,1992,33,1578,1383,192,23,0,6,64,168,0,0,0,0,1312,3,28
1640,Sylvain Marveaux,fr FRA,MFFW,Lorient,fr Ligue 1,34,1986,2.2,90,84,6,1,0,0,2,1,1,1,0,0,72,0,1
1641,Marvin,es ESP,DFMF,Real Madrid,es La Liga,20,2000,1.5,85,74,10,0,0,0,4,10,0,0,0,0,68,1,3
1642,Omar Mascarell,es ESP,MF,Schalke 04,de Bundesliga,27,1993,19.6,894,849,40,31,1,14,16,0,9,5,4,0,725,5,18
1643,Andrea Masiello,it ITA,DF,Genoa,it Serie A,34,1986,28.5,1422,1359,58,43,0,30,8,15,0,0,0,0,1185,5,4
1644,Jordi Masip,es ESP,GK,Valladolid,es La Liga,31,1989,25,802,492,304,87,0,1,0,0,0,0,0,0,422,6,0
1645,Roberto Massimo,de GER,DFFW,Stuttgart,de Bundesliga,19,2000,8.4,286,234,50,0,1,0,10,49,0,0,0,0,215,2,12
1646,Giuseppe Mastinu,it ITA,FW,Spezia,it Serie A,28,1991,0.4,12,12,0,0,0,0,0,0,0,0,0,0,9,0,0
1647,Arthur Masuaku,cd COD,DFMF,West Ham,eng Premier League,26,1993,11.2,566,517,46,0,0,4,41,46,0,0,0,0,443,3,21
1648,Jaime Mata,es ESP,FW,Getafe,es La Liga,31,1988,22.6,598,571,25,0,0,2,35,9,0,0,0,0,389,2,22
1649,Juan Mata,es ESP,FWMF,Manchester Utd,eng Premier League,32,1988,5.7,300,283,16,5,2,3,13,0,8,2,5,1,249,1,7
1650,Pape Matar Sarr,sn SEN,MF,Metz,fr Ligue 1,17,2002,17.7,937,914,21,17,0,20,5,0,4,0,1,0,794,2,17
1651,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,18,2002,3.5,88,86,2,2,0,0,0,0,0,0,0,0,69,0,0
1652,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,23,1997,2.5,49,47,1,0,0,0,1,0,0,0,0,0,29,1,2
1653,Jean-Philippe Mateta,fr FRA,FW,Mainz 05,de Bundesliga,23,1997,11.1,238,208,29,0,0,0,4,0,0,0,0,0,168,1,8
1654,Nemanja Matić,rs SRB,MF,Manchester Utd,eng Premier League,31,1988,12.3,1026,984,39,36,1,11,4,3,0,0,0,0,921,3,7
1655,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,28,1991,7.7,546,532,14,14,1,2,0,0,0,0,0,0,479,0,0
1656,Rabbi Matondo,wls WAL,FWMF,Schalke 04,de Bundesliga,19,2000,2.4,41,41,0,0,0,1,0,0,0,0,0,0,34,0,0
1657,Ryder Matos,br BRA,MF,Udinese,it Serie A,27,1993,0.1,8,8,0,0,0,0,2,0,0,0,0,0,6,0,0
1658,Henning Matriciani,de GER,DF,Schalke 04,de Bundesliga,20,2000,0.3,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
1659,Chrislain Matsima,fr FRA,DFFW,Monaco,fr Ligue 1,18,2002,3.9,267,255,11,6,0,2,1,5,0,0,0,0,235,1,1
1660,Federico Mattiello,it ITA,DF,Spezia,it Serie A,25,1995,0.4,41,34,7,0,0,1,2,7,0,0,0,0,27,0,2
1661,Neal Maupay,fr FRA,FWMF,Brighton,eng Premier League,23,1996,27.9,672,599,71,7,3,4,11,9,0,0,0,0,520,2,26
1662,Tony Mauricio,fr FRA,MF,Lens,fr Ligue 1,26,1994,5.6,324,271,53,18,1,5,42,2,33,14,13,0,256,0,7
1663,Stephy Mavididi,eng ENG,FWMF,Montpellier,fr Ligue 1,22,1998,22.6,494,480,11,0,0,3,30,6,0,0,0,0,377,3,24
1664,Konstantinos Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,22,1997,16.3,1081,931,146,42,0,27,5,104,0,0,0,0,848,4,14
1665,Eric Maxim Choupo-Moting,cm CMR,FWMF,Bayern Munich,de Bundesliga,31,1989,9.1,222,214,7,0,1,0,2,1,0,0,0,0,174,1,12
1666,Borja Mayoral,es ESP,FW,Roma,it Serie A,23,1997,17.2,372,342,30,2,0,7,7,2,1,0,0,0,291,0,11
1667,Borja Mayoral,es ESP,FW,Real Madrid,es La Liga,23,1997,0.3,5,5,0,0,0,1,0,0,0,0,0,0,3,0,0
1668,Youssef Maziz,fr FRA,MFFW,Metz,fr Ligue 1,22,1998,2.9,120,99,21,8,1,1,10,0,6,3,2,0,90,0,1
1669,Antonio Mazzotta,it ITA,DF,Crotone,it Serie A,30,1989,0.6,11,10,1,0,0,0,2,1,0,0,0,0,7,0,0
1670,Kevin Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,25,1995,18.2,1035,857,172,2,0,5,68,170,0,0,0,0,702,6,34
1671,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,21,1998,26.4,1024,971,51,3,1,5,53,17,17,5,0,0,789,2,29
1672,Ibrahima Mbaye,sn SEN,DF,Bologna,it Serie A,25,1994,4.8,210,169,41,3,0,1,2,38,0,0,0,0,170,0,3
1673,Jean-Manuel Mbom,de GER,MFDF,Werder Bremen,de Bundesliga,20,2000,12.9,365,337,27,2,1,4,20,25,0,0,0,0,245,1,16
1674,Nathanael Mbuku,fr FRA,MFFW,Reims,fr Ligue 1,18,2002,24.6,578,549,24,4,4,2,43,3,14,8,3,0,439,5,13
1675,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,32,1987,16.3,795,738,54,17,0,3,10,10,0,0,0,0,643,3,22
1676,Oliver McBurnie,sct SCO,FW,Sheffield Utd,eng Premier League,24,1996,14.7,447,442,2,1,1,0,4,0,0,0,0,0,253,3,14
1677,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,30,1989,30,1080,801,270,99,0,7,0,0,0,0,0,0,700,9,1
1678,James McCarthy,ie IRL,MF,Crystal Palace,eng Premier League,29,1990,9.1,342,329,13,7,0,3,11,0,6,2,0,4,258,0,4
1679,John McGinn,sct SCO,MF,Aston Villa,eng Premier League,25,1994,37,1439,1351,73,34,6,26,52,5,13,6,3,1,1102,15,22
