Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
614,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,24,1993,25.8,47,33,13,21,13,24,5,19,28,75,70,1
615,Tom Davies,eng ENG,MF,Everton,eng Premier League,19,1998,21.1,30,20,14,11,5,19,5,14,24,54,21,0
616,Steven Davis,nir NIR,MF,Southampton,eng Premier League,32,1985,16.9,30,21,10,17,3,22,6,16,15,45,24,1
617,Salem Al-Dawsari,sa KSA,MF,Villarreal,es La Liga,25,1991,0.4,1,0,0,1,0,1,0,1,0,1,0,0
618,Craig Dawson,eng ENG,DF,West Brom,eng Premier League,27,1990,27.9,38,28,25,7,6,39,26,13,52,90,140,0
619,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,26,1991,34.1,62,43,23,25,14,45,2,43,25,87,14,2
620,Sebastien De Maio,fr FRA,DF,Bologna,it Serie A,30,1987,22.8,26,17,15,11,0,35,18,17,36,62,147,0
621,Rodrigo De Paul,ar ARG,FWMF,Udinese,it Serie A,23,1994,25.8,31,18,10,17,4,34,1,33,16,47,8,0
622,Daniele De Rossi,it ITA,MF,Roma,it Serie A,34,1983,20.3,23,13,12,9,2,18,13,5,43,66,45,2
623,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,24,1992,10.8,22,17,7,13,2,12,2,10,14,36,32,0
624,Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,29,1988,32.8,39,25,19,13,7,47,10,37,27,66,165,0
625,Lucas Deaux,fr FRA,MF,Guingamp,fr Ligue 1,28,1988,21.6,62,45,21,37,4,41,6,35,32,94,19,0
626,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,1985,14.6,34,25,22,8,4,16,10,6,27,61,73,0
627,Troy Deeney,eng ENG,FW,Watford,eng Premier League,29,1988,20.5,15,11,3,8,4,14,1,13,5,20,20,0
628,Jermain Defoe,eng ENG,FW,Bournemouth,eng Premier League,34,1982,12.1,12,9,2,6,4,10,0,10,4,16,1,0
629,Steven Defour,be BEL,MF,Burnley,eng Premier League,29,1988,22.2,33,22,12,18,3,35,7,28,46,79,25,0
630,Grégoire Defrel,mq MTQ,FWMF,Roma,it Serie A,26,1991,5.4,8,3,1,1,6,5,0,5,3,11,6,0
631,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,21,1995,5,9,7,5,3,1,8,0,8,4,13,12,0
632,Lorenzo Del Pinto,it ITA,MF,Benevento,it Serie A,27,1990,8.4,23,17,10,10,3,13,4,9,16,39,7,2
633,Damien Delaney,ie IRL,DF,Crystal Palace,eng Premier League,36,1981,1.1,2,1,2,0,0,5,4,1,3,5,7,0
634,Thomas Delaney,dk DEN,MF,Werder Bremen,de Bundesliga,25,1991,31.1,79,61,27,46,6,37,12,25,43,122,74,4
635,Jonathan Delaplace,fr FRA,MF,Caen,fr Ligue 1,31,1986,6.5,10,8,1,8,1,13,5,8,8,18,8,0
636,Cristian Dell'Orco,it ITA,DF,Sassuolo,it Serie A,23,1994,4.7,4,1,1,2,1,5,1,4,10,14,19,0
637,Andy Delort,dz ALG,FW,Toulouse,fr Ligue 1,25,1991,25.9,20,13,2,9,9,10,0,10,12,32,22,0
638,Fabian Delph,eng ENG,DF,Manchester City,eng Premier League,27,1989,19.3,46,34,21,16,9,16,0,16,30,76,42,2
639,Mousa Dembélé,be BEL,MF,Tottenham,eng Premier League,30,1987,20.9,36,24,19,11,6,20,0,20,33,69,15,0
640,Ousmane Dembélé,fr FRA,FWMF,Barcelona,es La Liga,20,1997,10.3,10,7,2,5,3,8,0,8,5,15,2,0
641,Jessy Deminguet,fr FRA,MFFW,Caen,fr Ligue 1,19,1998,5.9,12,9,4,6,2,5,0,5,10,22,13,0
642,Kerem Demirbay,de GER,MF,Hoffenheim,de Bundesliga,24,1993,13.5,38,30,15,17,6,21,3,18,14,52,21,0
643,Ermedin Demirović,ba BIH,FW,Alavés,es La Liga,19,1998,2,1,1,0,1,0,5,0,5,0,1,2,0
644,Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,25,1991,25.4,81,57,29,48,4,31,3,28,48,129,29,0
645,Fabio Depaoli,it ITA,DFMF,Chievo,it Serie A,20,1997,13.2,31,22,21,7,3,27,10,17,15,46,42,0
646,Mathieu Deplagne,fr FRA,DF,Troyes,fr Ligue 1,25,1991,26.8,52,38,33,14,5,26,10,16,60,112,95,2
647,Laurent Depoitre,be BEL,FW,Huddersfield,eng Premier League,28,1988,20.2,14,8,4,8,2,15,3,12,11,25,36,0
648,Mike van der Hoorn,nl NED,DF,Swansea City,eng Premier League,24,1992,21.6,32,22,23,8,1,24,14,10,39,71,127,0
649,Gregory van der Wiel,nl NED,DF,Cagliari,it Serie A,29,1988,3.2,5,3,4,1,0,1,0,1,10,15,12,0
650,Daniele Dessena,it ITA,MFDF,Cagliari,it Serie A,30,1987,6.4,18,10,12,5,1,7,1,6,6,24,17,0
651,Mattia Destro,it ITA,FW,Bologna,it Serie A,26,1991,18,15,13,4,9,2,10,1,9,5,20,26,0
652,Gerard Deulofeu,es ESP,FWMF,Watford,eng Premier League,23,1994,4.8,5,3,2,2,1,0,0,0,4,9,3,1
653,Gerard Deulofeu,es ESP,MFFW,Barcelona,es La Liga,23,1994,5.6,8,5,6,1,1,2,0,2,8,16,0,0
654,Gianluca Di Chiara,it ITA,DF,Benevento,it Serie A,23,1993,11.2,26,19,18,6,2,10,3,7,11,37,37,1
655,Federico Di Francesco,it ITA,FWDF,Bologna,it Serie A,23,1994,17.7,26,13,14,8,4,24,2,22,16,42,25,0
656,Davide Di Gennaro,it ITA,MF,Lazio,it Serie A,29,1988,0.1,1,0,1,0,0,0,0,0,0,1,0,0
657,Ángel Di María,ar ARG,FW,Paris S-G,fr Ligue 1,29,1988,23.5,13,10,5,3,5,18,2,16,10,23,8,0
658,Franco Di Santo,ar ARG,FWMF,Schalke 04,de Bundesliga,28,1989,18.4,17,13,3,13,1,12,1,11,2,19,24,0
659,Cheick Diabaté,ml MLI,FW,Benevento,it Serie A,29,1988,7.4,1,1,0,1,0,2,0,2,0,1,6,0
660,Fousseni Diabaté,ml MLI,MFFW,Leicester City,eng Premier League,21,1995,6.5,9,6,5,3,1,6,0,6,8,17,8,0
661,Moussa Diaby,fr FRA,MF,Crotone,it Serie A,18,1999,0.8,1,0,1,0,0,1,0,1,1,2,0,0
662,Fallou Diagne,sn SEN,DFMF,Metz,fr Ligue 1,27,1989,24.9,33,20,21,12,0,33,18,15,46,79,116,3
663,Adama Diakhaby,fr FRA,FW,Monaco,fr Ligue 1,21,1996,9.4,23,15,6,12,5,13,0,13,13,36,5,0
664,Mouctar Diakhaby,gn GUI,DF,Lyon,fr Ligue 1,20,1996,8.1,10,6,7,3,0,14,9,5,12,22,52,1
665,Abdou Diallo,sn SEN,DF,Mainz 05,de Bundesliga,21,1996,26.8,75,53,45,25,5,37,14,23,50,125,75,0
666,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,25,1992,3,0,0,0,0,0,0,0,0,0,0,4,1
667,Habib Diallo,sn SEN,FWMF,Metz,fr Ligue 1,22,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0
668,Mustapha Diallo,sn SEN,MF,Guingamp,fr Ligue 1,31,1986,15.4,48,36,15,29,4,20,4,16,20,68,29,0
669,Mohamed Diamé,sn SEN,MF,Newcastle Utd,eng Premier League,30,1987,22.7,89,64,33,48,8,44,7,37,48,137,30,2
670,Lassana Diarra,fr FRA,MF,Paris S-G,fr Ligue 1,32,1985,6.7,12,4,4,7,1,3,1,2,6,18,6,0
671,Amadou Diawara,gn GUI,MF,Napoli,it Serie A,20,1997,7.3,11,9,3,7,1,12,2,10,9,20,5,0
672,Brahim Díaz,es ESP,FWDF,Manchester City,eng Premier League,17,1999,0.6,1,0,1,0,0,3,0,3,1,2,0,0
673,Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,27,1989,30.9,71,51,45,22,4,52,26,26,58,129,148,0
674,Daniel Didavi,de GER,MF,Wolfsburg,de Bundesliga,27,1990,24.9,34,19,10,19,5,20,1,19,7,41,12,0
675,Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,21,1995,9,0,0,0,0,0,0,0,0,0,0,5,2
676,Étienne Didot,fr FRA,MF,Guingamp,fr Ligue 1,34,1983,18,54,33,20,33,1,21,7,14,19,73,29,0
677,Adrián Diéguez,es ESP,DF,Alavés,es La Liga,21,1996,4.8,10,5,5,5,0,5,0,5,11,21,24,1
678,Dennis Diekmeier,de GER,DF,Hamburger SV,de Bundesliga,27,1989,20.8,47,43,31,10,6,22,11,11,16,63,50,0
679,Eric Dier,eng ENG,MFDF,Tottenham,eng Premier League,23,1994,31.4,61,43,15,39,7,32,11,21,48,109,93,7
680,Lucas Digne,fr FRA,DF,Barcelona,es La Liga,24,1993,7.8,22,17,13,6,3,15,3,12,12,34,18,0
681,Landry Dimata,be BEL,FW,Wolfsburg,de Bundesliga,19,1997,10,7,6,4,3,0,6,2,4,2,9,5,0
682,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,26,1991,13.2,25,20,12,9,4,12,0,12,12,37,16,1
683,Ismaël Diomandé,ci CIV,DFMF,Caen,fr Ligue 1,24,1992,7.9,14,8,7,6,1,11,5,6,5,19,20,0
684,Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,24,1992,10.3,3,0,1,2,0,5,1,4,1,4,8,0
685,Issa Diop,fr FRA,DF,Toulouse,fr Ligue 1,20,1997,34,58,43,35,22,1,38,25,13,76,134,128,0
686,Papakouli Diop,sn SEN,MF,Espanyol,es La Liga,31,1986,2.9,5,3,1,3,1,5,2,3,6,11,6,0
687,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,31,1986,10.4,26,20,6,16,4,3,0,3,13,39,10,0
688,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,19,1997,14.9,32,21,14,14,4,29,2,27,11,43,16,2
689,Djené,tg TOG,DF,Getafe,es La Liga,25,1991,36,87,65,71,15,1,33,14,19,78,165,190,1
690,Koffi Djidji,ci CIV,DF,Nantes,fr Ligue 1,24,1992,26.8,55,39,32,20,3,34,15,19,45,100,126,0
691,Alexander Djiku,gh GHA,DF,Caen,fr Ligue 1,22,1994,28,65,43,52,11,2,34,5,29,57,122,155,2
692,Papy Djilobodji,sn SEN,DF,Dijon,fr Ligue 1,28,1988,30,45,29,34,11,0,38,25,13,71,116,211,5
693,Berat Djimsiti,al ALB,DF,Benevento,it Serie A,24,1993,30,32,17,28,4,0,37,23,14,62,94,178,1
694,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,25,1992,36,4,4,4,0,0,1,0,1,2,6,26,2
695,Keagan Dolly,za RSA,MFFW,Montpellier,fr Ligue 1,24,1993,9.8,12,7,2,7,3,11,0,11,1,13,2,0
696,Jaume Doménech,es ESP,GK,Valencia,es La Liga,26,1990,5,0,0,0,0,0,0,0,0,0,0,2,0
697,Jean-Luc Dompé,fr FRA,FW,Amiens,fr Ligue 1,21,1995,0.3,0,0,0,0,0,0,0,0,0,0,0,0
698,Giulio Donati,it ITA,DFFW,Mainz 05,de Bundesliga,27,1990,25.4,56,42,30,21,5,38,8,30,35,91,66,1
699,Ji Dong-won,kr KOR,FWMF,Augsburg,de Bundesliga,26,1991,0.2,2,1,0,1,1,1,1,0,1,3,0,0
700,Anastasios Donis,gr GRE,MFFW,Stuttgart,de Bundesliga,20,1996,10.5,20,14,10,6,4,2,0,2,9,29,7,0
701,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,18,1999,38,1,0,1,0,0,0,0,0,1,2,13,8
702,Godfred Donsah,gh GHA,MF,Bologna,it Serie A,21,1996,19.9,29,20,11,14,4,25,0,25,22,51,43,0
703,Dória,br BRA,DF,Marseille,fr Ligue 1,22,1994,0.9,2,2,0,2,0,3,1,2,1,3,1,0
704,Niklas Dorsch,de GER,MF,Bayern Munich,de Bundesliga,19,1998,1,1,1,0,1,0,0,0,0,1,2,0,0
705,Gabriel Dos Santos,br BRA,DF,Troyes,fr Ligue 1,19,1997,0.9,1,1,1,0,0,2,1,1,0,1,4,1
706,Mauro dos Santos,ar ARG,DF,Leganés,es La Liga,28,1989,10.9,16,14,11,5,0,7,5,2,12,28,53,1
707,Mathieu Dossevi,tg TOG,FWMF,Metz,fr Ligue 1,29,1988,27.9,35,25,15,15,5,24,3,21,28,63,12,0
708,Abdoulaye Doucouré,ml MLI,MF,Watford,eng Premier League,24,1993,36.9,79,52,28,42,9,43,10,33,54,133,61,0
709,Cheick Doukouré,ci CIV,MF,Levante,es La Liga,24,1992,11.4,34,19,18,15,1,15,4,11,14,48,4,0
710,Mohamed Dräger,tn TUN,MFFW,Freiburg,de Bundesliga,21,1996,0.6,0,0,0,0,0,1,0,1,0,0,0,0
711,Aleksandar Dragović,at AUT,DF,Leicester City,eng Premier League,26,1991,8.5,13,10,13,0,0,16,8,8,16,29,46,0
712,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,26,1991,0.5,0,0,0,0,0,0,0,0,0,0,0,1
713,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,19,1997,2.4,0,0,0,0,0,0,0,0,0,0,0,1
714,Boukary Dramé,sn SEN,DFMF,SPAL,it Serie A,32,1985,1.1,1,1,1,0,0,0,0,0,2,3,4,0
715,Julian Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,23,1993,18.9,20,14,4,13,3,18,2,16,28,48,8,0
716,Danny Drinkwater,eng ENG,MF,Chelsea,eng Premier League,27,1990,5.9,15,10,6,8,1,10,2,8,8,23,7,0
717,Josip Drmić,ch SUI,FWMF,M'Gladbach,de Bundesliga,24,1992,5.2,0,0,0,0,0,1,0,1,0,0,1,1
718,Rick van Drongelen,nl NED,DF,Hamburger SV,de Bundesliga,18,1998,16,30,25,23,7,0,20,11,9,19,49,58,1
719,Óscar Duarte,cr CRC,DF,Espanyol,es La Liga,28,1989,11,12,9,8,4,0,8,8,0,9,21,60,2
720,Rubén Duarte,es ESP,DF,Alavés,es La Liga,21,1995,23.8,76,40,42,27,7,40,10,30,44,120,94,0
721,Leo Dubois,fr FRA,DF,Nantes,fr Ligue 1,22,1994,33.6,50,39,33,15,2,47,13,34,50,100,99,2
722,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,28,1989,12,0,0,0,0,0,0,0,0,0,0,3,2
723,Ondrej Duda,sk SVK,MF,Hertha BSC,de Bundesliga,22,1994,8.3,16,12,7,6,3,15,0,15,4,20,8,0
724,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,25,1992,36.6,31,19,22,9,0,66,59,7,50,81,332,5
725,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,25,1991,17.8,28,19,21,7,0,27,10,17,23,51,107,1
726,Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,24,1993,21.6,39,29,16,18,5,32,2,30,19,58,29,1
727,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,25,1991,38,67,33,49,18,0,73,58,15,71,138,230,2
728,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,24,1993,1,0,0,0,0,0,0,0,0,0,0,2,0
729,Jimmy Durmaz,se SWE,MFFW,Toulouse,fr Ligue 1,28,1989,11.4,16,9,5,5,6,2,0,2,14,30,9,0
730,Riza Durmisi,dk DEN,DF,Betis,es La Liga,23,1994,23.1,39,21,24,14,1,18,7,11,15,54,65,1
731,Hugo Duro,es ESP,FW,Getafe,es La Liga,17,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0
732,Noë Dussenne,be BEL,FW,Crotone,it Serie A,25,1992,0.9,2,0,2,0,0,0,0,0,1,3,8,0
733,Paulo Dybala,ar ARG,MFFW,Juventus,it Serie A,23,1993,26.1,19,11,4,10,5,22,0,22,12,31,4,0
734,Nathan Dyer,eng ENG,MFFW,Swansea City,eng Premier League,29,1987,14.5,22,16,8,9,5,13,0,13,11,33,3,0
735,Edin Džeko,ba BIH,FW,Roma,it Serie A,31,1986,33.5,15,10,1,9,5,9,1,8,4,19,36,0
736,Blerim Džemaili,ch SUI,MFFW,Bologna,it Serie A,31,1986,13.3,27,19,11,15,1,15,4,11,18,45,11,0
737,Félix Eboa Eboa,cm CMR,DF,Guingamp,fr Ligue 1,20,1997,16.9,19,11,12,7,0,21,11,10,39,58,119,2
738,Éder,it ITA,FWMF,Inter,it Serie A,30,1986,8.9,10,7,2,4,4,6,1,5,5,15,4,0
739,Simone Edera,it ITA,FWMF,Torino,it Serie A,20,1997,3.6,6,2,2,4,0,0,0,0,2,8,1,0
740,Ederson,br BRA,GK,Manchester City,eng Premier League,23,1993,35.5,1,1,1,0,0,1,0,1,0,1,15,6
741,Tom Edwards,eng ENG,DFMF,Stoke City,eng Premier League,18,1999,5.3,15,9,10,5,0,5,2,3,5,20,20,0
742,Mandela Egbo,eng ENG,DFMF,M'Gladbach,de Bundesliga,19,1997,0.1,0,0,0,0,0,0,0,0,0,0,2,0
743,Johannes Eggestein,de GER,FWDF,Werder Bremen,de Bundesliga,19,1998,1.1,0,0,0,0,0,2,1,1,1,1,0,0
744,Maximilian Eggestein,de GER,MF,Werder Bremen,de Bundesliga,20,1996,29.9,70,48,32,34,4,41,6,35,40,110,51,0
745,Albin Ekdal,se SWE,MF,Hamburger SV,de Bundesliga,28,1989,12.3,39,28,19,19,1,20,3,17,21,60,19,0
746,Josip Elez,hr CRO,DF,Hannover 96,de Bundesliga,23,1994,8.6,12,8,9,2,1,9,7,2,16,28,39,1
747,Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,31,1986,16,0,0,0,0,0,0,0,0,0,0,8,0
748,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,25,1992,9.6,12,6,6,3,3,11,0,11,10,22,12,2
749,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,23,1994,17.7,32,20,20,9,3,20,7,13,45,77,84,0
750,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,20,1996,32.4,66,46,41,22,3,39,9,30,51,117,108,3
751,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,23,1993,29.9,32,18,26,6,0,45,36,9,50,82,183,0
752,Breel Embolo,ch SUI,FWMF,Schalke 04,de Bundesliga,20,1997,10.2,14,10,3,7,4,13,0,13,6,20,3,0
753,Youssef En-Nesyri,ma MAR,FW,Málaga,es La Liga,20,1997,17.7,31,25,10,14,7,11,0,11,9,40,32,0
754,Sergi Enrich,es ESP,FW,Eibar,es La Liga,27,1990,14.8,11,8,3,3,5,13,1,12,6,17,8,0
755,Javier Eraso,es ESP,MFFW,Leganés,es La Liga,27,1990,28.1,32,15,10,18,4,16,5,11,23,55,17,0
756,Christian Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,25,1992,35.8,51,29,16,30,5,38,1,37,31,82,21,0
757,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,24,1993,17.4,59,35,21,32,6,26,3,23,32,91,19,0
758,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,27,1989,25.9,78,49,40,26,12,35,6,29,66,144,69,1
759,Bernardo Espinosa,co COL,DF,Girona,es La Liga,28,1989,31.9,36,22,29,6,1,27,19,8,66,102,169,0
760,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,29,1987,3,0,0,0,0,0,0,0,0,0,0,0,0
761,Alexander Esswein,de GER,FWMF,Hertha BSC,de Bundesliga,27,1990,6.9,25,16,13,10,2,4,0,4,9,34,11,0
762,Oghenekaro Etebo,ng NGA,MF,Las Palmas,es La Liga,21,1995,13.5,24,17,9,12,3,17,3,14,27,51,10,0
763,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,30,1987,12.4,28,20,12,13,3,6,1,5,28,56,12,0
764,Xabier Etxeita,es ESP,DF,Athletic Club,es La Liga,29,1987,4.2,2,2,2,0,0,3,2,1,7,9,25,1
765,Jonny Evans,nir NIR,DF,West Brom,eng Premier League,29,1988,25.2,29,22,19,8,2,22,13,9,48,77,131,1
766,Franck Evina,cm CMR,FW,Bayern Munich,de Bundesliga,17,2000,1.2,2,2,2,0,0,5,0,5,0,2,0,0
767,Patrice Evra,fr FRA,DFMF,West Ham,eng Premier League,36,1981,2.5,6,4,5,1,0,4,1,3,7,13,6,0
768,Patrice Evra,fr FRA,DF,Marseille,fr Ligue 1,36,1981,3.9,6,5,5,1,0,2,2,0,3,9,16,0
769,Edu Expósito,es ESP,MFFW,La Coruña,es La Liga,20,1996,1.1,1,0,0,0,1,1,0,1,2,3,2,0
770,Erik Expósito,es ESP,FW,Las Palmas,es La Liga,21,1996,5.2,1,1,0,1,0,6,0,6,1,2,5,0
771,Valentin Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,25,1992,7.8,17,13,7,4,6,10,2,8,6,23,6,0
772,Valentin Eysseric,fr FRA,FW,Nice,fr Ligue 1,25,1992,1,0,0,0,0,0,4,0,4,1,1,0,0
773,Imoh Ezekiel,ng NGA,MFFW,Las Palmas,es La Liga,23,1993,5.2,8,6,3,2,3,4,0,4,2,10,3,0
774,Marco Fabián,mx MEX,MFFW,Eint Frankfurt,de Bundesliga,28,1989,4.7,5,3,2,3,0,2,0,2,3,8,1,0
775,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,32,1985,38,0,0,0,0,0,0,0,0,0,0,10,2
776,Fabinho,br BRA,MF,Monaco,fr Ligue 1,23,1993,34,114,64,38,67,9,48,13,35,43,157,62,0
777,Cesc Fàbregas,es ESP,MF,Chelsea,eng Premier League,30,1987,25.6,68,49,30,29,9,25,4,21,22,90,26,2
778,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,28,1988,33.5,1,0,1,0,0,1,0,1,1,2,12,7
779,Fayçal Fajr,ma MAR,MFFW,Getafe,es La Liga,28,1988,26.5,62,45,22,34,6,26,4,22,30,92,42,0
780,Radamel Falcao,co COL,FW,Monaco,fr Ligue 1,31,1986,23.7,11,6,0,8,3,13,3,10,10,21,11,0
781,Diego Falcinelli,it ITA,FW,Fiorentina,it Serie A,26,1991,4.9,1,1,1,0,0,5,1,4,1,2,4,0
782,Diego Falcinelli,it ITA,FW,Sassuolo,it Serie A,26,1991,14.6,4,4,1,2,1,12,2,10,2,6,9,0
783,Simon Falette,gn GUI,DF,Metz,fr Ligue 1,25,1992,1,0,0,0,0,0,0,0,0,1,1,8,0
784,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,25,1992,24.6,34,30,23,10,1,37,15,22,58,92,134,1
785,Cesar Falletti,uy URU,MFFW,Bologna,it Serie A,24,1992,3.6,11,7,4,6,1,10,0,10,0,11,5,0
786,Iago Falque,es ESP,FWMF,Torino,it Serie A,27,1990,31.3,41,31,15,20,6,22,0,22,15,56,15,0
787,Paolo Faragò,it ITA,DF,Cagliari,it Serie A,24,1993,27.3,92,67,53,24,15,41,5,36,23,115,76,0
788,Imad Faraj,ma MAR,MFDF,Lille,fr Ligue 1,18,1999,1.8,5,2,2,1,2,1,0,1,4,9,3,0
789,Davide Faraoni,it ITA,DFMF,Crotone,it Serie A,25,1991,19.5,62,39,36,20,6,30,8,22,58,120,76,0
790,Mohamed Fares,dz ALG,DFMF,Hellas Verona,it Serie A,21,1996,28.9,50,33,29,17,4,24,5,19,50,100,132,2
791,Diego Farias,br BRA,FWMF,Cagliari,it Serie A,27,1990,17.9,21,15,3,9,9,17,0,17,8,29,6,0
792,Federico Fazio,ar ARG,DF,Roma,it Serie A,30,1987,32.5,56,43,38,18,0,30,22,8,46,102,161,3
793,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,28,1989,14,22,14,14,6,2,17,13,4,36,58,95,2
794,Nabil Fekir,fr FRA,MFFW,Lyon,fr Ligue 1,24,1993,27.5,45,33,11,24,10,11,0,11,8,53,5,0
795,Felipe,br BRA,DF,Hannover 96,de Bundesliga,30,1987,5.1,8,8,4,4,0,4,3,1,11,19,29,0
796,Luiz Felipe,it ITA,DF,Lazio,it Serie A,20,1997,13,40,28,24,16,0,26,14,12,18,58,50,1
797,Ohis Felix Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,19,1997,17.3,42,23,27,13,2,23,10,13,34,76,66,6
798,Marouane Fellaini,be BEL,MF,Manchester Utd,eng Premier League,29,1987,7.6,15,8,6,8,1,12,3,9,14,29,19,1
799,Kiko Femenía,es ESP,DFFW,Watford,eng Premier League,26,1991,19,36,28,22,11,3,15,2,13,34,70,31,1
800,Leroy Fer,nl NED,MF,Swansea City,eng Premier League,27,1990,15.5,44,32,18,21,5,18,4,14,12,56,24,3
801,Julien Féret,fr FRA,MF,Caen,fr Ligue 1,35,1982,34,40,27,10,25,5,52,7,45,49,89,58,2
802,Edimilson Fernandes,ch SUI,MFDF,West Ham,eng Premier League,21,1996,9.4,17,9,10,7,0,13,1,12,16,33,8,0
803,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,30,1986,11.5,58,46,25,29,4,23,3,20,16,74,21,0
804,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,30,1986,2.5,1,0,1,0,0,0,0,0,0,1,4,0
805,Augusto Fernández,ar ARG,MF,Atlético Madrid,es La Liga,31,1986,1.2,3,2,1,2,0,3,2,1,2,5,3,0
806,Brian Fernández,ar ARG,FW,Metz,fr Ligue 1,22,1994,1.4,0,0,0,0,0,2,0,2,0,0,0,0
807,Carlos Fernández,es ESP,FW,Sevilla,es La Liga,21,1996,1.5,2,1,1,1,0,1,0,1,0,2,0,0
808,Enzo Fernández,es ESP,MF,Alavés,es La Liga,22,1995,0.8,2,2,2,0,0,0,0,0,0,2,1,0
809,Federico Fernández,ar ARG,DF,Swansea City,eng Premier League,28,1989,29.7,40,29,30,6,4,35,27,8,38,78,201,1
810,Raúl Fernández,es ESP,GK,Levante,es La Liga,29,1988,11,0,0,0,0,0,1,0,1,0,0,10,1
811,Fernandinho,br BRA,MF,Manchester City,eng Premier League,32,1985,32,62,35,22,28,12,38,6,32,47,109,68,2
812,Alex Ferrari,it ITA,DF,Hellas Verona,it Serie A,23,1994,23.7,73,54,42,23,8,41,15,26,47,120,117,4
813,Jordan Ferri,fr FRA,MF,Lyon,fr Ligue 1,25,1992,7.1,20,11,8,11,1,11,1,10,5,25,11,2
814,Sam Field,eng ENG,MF,West Brom,eng Premier League,19,1998,6,14,11,8,4,2,6,1,5,11,25,8,0
815,Afonso Figueiredo,pt POR,DFFW,Rennes,fr Ligue 1,24,1993,2.5,6,3,3,3,0,0,0,0,0,6,4,0
816,Gian Filippo Felicioli,it ITA,MFDF,Hellas Verona,it Serie A,19,1997,3.1,13,8,5,5,3,0,0,0,5,18,6,0
817,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,28,1989,20.2,18,13,7,5,6,15,1,14,14,32,7,0
818,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,25,1991,30.7,65,50,9,36,20,40,2,38,18,83,10,0
819,Junior Firpo,es ESP,DF,Betis,es La Liga,20,1996,13.2,26,17,15,8,3,21,2,19,20,46,37,1
820,Viktor Fischer,dk DEN,FWMF,Mainz 05,de Bundesliga,23,1994,3.7,4,4,2,1,1,2,0,2,3,7,2,0
821,Mathieu Flamini,fr FRA,MF,Getafe,es La Liga,33,1984,5.3,11,5,3,7,1,2,0,2,8,19,8,0
822,Darren Fletcher,sct SCO,MF,Stoke City,eng Premier League,33,1984,24.7,47,26,23,20,4,13,3,10,26,73,33,3
823,Sergio Floccari,it ITA,FW,SPAL,it Serie A,35,1981,9.8,13,9,7,5,1,6,1,5,2,15,6,0
