Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1595,1202,386,61,2,4,92,280,45,30,7,4,1241,7,20
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,1711,1389,322,23,0,4,73,299,0,0,0,0,1332,0,65
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,1570,1491,75,72,0,13,1,3,0,0,0,0,1323,4,10
4,Suleiman Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,42,42,0,0,0,0,8,0,0,0,0,0,19,0,3
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,967,870,93,38,1,10,63,5,50,24,15,1,792,4,15
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,132,121,11,0,0,0,5,0,0,0,0,0,75,0,7
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,911,857,52,22,0,12,9,30,0,0,0,0,738,2,5
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,418,367,51,0,2,1,11,0,0,0,0,0,275,0,24
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,330,317,13,9,0,0,7,1,0,0,0,0,280,0,9
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2073,1979,93,69,3,38,26,23,1,0,0,0,1844,1,12
11,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,263,261,0,0,4,4,13,0,0,0,0,0,162,2,10
12,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,20,1999,10.6,703,626,77,21,0,5,10,56,0,0,0,0,584,0,14
13,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,180,169,10,0,0,1,11,7,0,0,0,0,128,1,11
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,6,5,1,0,0,0,0,0,0,0,0,0,4,0,0
15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,43,42,1,0,0,0,1,1,0,0,0,0,38,0,0
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,83,69,14,0,0,0,3,14,0,0,0,0,58,0,1
17,Amine Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,26,22,4,1,0,0,4,0,3,2,0,0,20,0,0
18,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,11.3,571,530,38,17,6,2,39,2,19,12,6,0,448,3,8
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,311,217,94,24,0,1,0,0,0,0,0,0,238,0,1
20,Aritz Aduriz,es ESP,FWMF,Athletic Club,es La Liga,38,1981,2.3,57,56,0,0,0,1,0,0,0,0,0,0,32,1,1
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,972,739,225,10,0,4,81,215,0,0,0,0,691,8,42
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1028,770,254,14,1,3,33,239,1,0,1,0,714,4,39
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,38,38,0,0,0,0,2,0,0,0,0,0,35,0,1
24,Kevin Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,37,36,0,0,0,0,0,0,0,0,0,0,29,1,0
25,Kevin Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,293,292,1,0,0,2,11,1,0,0,0,0,239,0,12
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,597,578,17,13,0,17,1,4,0,0,0,0,492,2,3
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,365,347,17,1,1,0,9,1,0,0,0,0,286,1,7
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,787,665,122,13,1,3,63,109,0,0,0,0,662,0,14
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,1990,2.6,104,102,2,1,0,0,1,1,0,0,0,0,90,0,0
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7,310,304,4,4,1,4,3,0,0,0,0,0,260,2,2
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1250,1203,47,37,1,7,1,10,0,0,0,0,1078,0,14
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,1185,936,243,14,1,5,62,225,4,0,0,0,862,6,27
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6,406,400,4,3,1,0,2,1,0,0,0,0,350,2,6
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,808,655,151,3,0,2,43,148,0,0,0,0,618,2,23
35,Albian Ajeti,ch SUI,FW,West Ham,eng Premier League,22,1997,1.5,15,13,2,0,0,0,0,0,0,0,0,0,12,0,0
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,516,493,18,0,4,5,13,3,0,0,0,0,354,5,5
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,1948,1871,74,43,2,20,2,31,0,0,0,0,1764,3,10
38,Marley Aké,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,28,26,2,0,0,0,1,0,0,0,0,0,25,0,0
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,1238,1183,52,32,1,3,5,20,0,0,0,0,1079,3,8
40,Chadrac Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6,209,204,5,3,0,1,6,1,1,0,1,0,169,0,6
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,757,727,30,14,0,3,3,16,0,0,0,0,664,0,6
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,2516,2397,115,55,5,14,29,56,4,0,1,0,2263,4,19
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,798,601,196,13,0,4,29,183,0,0,0,0,648,1,20
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,310,274,32,2,1,3,4,2,0,0,0,0,219,4,12
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2149,1938,206,33,3,9,65,171,2,0,0,0,1858,5,33
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,2296,1977,295,69,28,18,177,21,151,51,73,0,1793,24,38
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,1954,1900,49,46,1,37,3,2,0,0,0,0,1635,5,8
48,Marc Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,499,464,35,2,3,5,69,23,10,1,6,1,339,0,14
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,227,200,27,2,2,0,1,1,1,0,0,0,179,0,4
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,111,93,18,0,0,0,1,0,1,0,0,0,81,0,0
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,1813,1748,60,52,4,31,7,4,4,3,0,0,1632,5,20
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,1066,956,106,82,1,48,26,3,21,10,3,0,830,4,13
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2009,1915,82,72,12,20,9,10,0,0,0,0,1630,12,10
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1195,955,238,24,1,3,44,211,3,0,2,0,906,2,19
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,34,33,0,0,0,1,1,0,0,0,0,0,21,1,0
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,157,151,5,1,0,3,4,0,4,0,3,0,141,1,3
57,Carles Aleñá,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,393,386,5,3,1,4,3,2,0,0,0,0,333,2,6
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10,330,221,108,27,0,0,0,0,0,0,0,0,247,1,0
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,3230,2573,645,87,5,103,382,396,162,45,76,2,2278,12,69
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,80,42,38,14,0,0,0,0,0,0,0,0,58,0,0
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,476,438,38,2,0,2,15,2,1,1,0,0,345,0,10
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,947,723,222,55,0,3,0,0,0,0,0,0,820,2,0
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,842,806,33,17,2,6,13,16,0,0,0,0,726,3,16
64,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,841,760,75,14,4,3,7,18,4,0,0,0,632,6,34
65,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,884,868,12,1,2,4,41,10,0,0,0,0,681,4,35
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,1136,966,168,7,1,3,66,160,1,1,0,0,916,2,24
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,736,571,163,6,0,3,31,157,0,0,0,0,491,2,27
68,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,438,428,9,7,0,9,2,2,0,0,0,0,308,1,5
69,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,54,31,23,4,0,0,0,0,0,0,0,0,39,0,0
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,1500,1421,70,59,1,29,12,11,0,0,0,0,1164,9,8
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,1347,1253,90,82,0,45,13,2,0,0,0,0,1107,4,7
72,Steven Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,661,605,55,6,1,2,8,49,0,0,0,0,556,1,15
73,Ibrahim Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,374,364,9,6,0,0,1,3,0,0,0,0,324,1,3
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,280,278,2,1,1,2,5,1,0,0,0,0,222,0,6
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,898,873,24,12,5,9,25,8,4,1,3,0,702,1,8
76,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,17,16,1,0,0,1,0,0,1,0,0,0,11,0,3
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24,1236,1021,215,14,0,1,31,201,0,0,0,0,974,0,22
78,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,22,1997,6.1,191,190,1,0,0,2,15,0,0,0,0,0,136,0,7
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,676,533,141,21,1,2,12,120,0,0,0,0,546,2,12
80,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,1145,972,162,48,7,7,114,34,77,45,25,1,886,11,25
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,83,81,2,2,0,0,0,0,0,0,0,0,75,0,0
82,Opoku Ampomah,gh GHA,FWMF,Düsseldorf,de Bundesliga,23,1996,5.6,104,100,4,2,1,3,14,1,1,0,1,0,60,0,8
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,1738,1638,91,82,6,27,25,9,0,0,0,0,1510,9,16
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17,1333,1303,27,26,2,19,1,1,0,0,0,0,1195,3,3
85,Djavan Anderson,nl NED,FWDF,Lazio,it Serie A,24,1995,1.9,66,47,19,3,0,0,2,16,0,0,0,0,58,0,1
86,Felipe Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,945,913,29,8,5,11,34,13,5,2,2,0,727,3,30
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,800,778,18,0,0,2,31,0,0,0,0,0,463,4,26
88,Florin Andone,ro ROU,FW,Brighton,eng Premier League,26,1993,0.8,12,11,1,0,0,0,0,0,1,0,0,0,7,0,1
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,1236,1208,21,19,1,15,12,1,0,0,0,0,965,7,28
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,162,76,86,20,0,0,0,0,0,0,0,0,124,0,0
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,1214,1174,35,20,5,10,39,2,7,2,2,0,857,5,24
