Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,15,14,1153,12.8
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,35,35,3006,33.4
31,Ailton,br BRA,DFMF,Stuttgart,de Bundesliga,22,1995,5,1,108,1.2
32,Youssef Aït Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,27,25,2047,22.7
33,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23,1993,21,15,1271,14.1
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,11,10,904,10
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,38,37,3353,37.3
36,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,3,0,37,0.4
37,Chadrac Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,22,1995,22,13,1102,12.2
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,22,17,1690,18.8
