Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,3,26,5,19.2,0.93,0.18,0.08,0.4,21.7,3,1,1,2.1,1.3,0.05,+0.9,+0.7
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,0,14,4,28.6,0.39,0.11,0,0,17.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,3,19,5,26.3,0.68,0.18,0.16,0.6,13.3,0,0,0,1.7,1.7,0.09,+1.3,+1.3
4,Suleiman Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,1,6,3,50,3.44,1.72,0.17,0.33,16,0,0,0,1.1,1.1,0.19,-0.1,-0.1
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,1,33,7,21.2,1.63,0.35,0.03,0.14,25.1,3,0,0,1.5,1.5,0.04,-0.5,-0.5
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,0,5,0,0,0.72,0,0,,16,0,0,0,0.3,0.3,0.07,-0.3,-0.3
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2,7,4,57.1,0.37,0.21,0.29,0.5,8.1,0,0,0,1.6,1.6,0.22,+0.4,+0.4
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,15,88,35,39.8,3.58,1.42,0.17,0.43,11.6,0,0,0,16.4,16.4,0.19,-1.4,-1.4
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,0,4,2,50,0.54,0.27,0,0,20.1,0,0,0,0.5,0.5,0.12,-0.5,-0.5
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2,16,5,31.3,0.46,0.14,0.13,0.4,14.5,0,0,0,2.4,2.4,0.15,-0.4,-0.4
11,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,4,36,9,25,2.92,0.73,0.11,0.44,15.2,0,0,0,5.3,5.3,0.15,-1.3,-1.3
12,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,20,1999,10.6,0,7,1,14.3,0.66,0.09,0,0,18.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4
13,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,5,21,11,52.4,2.53,1.33,0.24,0.45,12.1,0,0,0,5.9,5.9,0.28,-0.9,-0.9
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,1,5,4,80,2.39,1.91,0.2,0.25,11.3,0,0,0,1.4,1.4,0.27,-0.4,-0.4
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0,3,1,33.3,1.17,0.39,0,0,14.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
17,Amine Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
18,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,11.3,3,17,6,35.3,1.5,0.53,0.18,0.5,23.8,1,0,0,0.8,0.8,0.04,+2.2,+2.2
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
20,Aritz Aduriz,es ESP,FWMF,Athletic Club,es La Liga,38,1981,2.3,1,6,2,33.3,2.6,0.87,0.17,0.5,15.7,0,0,1,1.6,0.8,0.13,-0.6,+0.2
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1,14,2,14.3,0.7,0.1,0.07,0.5,30.1,0,0,0,0.3,0.3,0.02,+0.7,+0.7
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1,3,1,33.3,0.13,0.04,0.33,1,24.1,0,0,0,0.8,0.8,0.26,+0.2,+0.2
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
24,Kevin Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,0,4,0,0,5.63,0,0,,22.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
25,Kevin Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,1,10,2,20,1.35,0.27,0.1,0.5,17.4,0,0,0,1.2,1.2,0.12,-0.2,-0.2
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,1,4,1,25,0.38,0.09,0.25,1,22,1,0,0,0.3,0.3,0.08,+0.7,+0.7
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,16,73,24,32.9,4.52,1.49,0.19,0.58,13.7,0,2,3,14.5,12.1,0.17,+1.5,+1.9
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,0,6,2,33.3,0.5,0.17,0,0,22.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,1990,2.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7,1,10,4,40,1.43,0.57,0.1,0.25,17.7,0,0,0,0.7,0.7,0.07,+0.3,+0.3
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,0,10,1,10,0.36,0.04,0,0,11.1,0,0,0,1,1,0.1,-1,-1
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,0,12,2,16.7,0.52,0.09,0,0,24,0,0,0,0.4,0.4,0.04,-0.4,-0.4
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6,0,2,0,0,0.34,0,0,,30.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,0,4,0,0,0.28,0,0,,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
35,Albian Ajeti,ch SUI,FW,West Ham,eng Premier League,22,1997,1.5,0,3,0,0,1.94,0,0,,15.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,8,49,21,42.9,2.14,0.92,0.14,0.33,13.4,0,1,1,7.2,6.4,0.13,+0.8,+0.6
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,0,8,2,25,0.31,0.08,0,0,21.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
38,Marley Aké,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,0,3,0,0,2.73,0,0,,24.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,25,7,28,0.9,0.25,0.08,0.29,10.3,0,0,0,3,3,0.12,-1,-1
40,Chadrac Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6,2,9,4,44.4,1.49,0.66,0.22,0.5,19.1,0,0,0,1.1,1.1,0.13,+0.9,+0.9
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,0,2,0,0,0.16,0,0,,19.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,1,19,7,36.8,0.68,0.25,0.05,0.14,25.7,6,0,0,1,1,0.05,0,0
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,0,9,4,44.4,0.58,0.26,0,0,21.8,0,0,0,0.9,0.9,0.1,-0.9,-0.9
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,7,49,18,36.7,3.76,1.38,0.12,0.33,12.7,0,1,1,7.3,6.5,0.13,-0.3,-0.5
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2,7,3,42.9,0.29,0.12,0.29,0.67,16.4,0,0,0,1.4,1.4,0.2,+0.6,+0.6
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,6,97,27,27.8,2.8,0.78,0.05,0.19,21.6,11,1,1,6.6,5.8,0.06,-0.6,-0.8
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,1,15,4,26.7,0.42,0.11,0.07,0.25,10.8,0,0,0,2.3,2.3,0.15,-1.3,-1.3
48,Marc Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,0,10,2,20,1.04,0.21,0,0,20.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,4,26,7,26.9,2.53,0.68,0.15,0.57,16.4,1,0,0,3.7,3.7,0.14,+0.3,+0.3
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,5,16,7,43.8,2.72,1.19,0.31,0.71,13.1,0,0,0,3.9,3.9,0.25,+1.1,+1.1
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,3,18,8,44.4,0.91,0.41,0.17,0.38,17.7,0,0,0,2.4,2.4,0.14,+0.6,+0.6
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,2,33,8,24.2,1.54,0.37,0.06,0.25,25.9,9,0,0,1.9,1.9,0.06,+0.1,+0.1
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2,16,4,25,0.49,0.12,0.13,0.5,12.6,0,0,0,0.7,0.7,0.05,+1.3,+1.3
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1,2,1,50,0.09,0.05,0.5,1,12.6,0,0,0,0.4,0.4,0.18,+0.6,+0.6
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0,1,1,100,0.52,0.52,0,0,17.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1
57,Carles Aleñá,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,1,12,4,33.3,1.47,0.49,0.08,0.25,21.5,0,0,0,1.4,1.4,0.12,-0.4,-0.4
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,22.6,13,0,0,2.8,2.8,0.06,+1.2,+1.2
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,6,58,22,37.9,3.34,1.27,0.1,0.27,20.7,11,0,0,5.2,5.2,0.09,+0.8,+0.8
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,2,12,7,58.3,0.84,0.49,0.17,0.29,21.1,0,0,0,0.5,0.5,0.05,+1.5,+1.5
64,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,8,41,18,43.9,2,0.88,0.17,0.39,14.9,0,1,1,8.1,7.3,0.18,-0.1,-0.3
65,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,4,56,17,30.4,1.67,0.51,0.07,0.24,16.2,0,0,0,6.7,6.7,0.12,-2.7,-2.7
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,4,30,8,26.7,1.89,0.5,0.13,0.5,16.5,1,0,0,2.6,2.6,0.09,+1.4,+1.4
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,0,6,0,0,0.39,0,0,,23.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
68,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,0,4,0,0,0.31,0,0,,20.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
69,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,0,12,2,16.7,0.38,0.06,0,0,13.9,0,0,0,1.3,1.3,0.11,-1.3,-1.3
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,0,24,1,4.2,0.81,0.03,0,0,20,10,0,0,1.3,1.3,0.05,-1.3,-1.3
