Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
24,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,28.1,1,13,4,30.8,0.46,0.14,0.08,0.25,20.1,0,0,0,0.9,0.9,0.07,+0.1,+0.1
25,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,0,3,1,33.3,0.78,0.26,0,0,19,0,0,0,0.5,0.5,0.17,-0.5,-0.5
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,0,2,0,0,1.12,0,0,,13,0,0,0,0.1,0.1,0.05,-0.1,-0.1
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,0,13,3,23.1,1.09,0.25,0,0,18.8,0,0,0,0.8,0.8,0.06,-0.8,-0.8
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
29,Ola Aina,ng NGA,DF,Torino,it Serie A,21,1996,24,1,24,5,20.8,1,0.21,0.04,0.2,19.5,0,0,0,1.4,1.4,0.06,-0.4,-0.4
30,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,0,7,1,14.3,0.67,0.1,0,0,27.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
31,Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,0,8,1,12.5,0.67,0.08,0,0,28.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3
32,Rayan Aït Nouri,fr FRA,DFMF,Angers,fr Ligue 1,17,2001,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
33,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17,9,46,17,37,2.7,1,0.2,0.53,15.5,2,0,0,5.7,5.7,0.12,+3.3,+3.3
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1,7,2,28.6,0.29,0.08,0.14,0.5,13.2,0,0,0,0.5,0.5,0.07,+0.5,+0.5
35,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,0,7,1,14.3,0.62,0.09,0,0,24.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
36,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,4,25,8,32,0.66,0.21,0.16,0.5,9.4,0,0,0,3.4,3.4,0.13,+0.6,+0.6
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
38,Chadrac Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,0,14,3,21.4,2.4,0.51,0,0,20.2,0,0,0,0.9,0.9,0.07,-0.9,-0.9
39,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
40,Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,3,47,16,34,1.67,0.57,0.06,0.19,25.8,16,0,0,3.2,3.2,0.07,-0.2,-0.2
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,21.1,1,13,3,23.1,0.62,0.14,0.08,0.33,22.3,0,0,0,0.5,0.5,0.04,+0.5,+0.5
43,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,9,43,16,37.2,3.06,1.14,0.21,0.56,11.7,0,0,0,6.7,6.7,0.15,+2.3,+2.3
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2,13,4,30.8,0.39,0.12,0.15,0.5,14.7,0,0,0,1.8,1.8,0.14,+0.2,+0.2
45,Luis Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,22.1,4,67,12,17.9,3.03,0.54,0.04,0.25,22.5,7,1,1,4.2,3.4,0.05,-0.2,-0.4
46,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19,1,4,1,25,0.21,0.05,0.25,1,10,0,0,0,0.3,0.3,0.07,+0.7,+0.7
47,Miiko Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,18.4,1,11,4,36.4,0.6,0.22,0.09,0.25,25.5,0,0,0,0.3,0.3,0.03,+0.7,+0.7
48,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,18.1,2,19,7,36.8,1.05,0.39,0.11,0.29,21.4,0,0,0,1.2,1.2,0.06,+0.8,+0.8
49,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,18,51,26,51,3.79,1.93,0.33,0.65,16,6,1,1,9.5,8.8,0.17,+8.5,+8.2
50,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,1,15,3,20,0.72,0.14,0.07,0.33,20.2,4,0,0,1,1,0.07,0,0
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2,23,7,30.4,0.86,0.26,0.09,0.29,20.1,1,0,0,1.9,1.9,0.08,+0.1,+0.1
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,3,51,11,21.6,1.54,0.33,0.06,0.27,25.9,11,0,1,3.5,2.7,0.05,-0.5,+0.3
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,0,19,5,26.3,0.59,0.15,0,0,14.1,0,0,0,1.1,1.1,0.06,-1.1,-1.1
54,Álex Alegría,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,1.6,0,3,2,66.7,1.93,1.29,0,0,16.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
55,Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
56,Iván Alejo,es ESP,MF,Getafe,es La Liga,23,1995,1.6,0,1,0,0,0.62,0,0,,22.8,0,0,0,0,0,0.03,0,0
57,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,2,14,3,21.4,1.98,0.42,0.14,0.67,22.9,0,0,0,1.3,1.3,0.09,+0.7,+0.7
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
59,Alexander,ar ARG,FW,Leganés,es La Liga,29,1988,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,1,29,9,31,1.06,0.33,0.03,0.11,25.1,9,0,0,1.6,1.6,0.05,-0.6,-0.6
61,Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,5,52,20,38.5,3.74,1.44,0.1,0.25,21,4,0,0,5.4,5.4,0.1,-0.4,-0.4
62,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
63,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
64,Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,1,25,2,8,0.86,0.07,0.04,0.5,25.4,0,0,0,1,1,0.04,0,0
65,Allan,br BRA,MF,Eint Frankfurt,de Bundesliga,21,1997,2,0,2,0,0,1.02,0,0,,21.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
66,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,22,1996,20.3,5,39,19,48.7,1.92,0.94,0.13,0.26,14.4,0,0,0,4.8,4.8,0.12,+0.2,+0.2
67,Miguel Almirón,py PAR,MF,Newcastle Utd,eng Premier League,24,1994,8.4,0,19,8,42.1,2.25,0.95,0,0,20.1,0,0,0,1.5,1.5,0.08,-1.5,-1.5
68,Júnior Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,6,0,4,2,50,0.67,0.34,0,0,15.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4
69,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,2,45,7,15.6,1.47,0.23,0.04,0.29,19.2,8,0,0,3.4,3.4,0.08,-1.4,-1.4
70,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,6.3,1,3,1,33.3,0.47,0.16,0.33,1,24.7,0,0,0,0.3,0.3,0.1,+0.7,+0.7
71,Sergio Álvarez,es ESP,DFMF,Eibar,es La Liga,26,1992,11.9,0,2,0,0,0.17,0,0,,10.2,0,0,0,0.2,0.2,0.12,-0.2,-0.2
72,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29,0,11,3,27.3,0.38,0.1,0,0,10,0,0,0,1.3,1,0.09,-1.3,-1
74,Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,4,16,5,31.3,0.49,0.15,0.25,0.8,20.4,8,0,0,2.2,2.2,0.14,+1.8,+1.8
75,Dani Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,18,1,27,6,22.2,1.5,0.33,0.04,0.17,22,3,0,0,1.8,1.8,0.07,-0.8,-0.8
76,Alfons Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,0,1,0,0,10,0,0,,11.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
77,Ibrahim Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,8.5,0,9,2,22.2,1.06,0.24,0,0,21.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
78,Romain Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,28,0,19,4,21.1,0.68,0.14,0,0,25.9,0,0,0,0.7,0.7,0.03,-0.7,-0.7
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,0,4,1,25,0.56,0.14,0,0,19.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3
80,Jordi Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,0,5,1,20,0.16,0.03,0,0,7.9,0,0,0,0.5,0.5,0.11,-0.5,-0.5
81,Amath,sn SEN,MF,Getafe,es La Liga,22,1996,11.1,1,15,6,40,1.35,0.54,0.07,0.17,17.3,0,0,0,1.2,1.2,0.08,-0.2,-0.2
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,0,24,3,12.5,0.99,0.12,0,0,24.3,0,0,0,0.8,0.8,0.03,-0.8,-0.8
83,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,0,18,4,22.2,0.56,0.12,0,0,26.7,0,0,0,0.6,0.6,0.03,-0.6,-0.6
84,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,21,1996,8.4,3,18,6,33.3,2.15,0.72,0.17,0.5,18.8,0,0,0,2.2,2.2,0.12,+0.8,+0.8
85,Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
86,Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
87,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,0,13,5,38.5,0.41,0.16,0,0,15.3,0,0,0,1,1,0.08,-1,-1
88,Felipe Anderson,br BRA,MFFW,West Ham,eng Premier League,25,1993,33.8,9,58,24,41.4,1.72,0.71,0.16,0.38,18.7,5,0,0,5.5,5.5,0.09,+3.5,+3.5
89,Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,3,19,8,42.1,1.94,0.82,0.16,0.38,12.3,0,0,0,2.5,2.5,0.13,+0.5,+0.5
90,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,3,28,9,32.1,1.01,0.32,0.11,0.33,14.4,0,0,0,3,3,0.11,0,0
91,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,0,1,1,100,0.85,0.85,0,0,10.8,0,0,0,0,0,0.03,0,0
92,Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,0,2,1,50,0.28,0.14,0,0,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
93,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
94,José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,1,24,4,16.7,0.71,0.12,0.04,0.25,27.7,5,0,0,0.7,0.7,0.03,+0.3,+0.3
95,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
96,Cristian Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,20.1,3,39,10,25.6,1.94,0.5,0.08,0.3,25.5,5,0,0,1.4,1.4,0.03,+1.6,+1.6
97,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,5,48,16,33.3,2.03,0.68,0.08,0.25,18.7,1,1,2,6.6,5,0.1,-1.6,-1
98,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34,1,23,4,17.4,0.68,0.12,0.04,0.25,13.9,0,0,0,1.8,1.8,0.08,-0.8,-0.8
99,Luca Antonelli,it ITA,DF,Empoli,it Serie A,31,1987,8.4,0,5,2,40,0.6,0.24,0,0,16,0,0,0,0.3,0.3,0.06,-0.3,-0.3
100,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,0,1,1,100,1.55,1.55,0,0,35,0,0,0,0,0,0.02,0,0
101,Michail Antonio,jm JAM,MFFW,West Ham,eng Premier League,28,1990,23.4,6,65,25,38.5,2.78,1.07,0.09,0.24,16.2,0,0,0,7.1,7.1,0.11,-1.1,-1.1
102,Antoñito,es ESP,DFMF,Valladolid,es La Liga,30,1987,20.7,2,8,2,25,0.39,0.1,0.25,1,16.3,0,0,0,1,1,0.12,+1.0,+1.0
103,Vitorino Antunes,pt POR,DFMF,Getafe,es La Liga,31,1987,24.2,1,29,6,20.7,1.2,0.25,0.03,0.17,26.7,4,0,0,1,1,0.04,0,0
104,Anuar,ma MAR,MFFW,Valladolid,es La Liga,23,1995,12,1,10,4,40,0.83,0.33,0.1,0.25,12.4,0,0,0,2.7,2.7,0.27,-1.7,-1.7
105,Dennis Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,0,10,1,10,0.88,0.09,0,0,23.2,2,0,0,0.5,0.5,0.05,-0.5,-0.5
106,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34,7,71,22,31,2.09,0.65,0.1,0.32,17.8,1,0,0,6.8,6.8,0.1,+0.2,+0.2
107,Emmanuel Apeh,ng NGA,FWMF,Celta Vigo,es La Liga,21,1996,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,1,29,9,31,0.98,0.3,0.03,0.11,24.7,3,0,0,1.3,1.3,0.05,-0.3,-0.3
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,21,1997,7,0,6,2,33.3,0.86,0.29,0,0,14.6,0,0,0,0.9,0.9,0.16,-0.9,-0.9
110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21,2,23,5,21.7,1.09,0.24,0.09,0.4,23.3,3,0,0,1.4,1.4,0.06,+0.6,+0.6
111,Luiz Araújo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,8.7,3,24,7,29.2,2.77,0.81,0.13,0.43,24.1,2,0,0,2.1,2.1,0.09,+0.9,+0.9
112,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,3,12,7,58.3,0.4,0.23,0.25,0.43,10.6,0,0,0,1.3,1.3,0.1,+1.7,+1.7
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,1,18,1,5.6,0.83,0.05,0.06,1,24.7,3,0,0,0.9,0.9,0.05,+0.1,+0.1
114,Joaquín Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
115,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
116,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,1,9,1,11.1,0.46,0.05,0.11,1,17.3,0,0,0,0.4,0.4,0.05,+0.6,+0.6
117,Lorenzo Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,0,6,2,33.3,0.32,0.11,0,0,7,0,0,0,0.9,0.9,0.15,-0.9,-0.9
118,Nicolò Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
119,Yoël Armougom,fr FRA,DF,Caen,fr Ligue 1,20,1998,20.6,0,11,1,9.1,0.53,0.05,0,0,29.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3
120,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,26,1992,15.9,3,32,12,37.5,2.01,0.75,0.09,0.25,21.8,0,0,0,2,2,0.06,+1.0,+1.0
121,José Arnaiz,es ESP,MFFW,Leganés,es La Liga,23,1995,1.3,0,1,0,0,0.8,0,0,,14,0,0,0,0.1,0.1,0.06,-0.1,-0.1
122,Marko Arnautović,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,10,61,31,50.8,2.76,1.4,0.15,0.29,17.5,3,1,1,8.9,8.1,0.13,+1.1,+0.9
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,2,54,23,42.6,1.69,0.72,0.04,0.09,27.7,8,0,0,2.7,2.7,0.05,-0.7,-0.7
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
125,Harry Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,0,23,4,17.4,1.04,0.18,0,0,23.6,0,0,0,0.9,0.9,0.04,-0.9,-0.9
126,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,0,9,1,11.1,0.3,0.03,0,0,28,0,0,0,0.2,0.2,0.03,-0.2,-0.2
127,Takuma Asano,jp JPN,MFFW,Hannover 96,de Bundesliga,23,1994,7.8,0,13,3,23.1,1.67,0.39,0,0,17.1,0,0,0,1.6,1.6,0.12,-1.6,-1.6
128,Santiago Ascacíbar,ar ARG,MF,Stuttgart,de Bundesliga,21,1997,27,0,19,5,26.3,0.7,0.19,0,0,20,0,0,0,1.3,1.3,0.07,-1.3,-1.3
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,22,1996,19.8,1,45,17,37.8,2.28,0.86,0.02,0.06,18.1,1,0,0,4.1,4.1,0.09,-3.1,-3.1
131,Iago Aspas,es ESP,FWMF,Celta Vigo,es La Liga,30,1987,25,20,64,27,42.2,2.56,1.08,0.23,0.56,17.2,10,5,5,11.9,7.9,0.12,+8.1,+7.1
132,Simon Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1,0,2,0,0,2,0,0,,25.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
133,Youcef Atal,dz ALG,DFFW,Nice,fr Ligue 1,22,1996,25.1,6,35,14,40,1.39,0.56,0.17,0.43,17.1,0,0,1,4.6,3.9,0.11,+1.4,+2.1
134,Christian Atsu,gh GHA,MF,Newcastle Utd,eng Premier League,26,1992,16.6,1,28,14,50,1.69,0.84,0.04,0.07,19.6,0,0,0,2.1,2.1,0.08,-1.1,-1.1
135,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,29,1989,30.3,22,89,34,38.2,2.94,1.12,0.2,0.53,14.2,0,4,5,22.6,18.5,0.21,-0.6,-0.5
136,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
137,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,21,1997,5.1,3,13,8,61.5,2.54,1.56,0.23,0.38,12.6,0,0,0,2.8,2.8,0.25,+0.2,+0.2
138,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,1994,33.6,1,22,6,27.3,0.65,0.18,0.05,0.17,14.7,0,0,0,1.5,1.5,0.07,-0.5,-0.5
139,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,25,1992,6.3,0,4,1,25,0.64,0.16,0,0,17.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
140,Charlie Austin,eng ENG,FW,Southampton,eng Premier League,29,1989,10.9,2,31,7,22.6,2.84,0.64,0.06,0.29,16,0,0,1,3.6,3.3,0.11,-1.6,-1.3
141,Ezequiel Ávila,ar ARG,FWMF,Huesca,es La Liga,24,1994,22.2,10,87,23,26.4,3.92,1.04,0.1,0.39,19.8,2,1,1,6.8,6.1,0.07,+3.2,+2.9
142,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,26,1991,13.1,1,27,3,11.1,2.06,0.23,0.04,0.33,14.6,0,0,0,2.9,2.9,0.11,-1.9,-1.9
143,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,23,1994,27.2,4,23,9,39.1,0.85,0.33,0.17,0.44,14.5,5,0,0,2.3,2.3,0.1,+1.7,+1.7
144,Floyd Ayité,tg TOG,FWMF,Fulham,eng Premier League,29,1988,5.3,1,7,1,14.3,1.32,0.19,0.14,1,21.1,0,0,0,0.4,0.4,0.05,+0.6,+0.6
145,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,1989,37.8,1,17,7,41.2,0.45,0.19,0.06,0.14,15.4,0,0,0,1.2,1.2,0.07,-0.2,-0.2
146,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,1991,23.4,1,9,4,44.4,0.38,0.17,0.11,0.25,9.8,0,0,0,1.3,1.3,0.14,-0.3,-0.3
147,Florian Baak,de GER,MF,Hertha BSC,de Bundesliga,19,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
148,Ludovic Baal,gf GUF,DF,Rennes,fr Ligue 1,32,1986,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
149,Khouma Babacar,sn SEN,FW,Sassuolo,it Serie A,25,1993,16.5,7,58,19,32.8,3.51,1.15,0.09,0.26,17.8,0,2,2,7.6,6.1,0.1,-0.6,-1.1
150,Ryan Babel,nl NED,FWMF,Fulham,eng Premier League,31,1986,13.9,5,27,9,33.3,1.94,0.65,0.19,0.56,16,0,0,0,5.7,5.7,0.21,-0.7,-0.7
