Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,0,13,2,15.4,0.41,0.06,0,0,19.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.5,1.5,0.08,+0.5,+0.5
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,1,18,5,27.8,0.66,0.18,0.06,0.2,21.5,0,0,0,1.1,1.1,0.06,-0.1,-0.1
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,0,29,7,24.1,0.88,0.21,0,0,24.2,0,0,0,2.1,2.1,0.07,-2.1,-2.1
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,0,18,4,22.2,2.23,0.5,0,0,16.7,0,0,0,2.1,2.1,0.12,-2.1,-2.1
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,2,0,0,1.75,0,0,,9.5,0,0,0,0.6,0.6,0.28,-0.6,-0.6
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,17,92,35,38,2.68,1.02,0.15,0.4,12.9,3,3,3,19.2,16.8,0.18,-2.2,-2.8
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,0,2,0,0,0.32,0,0,,9,0,0,0,0.2,0.2,0.12,-0.2,-0.2
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,2.2,2.2,0.15,+1.8,+1.8
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,0,10,2,20,3.47,0.69,0,0,16.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,1,16,5,31.3,0.64,0.2,0.06,0.2,21.7,1,0,0,1.5,1.5,0.09,-0.5,-0.5
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,7,49,24,49,2.16,1.06,0.14,0.29,13.3,0,0,0,7.7,7.7,0.16,-0.7,-0.7
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,0,2,0,0,0.13,0,0,,21.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,1,3,2,66.7,0.82,0.54,0.33,0.5,17.2,0,0,0,0.4,0.4,0.15,+0.6,+0.6
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,0,4,1,25,1.02,0.26,0,0,11.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14,3,37,19,51.4,2.65,1.36,0.08,0.16,15.1,0,0,0,4.8,4.8,0.13,-1.8,-1.8
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,1,32,15,46.9,1.27,0.6,0.03,0.07,21.2,4,0,0,2.3,2.3,0.07,-1.3,-1.3
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,0,2,2,100,0.41,0.41,0,0,22.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,2,17,7,41.2,2.29,0.94,0.12,0.29,16.1,0,0,0,1.5,1.5,0.09,+0.5,+0.5
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18,0,4,0,0,0.22,0,0,,19.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,0,15,1,6.7,0.72,0.05,0,0,11.9,0,0,0,1.3,1.2,0.08,-1.3,-1.2
