Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,1176,897,276,30,3,2,56,235,11,3,5,2,884,3,31
2,Rolando Aarons,eng ENG,MFFW,Newcastle Utd,eng Premier League,21,1995,1.5,44,41,2,2,0,1,2,0,0,0,0,0,29,1,3
3,Rolando Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,120,110,10,4,0,0,10,4,0,0,0,0,87,0,5
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,776,653,119,7,0,2,31,112,0,0,0,0,625,4,21
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,333,325,7,7,0,3,0,0,0,0,0,0,310,1,2
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,38,30,8,0,0,0,2,8,0,0,0,0,29,0,2
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,605,587,17,12,0,5,6,3,2,1,0,0,513,1,8
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,1321,1267,50,44,0,27,7,6,0,0,0,0,1088,4,6
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,314,286,28,0,2,1,13,1,0,0,0,0,206,0,6
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,321,315,6,5,0,2,5,1,0,0,0,0,248,0,6
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,1650,1529,118,89,2,24,12,28,0,0,0,0,1391,3,9
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,478,468,8,6,0,1,12,0,0,0,0,0,405,2,9
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,285,252,28,14,3,4,30,4,10,3,4,3,168,5,9
14,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30,1256,911,344,91,0,1,0,0,0,0,0,0,868,1,1
15,Aday,es ESP,DF,Girona,es La Liga,29,1987,20.4,1047,835,209,16,1,15,134,190,3,0,2,0,738,3,37
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,1157,1091,64,63,1,5,0,1,0,0,0,0,960,2,9
17,Claud Adjapong,it ITA,DFFW,Sassuolo,it Serie A,19,1998,13.6,509,442,65,1,3,2,27,63,1,0,0,0,363,2,17
18,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,442,293,146,29,0,0,0,0,0,0,0,0,283,3,0
19,Yacine Adli,fr FRA,FW,Paris S-G,fr Ligue 1,17,2000,0.1,7,7,0,0,0,1,0,0,0,0,0,0,7,0,0
20,Ali Adnan Kadhim,iq IRQ,DFFW,Udinese,it Serie A,23,1993,18.6,883,671,211,17,0,3,88,173,21,6,12,0,585,1,34
21,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19,571,332,235,51,0,1,0,0,0,0,0,0,266,4,0
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,518,497,20,1,2,2,20,7,0,0,0,0,337,1,15
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,82,81,1,0,0,0,0,1,0,0,0,0,72,0,0
24,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,24,1993,6.8,154,142,12,1,0,0,2,0,0,0,0,0,113,0,2
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,884,658,226,10,2,3,50,216,0,0,0,0,634,0,31
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,2.6,60,56,3,0,1,0,1,0,0,0,0,0,38,1,2
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,650,620,27,0,4,0,16,3,1,0,0,0,529,3,20
28,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,27.3,1545,1187,349,11,2,10,95,338,0,0,0,0,1186,9,43
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,698,546,148,22,2,4,19,126,0,0,0,0,519,4,16
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,33.4,1359,1332,22,19,4,18,5,3,0,0,0,0,1162,5,14
31,Ailton,br BRA,DFMF,Stuttgart,de Bundesliga,22,1995,1.2,65,50,15,4,0,2,3,11,0,0,0,0,45,0,4
32,Youssef Aït Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,22.7,1135,1117,16,10,5,24,11,1,2,1,0,0,936,2,20
33,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23,1993,14.1,362,348,13,13,0,2,0,0,0,0,0,0,282,1,5
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,10,618,584,34,14,0,8,1,20,0,0,0,0,527,0,3
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,37.3,1609,1551,56,43,0,2,5,13,0,0,0,0,1344,2,11
36,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,0.4,42,37,5,2,0,0,7,0,3,2,1,0,32,0,1
37,Chadrac Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,22,1995,12.2,317,304,7,0,4,0,14,3,1,0,1,0,237,6,13
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,18.8,1021,973,46,38,1,8,6,8,0,0,0,0,876,2,11
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,1338,1167,168,10,0,4,94,151,7,0,7,0,1126,3,37
40,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,17.2,410,377,31,1,0,1,3,1,0,0,0,0,303,2,14
41,David Alba,es ESP,DF,Getafe,es La Liga,18,1999,0.7,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,2418,2101,308,46,2,19,46,261,1,0,0,0,2074,9,55
43,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,775,738,34,33,1,12,2,1,0,0,0,0,607,3,8
44,Luis Alberto,es ESP,FWMF,Lazio,it Serie A,24,1992,29.7,1859,1572,265,67,38,15,213,26,168,68,69,9,1362,22,44
45,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31,1985,30.5,2510,2458,48,47,0,63,3,1,0,0,0,0,2241,4,14
46,Miiko Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,26,1990,7.8,423,324,97,7,0,1,23,90,0,0,0,0,325,2,13
47,Marc Albrighton,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,28.2,1298,1124,162,28,11,20,217,64,65,50,9,0,771,12,64
48,Paco Alcácer,es ESP,MFFW,Barcelona,es La Liga,23,1993,7.7,234,224,8,0,3,0,6,3,3,2,0,1,188,2,5
49,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28,1989,7.7,295,279,13,13,0,18,4,0,0,0,0,0,208,3,3
50,Thiago Alcántara,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,13.9,1310,1268,39,21,1,33,13,7,8,6,1,0,1187,3,10
51,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,93,74,19,2,1,2,5,17,0,0,0,0,69,0,0
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,13.1,931,901,30,21,1,31,7,9,0,0,0,0,793,0,4
53,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22,1995,1,22,21,1,1,0,0,0,0,0,0,0,0,18,0,0
54,Álex Alegría,es ESP,FW,Levante,es La Liga,24,1992,7,164,144,19,0,1,0,2,0,0,0,0,0,111,1,6
55,Iván Alejo,es ESP,MFFW,Eibar,es La Liga,22,1995,12.2,340,325,13,1,1,2,109,11,1,0,0,0,182,2,32
56,Alexander,ar ARG,MFFW,Leganés,es La Liga,28,1988,11.8,320,293,24,5,0,3,40,7,12,4,6,0,219,3,17
57,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,17.5,1309,1083,222,15,3,11,102,196,11,7,3,1,963,4,39
58,Alexis,es ESP,DF,Alavés,es La Liga,31,1985,24.3,743,573,162,65,0,7,6,97,0,0,0,0,544,8,5
59,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37,1323,988,333,81,0,7,0,0,0,0,0,0,1090,2,0
60,Allan,br BRA,MF,Napoli,it Serie A,26,1991,31.7,1826,1783,35,17,7,6,29,17,1,0,0,0,1572,8,34
61,Joe Allen,wls WAL,MF,Stoke City,eng Premier League,27,1990,34.9,1403,1360,37,17,3,3,37,2,9,3,1,4,1114,6,39
62,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,21,1996,32.9,1295,1249,37,12,15,8,18,17,4,0,0,0,985,9,39
63,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,1884,1798,82,53,2,19,7,29,0,0,0,0,1523,4,17
64,José Alonso Lara,es ESP,MF,Sevilla,es La Liga,17,2000,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
65,Marcos Alonso,es ESP,DFMF,Chelsea,eng Premier League,26,1990,31.7,1721,1424,288,19,0,10,96,269,0,0,0,0,1333,9,72
66,Ricky Álvarez,ar ARG,MF,Sampdoria,it Serie A,29,1988,3,179,162,16,3,0,0,21,2,10,6,2,0,134,1,5
67,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,626,442,181,52,0,2,0,0,0,0,0,0,424,3,1
68,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,468,431,35,26,0,8,1,9,0,0,0,0,385,2,1
69,Dani Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,22.9,2079,1861,210,32,18,43,99,172,6,0,5,0,1777,8,41
70,Ibrahim Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,26.7,1581,1544,33,33,1,23,4,0,0,0,0,0,1378,4,18
71,Eloi Amagat,es ESP,MF,Girona,es La Liga,32,1985,0.2,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0
72,Morgan Amalfitano,fr FRA,MFFW,Rennes,fr Ligue 1,32,1985,8.3,277,261,15,5,3,0,19,8,1,1,0,0,221,1,5
73,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,30,1412,1379,25,16,8,26,20,6,2,0,1,0,1148,8,28
74,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,310,249,61,1,0,2,0,60,0,0,0,0,239,0,1
