Player,Nation,Squad,score
Lebo Mothiba,RSA,Lille,32.73
Thiago Motta,ITA,Paris S-G,42.62
François Moubandje,SUI,Toulouse,57.06
Steve Mounié,BEN,Huddersfield,51.59
Lys Mousset,FRA,Bournemouth,13.61
João Moutinho,POR,Monaco,89.44
Samuel Moutoussamy,COD,Nantes,31.06
Ndombe Mubele,COD,Toulouse,12.68
Ndombe Mubele,COD,Rennes,34.92
Nordi Mukiele,FRA,Montpellier,86.14
Álex Mula,ESP,Málaga,17.19
Thomas Müller,GER,Bayern Munich,72.11
Iker Muniain,ESP,Athletic Club,65.68
Marc Muniesa,ESP,Girona,42.53
Ezequiel Muñoz,ARG,Leganés,46.87
Sulley Muntari,GHA,La Coruña,12.94
Alessandro Murgia,ITA,Lazio,23.30
Luis Muriel,COL,Sevilla,44.57
Jeison Murillo,COL,Valencia,43.65
Jacob Murphy,ENG,Newcastle Utd,37.68
Glenn Murray,ENG,Brighton,51.56
Nicola Murru,ITA,Sampdoria,57.64
Mateo Musacchio,ARG,Milan,55.27
Shkodran Mustafi,GER,Arsenal,59.65
Yoshinori Mutō,JPN,Mainz 05,61.06
Kévin N'Doram,FRA,Monaco,22.80
Clinton N'Jie,CMR,Marseille,17.06
Nacho,ESP,Real Madrid,49.89
Yuto Nagatomo,JPN,Inter,22.07
Ádám Nagy,HUN,Bologna,26.03
Radja Nainggolan,BEL,Roma,81.60
Préjuce Nakoulma,BFA,Nantes,33.77
Naldo,BRA,Espanyol,35.68
Naldo,BRA,Schalke 04,60.21
Andrea Nalini,ITA,Crotone,49.41
Nani,POR,Lazio,11.71
Nano,ESP,Levante,8.18
Naranjo,ESP,Leganés,18.53
Luciano Narsingh,NED,Swansea City,17.85
Juanjo Narváez,COL,Betis,9.51
Matija Nastasić,SRB,Schalke 04,57.41
Kyle Naughton,ENG,Swansea City,90.36
Fernando Navarro,ESP,La Coruña,34.04
Marc Navarro,ESP,Espanyol,32.84
Ximo Navarro,ESP,Las Palmas,88.53
Jesús Navas,ESP,Sevilla,73.32
Raúl Navas,ESP,Real Sociedad,46.71
Badou Ndiaye,SEN,Stoke City,35.70
Wilfred Ndidi,NGA,Leicester City,73.35
Tanguy Ndombele,FRA,Lyon,61.76
Neymar,BRA,Paris S-G,52.95
Yeni Ngbakoto,COD,Guingamp,16.65
Santy Ngom,SEN,Nantes,13.83
Guy Ngosso,CMR,Amiens,20.51
Opa Nguette,SEN,Metz,35.36
Moussa Niakhate,FRA,Metz,89.88
Adama Niane,MLI,Troyes,68.88
Ibrahima Niane,SEN,Metz,28.01
M'Baye Niang,SEN,Torino,45.19
Oumar Niasse,SEN,Everton,33.79
Florian Niederlechner,GER,Freiburg,25.89
Saúl Ñíguez,ESP,Atlético Madrid,88.47
Casimir Ninga,CHA,Montpellier,37.23
Benjamin Nivet,FRA,Troyes,45.40
Jordan Nkololo,COD,Caen,12.48
Nicolas Nkoulou,CMR,Torino,79.93
Christopher Nkunku,FRA,Paris S-G,29.91
Mark Noble,ENG,West Ham,49.75
Nolito,ESP,Sevilla,35.27
Håvard Nordtveit,NOR,Hoffenheim,22.04
Paul-Georges Ntep,CMR,Saint-Étienne,14.76
Unai Núñez,ESP,Athletic Club,53.18
Bram Nuytinck,NED,Udinese,64.10
Simeon Nwankwo,NGA,Crotone,62.13
Gerzino Nyamsi,FRA,Rennes,17.03
Allan Nyom,CMR,West Brom,69.42
Steven Nzonzi,FRA,Sevilla,67.46
Joel Obi,NGA,Torino,37.79
Johann Obiang,GAB,Troyes,15.60
Pedro Obiang,EQG,West Ham,39.01
Lucas Ocampos,ARG,Marseille,65.85
Bastian Oczipka,GER,Schalke 04,74.11
Álvaro Odriozola,ESP,Real Sociedad,86.36
Angelo Ogbonna,ITA,West Ham,62.34
Stefano Okaka,ITA,Watford,12.85
Shinji Okazaki,JPN,Leicester City,22.15
Paulo Oliveira,POR,Eibar,73.67
Maximiliano Olivera,URU,Fiorentina,12.88
Paweł Olkowski,POL,Köln,15.27
Martin Olsson,SWE,Swansea City,90.97
Michael Olunga,KEN,Girona,13.84
Stephane Omeonga,BEL,Genoa,25.70
Prince Oniangué,CGO,Angers,31.61
Javier Ontiveros,ESP,Málaga,12.05
Daniel Opare,GHA,Augsburg,46.86
Willi Orban,HUN,RB Leipzig,74.99
Fabián Orellana,CHI,Eibar,67.84
Divock Origi,BEL,Wolfsburg,61.92
Riccardo Orsolini,ITA,Bologna,51.41
Yuya Osako,JPN,Köln,64.97
Victor Osimhen,NGA,Wolfsburg,9.18
Matthias Ostrzolek,GER,Hannover 96,61.80
Nicolás Otamendi,ARG,Manchester City,61.40
Otávio,BRA,Bordeaux,56.92
Reece Oxford,ENG,M'Gladbach,14.66
Alex Oxlade-Chamberlain,ENG,Liverpool,34.08
Mikel Oyarzabal,ESP,Real Sociedad,74.20
Berkay Özcan,TUR,Stuttgart,31.75
Salih Özcan,TUR,Köln,63.74
Mesut Özil,GER,Arsenal,52.41
Levin Öztunalı,GER,Mainz 05,42.27
Pablo,BRA,Bordeaux,48.93
Simone Padoin,ITA,Cagliari,78.43
Vincent Pajot,FRA,Saint-Étienne,37.80
Rodrigo Palacio,ARG,Bologna,70.91
Nicolas Pallois,FRA,Nantes,70.52
Emerson Palmieri,ITA,Chelsea,19.08
Julian Palmieri,FRA,Metz,32.94
Alberto Paloschi,ITA,SPAL,35.55
Goran Pandev,MKD,Genoa,43.08
Kyriakos Papadopoulos,GRE,Hamburger SV,100.00
Sokratis Papastathopoulos,GRE,Dortmund,81.49
Nicolás Pareja,ARG,Sevilla,11.91
Daniel Parejo,ESP,Valencia,99.29
Vittorio Parigini,ITA,Benevento,26.39
Marco Parolo,ITA,Lazio,56.11
Thomas Partey,GHA,Atlético Madrid,74.84
Javier Pastore,ARG,Paris S-G,45.96
Patric,ESP,Lazio,41.27
Paulinho,BRA,Barcelona,58.79
Gabriel Paulista,BRA,Valencia,77.70
Benjamin Pavard,FRA,Stuttgart,92.29
Daniel Pavlović,BIH,Crotone,23.14
Mateo Pavlović,BIH,Angers,48.49
Leonardo Pavoletti,ITA,Cagliari,64.66
Dimitri Payet,FRA,Marseille,64.21
Giampaolo Pazzini,ITA,Hellas Verona,19.15
Giampaolo Pazzini,ITA,Levante,12.87
Alfonso Pedraza,ESP,Alavés,74.29
Pedro,ESP,Chelsea,37.01
João Pedro,ITA,Cagliari,83.97
Stef Peeters,BEL,Caen,22.73
Peter Pekarík,SVK,Hertha BSC,51.10
Bryan Pelé,FRA,Troyes,52.08
Pietro Pellegri,ITA,Genoa,8.75
Lorenzo Pellegrini,ITA,Roma,66.38
Théo Pellenard,FRA,Bordeaux,42.75
Sergio Pellissier,ITA,Chievo,22.70
Federico Peluso,ITA,Sassuolo,53.62
Rubén Peña,ESP,Eibar,72.68
Gabriel Peñalba,ARG,Las Palmas,19.88
Adalberto Peñaranda,VEN,Málaga,24.31
Nicolas Pépé,CIV,Lille,86.56
Andreas Pereira,BRA,Valencia,32.77
Pedro Pereira,POR,Genoa,28.33
Bruno Peres,BRA,Roma,38.54
Roberto Pereyra,ARG,Watford,58.50
Ayoze Pérez,ESP,Newcastle Utd,89.21
Hernán Pérez,PAR,Alavés,11.65
Lucas Pérez,ESP,La Coruña,88.11
Rubén Pérez,ESP,Leganés,82.18
Stipe Perica,CRO,Udinese,27.69
Ivan Perišić,CRO,Inter,73.92
Diego Perotti,ARG,Roma,32.84
Loïc Perrin,FRA,Saint-Étienne,69.50
Andrea Petagna,ITA,Atalanta,49.60
Nils Petersen,GER,Freiburg,53.15
Bruno Petković,CRO,Hellas Verona,27.56
Bruno Petković,CRO,Bologna,10.00
Germán Pezzella,ARG,Fiorentina,86.95
Giuseppe Pezzella,ITA,Udinese,27.60
Maximilian Philipp,GER,Dortmund,30.85
Chris Philipps,LUX,Metz,24.82
Matt Phillips,SCO,West Brom,57.37
Lebogang Phiri,RSA,Guingamp,45.43
Pablo Piatti,ARG,Espanyol,35.86
Ronaël Pierre-Gabriel,FRA,Saint-Étienne,35.00
Erik Pieters,NED,Stoke City,86.17
Tomás Pina Isla,ESP,Alavés,62.98
Gerard Piqué,ESP,Barcelona,77.24
Facundo Píriz,URU,Montpellier,24.95
Fabio Pisacane,ITA,Cagliari,70.03
Łukasz Piszczek,POL,Dortmund,55.16
Claudio Pizarro,PER,Köln,20.20
Guido Pizarro,ARG,Sevilla,52.51
Miralem Pjanić,BIH,Juventus,78.86
Jaroslav Plašil,CZE,Bordeaux,37.81
Marvin Plattenhardt,GER,Hertha BSC,60.44
Alassane Pléa,FRA,Nice,87.65
Gerónimo Poblete,ARG,Metz,48.90
Florentin Pogba,GUI,Saint-Étienne,9.48
Paul Pogba,FRA,Manchester Utd,56.14
Andrea Poli,ITA,Bologna,52.78
Matteo Politano,ITA,Sassuolo,80.14
Ezequiel Ponce,ARG,Lille,30.20
Pere Pons,ESP,Girona,87.31
Francisco Portillo,ESP,Getafe,39.77
Portu,ESP,Girona,91.84
Stefan Posch,AUT,Hoffenheim,61.39
Sergio Postigo,ESP,Levante,52.70
Yussuf Poulsen,DEN,RB Leipzig,53.96
Maxime Poundjé,FRA,Bordeaux,46.96
Dennis Praet,BEL,Sampdoria,85.46
Sanjin Prcić,BIH,Rennes,47.62
Nicolas de Préville,FRA,Bordeaux,49.53
Nicolas de Préville,FRA,Lille,7.87
Xabi Prieto,ESP,Real Sociedad,56.69
Alex Pritchard,ENG,Huddersfield,44.75
Sebastian Prödl,AUT,Watford,44.76
Davy Pröpper,NED,Brighton,83.96
Manuel Pucciarelli,ITA,Chievo,25.64
Marc Pugh,ENG,Bournemouth,28.71
Erick Pulgar,CHI,Bologna,81.14
Christian Pulisic,USA,Dortmund,52.00
Jason Puncheon,ENG,Crystal Palace,18.32
George Pușcaș,ROU,Benevento,21.18
Fabio Quagliarella,ITA,Sampdoria,69.88
Robin Quaison,SWE,Mainz 05,61.79
Collin Quaner,GER,Huddersfield,36.78
Dani Raba,ESP,Villarreal,32.33
Adrien Rabiot,FRA,Paris S-G,61.11
Nemanja Radoja,SRB,Celta Vigo,33.23
Ivan Radovanović,SRB,Chievo,77.43
Ștefan Radu,ROU,Lazio,62.04
Rafael,BRA,Lyon,37.53
Raffael,BRA,M'Gladbach,40.36
Rafinha,BRA,Inter,30.57
Rafinha,BRA,Bayern Munich,45.22
Andrea Raggi,ITA,Monaco,32.14
Antonino Ragusa,ITA,Sassuolo,23.32
Ivan Rakitić,CRO,Barcelona,74.73
Jonás Ramalho,ESP,Girona,63.81
Adil Rami,FRA,Marseille,63.42
Gastón Ramírez,URU,Sampdoria,46.25
Sandro Ramírez,ESP,Everton,8.85
Sandro Ramírez,ESP,Sevilla,20.21
Iván Ramis,ESP,Eibar,37.50
Omar Ramos,ESP,Leganés,47.92
Sergio Ramos,ESP,Real Madrid,74.73
Aaron Ramsey,WAL,Arsenal,46.32
Andrea Ranocchia,ITA,Inter,15.93
Marcus Rashford,ENG,Manchester Utd,60.06
Milot Rashica,KVX,Werder Bremen,44.28
Konstantin Rausch,RUS,Köln,32.89
Yoric Ravet,FRA,Freiburg,15.79
Ante Rebić,CRO,Eint Frankfurt,60.16
Pedro Rebocho,POR,Guingamp,75.45
Recio,ESP,Málaga,57.83
Nathan Redmond,ENG,Southampton,63.43
Vasco Regini,ITA,Sampdoria,33.32
Winston Reid,NZL,West Ham,41.75
Jeff Reine-Adélaïde,FRA,Angers,45.59
Karim Rekik,NED,Hertha BSC,63.84
Loïc Rémy,FRA,Las Palmas,25.23
Loïc Rémy,FRA,Getafe,13.58
Jan Repas,SVN,Caen,26.30
Panagiotis Retsos,GRE,Leverkusen,56.85
Marco Reus,GER,Dortmund,61.76
Franck Ribéry,FRA,Bayern Munich,36.93
Federico Ricca,URU,Málaga,34.40
Federico Ricci,ITA,Crotone,28.08
Declan Rice,ENG,West Ham,81.79
Richarlison,BRA,Watford,79.31
Marco Richter,GER,Augsburg,47.07
Diego Rico,ESP,Leganés,76.19
Mikel Rico,ESP,Athletic Club,37.18
Jaïro Riedewald,NED,Crystal Palace,28.62
Luca Rigoni,ITA,Genoa,49.90
Nicola Rigoni,ITA,Chievo,45.21
Tomás Rincón,VEN,Torino,85.88
Marcel Risse,GER,Köln,40.82
Matt Ritchie,SCO,Newcastle Utd,65.77
Emmanuel Rivière,FRA,Metz,56.55
Jonathan Rivierez,MTQ,Metz,59.81
Luca Rizzo,ITA,SPAL,15.55
Arjen Robben,NED,Bayern Munich,31.84
Rober,ESP,Levante,62.21
Sergi Roberto,ESP,Barcelona,50.18
Connor Roberts,WAL,Swansea City,8.02
Andrew Robertson,SCO,Liverpool,81.57
Hal Robson-Kanu,WAL,West Brom,20.07
Ronny Rodelin,FRA,Caen,94.22
Rodri,ESP,Villarreal,100.00
Rodrigo,ESP,Valencia,71.87
Kévin Rodrigues,POR,Real Sociedad,31.16
Ángel Rodríguez,ESP,Getafe,50.50
James Rodríguez,COL,Bayern Munich,44.79
Jay Rodriguez,ENG,West Brom,82.02
Ricardo Rodríguez,SUI,Milan,67.00
Marko Rog,CRO,Napoli,9.68
Rogério,BRA,Sassuolo,48.99
Marcus Rohdén,SWE,Crotone,49.13
Marcos Rojo,ARG,Manchester Utd,18.17
Diego Rolán,URU,Málaga,58.92
Rolando,POR,Marseille,47.72
Esteban Rolón,ARG,Málaga,12.73
Filippo Romagna,ITA,Cagliari,52.79
Alessio Romagnoli,ITA,Milan,72.07
Simone Romagnoli,ITA,Bologna,17.29
Oriol Romeu,ESP,Southampton,65.92
Rômulo,ITA,Hellas Verona,97.77
Cristiano Ronaldo,POR,Real Madrid,70.16
Facundo Roncaglia,ARG,Celta Vigo,39.13
Salomón Rondón,VEN,West Brom,80.99
Valentin Rongier,FRA,Nantes,60.43
Marten de Roon,NED,Atalanta,90.97
Wayne Rooney,ENG,Everton,73.87
Roberto Rosales,VEN,Málaga,98.06
Danny Rose,ENG,Tottenham,32.66
Aleandro Rosi,ITA,Genoa,54.28
Valentin Rosier,FRA,Dijon,61.57
Luca Rossettini,ITA,Genoa,65.69
Jérôme Roussillon,FRA,Montpellier,57.25
Wayne Routledge,ENG,Swansea City,12.29
Nolan Roux,FRA,Metz,79.53
Antonio Rüdiger,GER,Chelsea,68.68
Sebastian Rudy,GER,Bayern Munich,47.87
Daniele Rugani,ITA,Juventus,39.51
Mário Rui,POR,Napoli,63.38
Fabián Ruiz Peña,ESP,Betis,85.74
Víctor Ruiz,ESP,Villarreal,65.75
Antonio Rukavina,SRB,Villarreal,37.24
Lukas Rupp,GER,Hoffenheim,25.29
Marco Russ,GER,Eint Frankfurt,25.62
Idriss Saadi,ALG,Strasbourg,28.62
Youssouf Sabaly,SEN,Bordeaux,67.05
Marcel Sabitzer,AUT,RB Leipzig,78.59
Enric Saborit,ESP,Athletic Club,45.28
Ihsan Sacko,FRA,Strasbourg,21.78
Armando Sadiku,ALB,Levante,7.92
Bacary Sagna,FRA,Benevento,31.90
Nuri Şahin,TUR,Dortmund,42.65
Wesley Saïd,FRA,Dijon,56.81
Allan Saint-Maximin,FRA,Nice,73.97
Gōtoku Sakai,JPN,Hamburger SV,89.47
Hiroki Sakai,JPN,Marseille,64.55
Diafra Sakho,SEN,West Ham,8.51
Diafra Sakho,SEN,Rennes,21.98
Mamadou Sakho,FRA,Crystal Palace,37.86
Bakary Sako,MLI,Crystal Palace,13.31
Emiliano Sala,ARG,Nantes,63.92
Jacopo Sala,ITA,Sampdoria,39.56
Mohamed Salah,EGY,Liverpool,78.23
Bartosz Salamon,POL,SPAL,33.46
Carlos Salcedo,MEX,Eint Frankfurt,35.41
Yannis Salibur,FRA,Guingamp,45.11
Sejad Salihović,BIH,Hamburger SV,14.61
Yoann Salmier,GUF,Strasbourg,35.35
Junior Sambia,FRA,Montpellier,42.73
Frédéric Sammaritano,FRA,Dijon,25.78
Jairo Samperio,ESP,Las Palmas,18.00
Mario Sampirisi,ITA,Crotone,68.02
Mikel San José,ESP,Athletic Club,44.61
Antonio Sanabria,PAR,Betis,25.28
Renato Sanches,POR,Swansea City,20.85
Alexis Sánchez,CHI,Arsenal,42.94
Alexis Sánchez,CHI,Manchester Utd,26.98
Carlos Sánchez,COL,Fiorentina,11.60
Carlos Sánchez,COL,Espanyol,33.46
Davinson Sánchez,COL,Tottenham,57.55
Víctor Sánchez,ESP,Espanyol,53.71
Jadon Sancho,ENG,Dortmund,62.38
Sandro,BRA,Benevento,37.35
Alex Sandro,BRA,Juventus,69.05
Lamine Sané,SEN,Werder Bremen,25.64
Leroy Sané,GER,Manchester City,60.97
Salif Sané,SEN,Hannover 96,94.78
Ibrahim Sangaré,CIV,Toulouse,66.36
Younousse Sankharé,SEN,Bordeaux,49.48
Baissama Sankoh,GUI,Caen,32.35
Yaya Sanogo,FRA,Toulouse,36.61
Morgan Sanson,FRA,Marseille,53.71
Nicola Sansone,ITA,Villarreal,18.29
Baptiste Santamaria,FRA,Angers,66.06
Ivan Santini,CRO,Caen,80.47
Davide Santon,ITA,Inter,24.06
Christian Santos,VEN,Alavés,13.33
Douglas Santos,BRA,Hamburger SV,92.95
Samir Santos,BRA,Udinese,59.09
Riccardo Saponara,ITA,Fiorentina,32.34
Pablo Sarabia,ESP,Sevilla,73.19
Bouna Sarr,SEN,Marseille,60.36
Ismaila Sarr,SEN,Rennes,66.41
Malang Sarr,FRA,Nice,59.82
Marco Sau,ITA,Cagliari,28.57
Stefan Savić,MNE,Atlético Madrid,69.47
Fabian Schär,SUI,La Coruña,71.45
Ezequiel Schelotto,ITA,Brighton,24.53
Pasquale Schiattarella,ITA,SPAL,63.53
Eros Schiavon,ITA,SPAL,12.19
Patrik Schick,CZE,Roma,34.55
Christopher Schindler,GER,Huddersfield,95.81
Sven Schipplock,GER,Hamburger SV,12.53
Jeffrey Schlupp,GHA,Crystal Palace,43.51
Marcel Schmelzer,GER,Dortmund,35.38
Jonathan Schmid,FRA,Augsburg,67.63
Morgan Schneiderlin,FRA,Everton,43.74
Alessandro Schöpf,AUT,Schalke 04,33.55
Nico Schulz,GER,Hoffenheim,73.99
André Schürrle,GER,Dortmund,39.77
Julian Schuster,GER,Freiburg,43.03
Pirmin Schwegler,SUI,Hannover 96,71.60
Ernest Seka,GUI,Strasbourg,70.39
Vahid Selimović,LUX,Metz,30.57
Davie Selke,GER,Hertha BSC,44.31
Ole Selnæs,NOR,Saint-Étienne,56.00
Nélson Semedo,POR,Barcelona,53.43
Stefano Sensi,ITA,Sassuolo,45.43
Suat Serdar,GER,Mainz 05,56.24
Jean Seri,CIV,Nice,84.72
Julien Serrano,FRA,Monaco,8.64
Grégory Sertic,FRA,Marseille,10.18
Stéphane Sessègnon,BEN,Montpellier,29.94
Lee Seung-woo,KOR,Hellas Verona,11.10
Stephan El Shaarawy,ITA,Roma,45.76
Xherdan Shaqiri,SUI,Stoke City,95.71
Luke Shaw,ENG,Manchester Utd,54.65
Ryan Shawcross,ENG,Stoke City,73.05
Jonjo Shelvey,ENG,Newcastle Utd,68.18
Gaku Shibasaki,JPN,Getafe,20.87
Djibril Sidibé,FRA,Monaco,57.62
Sidnei,BRA,La Coruña,57.38
Gylfi Sigurðsson,ISL,Everton,81.34
Adrien Silva,POR,Leicester City,21.92
André Silva,POR,Milan,27.65
Bernardo Silva,POR,Manchester City,66.75
David Silva,ESP,Manchester City,67.78
Gabriel Silva,BRA,Saint-Étienne,33.74
Thiago Silva,BRA,Paris S-G,67.91
Matías Silvestre,ARG,Sampdoria,96.26
Giovanni Simeone,ARG,Fiorentina,78.35
Lorenco Šimić,CRO,SPAL,10.10
Stefan Simić,CZE,Crotone,17.04
David Simón,ESP,Las Palmas,25.23
Danny Simpson,ENG,Leicester City,36.67
Giovanni Sio,CIV,Montpellier,64.27
Dimitris Siovas,GRE,Leganés,77.62
Moussa Sissoko,FRA,Tottenham,54.31
Pione Sisto,DEN,Celta Vigo,41.88
Ellyes Skhiri,TUN,Montpellier,94.47
Milan Škriniar,SVK,Inter,89.02
Naïm Sliti,TUN,Dijon,64.61
Chris Smalling,ENG,Manchester Utd,65.20
Adam Smith,ENG,Bournemouth,60.38
Tommy Smith,ENG,Huddersfield,45.01
Wesley Sneijder,NED,Nice,12.34
Cédric Soares,POR,Southampton,52.42
Ramadan Sobhi,EGY,Stoke City,38.87
Rubén Sobrino,ESP,Alavés,37.02
Dominic Solanke,ENG,Liverpool,15.76
Carlos Soler,ESP,Valencia,74.64
Somália,BRA,Toulouse,61.43
Jérémy Sorbon,FRA,Guingamp,78.13
Oliver Sorg,GER,Hannover 96,52.30
Roberto Soriano,ITA,Villarreal,33.20
Adama Soumaoro,FRA,Lille,32.47
Boubakary Soumaré,FRA,Lille,31.39
Samuel Souprayen,FRA,Hellas Verona,49.44
Arnaud Souquet,FRA,Nice,73.91
Çağlar Söyüncü,TUR,Freiburg,70.52
Leonardo Spinazzola,ITA,Atalanta,48.24
Nicolás Spolli,ARG,Genoa,37.15
Bassem Srarfi,TUN,Nice,24.67
Kostas Stafylidis,GRE,Stoke City,10.62
Benjamin Stambouli,FRA,Schalke 04,54.68
Junior Stanislas,ENG,Bournemouth,29.18
Niklas Stark,GER,Hertha BSC,71.52
Timo Stavitski,FIN,Caen,11.75
Renato Steffen,SUI,Wolfsburg,40.68
Marc Stendera,GER,Eint Frankfurt,12.51
Pascal Stenzel,GER,Freiburg,56.04
Dale Stephens,ENG,Brighton,82.75
Jack Stephens,ENG,Southampton,47.58
Mariusz Stępiński,POL,Chievo,48.03
Raheem Sterling,ENG,Manchester City,71.25
Lars Stindl,GER,M'Gladbach,58.41
Adrian Stoian,ROU,Crotone,65.20
John Stones,ENG,Manchester City,44.73
Ivan Strinić,CRO,Sampdoria,38.72
Kevin Strootman,NED,Roma,72.42
Jens Stryger Larsen,DEN,Udinese,72.98
Cristhian Stuani,URU,Girona,85.27
Stefano Sturaro,ITA,Juventus,19.23
Daniel Sturridge,ENG,Liverpool,12.50
Damián Suárez,URU,Getafe,85.18
Denis Suárez,ESP,Barcelona,17.94
Luis Suárez,URU,Barcelona,73.86
Neven Subotić,SRB,Saint-Étienne,53.68
Neven Subotić,SRB,Dortmund,9.58
Isaac Success,NGA,Málaga,14.72
Niklas Süle,GER,Bayern Munich,56.03
Ki Sung-yueng,KOR,Swansea City,54.69
Gilles Sunu,TOG,Angers,19.74
Andrew Surman,ENG,Bournemouth,49.06
Markel Susaeta,ESP,Athletic Club,57.26
Suso,ESP,Milan,72.95
Markus Suttner,AUT,Brighton,34.61
Issiaga Sylla,GUI,Toulouse,64.58
Moussa Sylla,FRA,Monaco,15.75
Ádám Szalai,HUN,Hoffenheim,41.30
Alexander Søderlund,NOR,Saint-Étienne,10.30
Frederik Sørensen,DEN,Köln,70.42
Alexander Sørloth,NOR,Crystal Palace,9.98
Adel Taarabt,MAR,Genoa,51.95
Franck Tabanou,FRA,Guingamp,31.80
Dušan Tadić,SRB,Southampton,76.86
Jonathan Tah,GER,Leverkusen,84.60
Mehdi Tahrat,ALG,Angers,13.53
Saphir Taïder,ALG,Bologna,12.18
Flavien Tait,FRA,Angers,79.55
Adrien Tameze,CMR,Nice,52.50
Tana,ESP,Las Palmas,52.86
Oussama Tannane,MAR,Las Palmas,19.17
James Tarkowski,ENG,Burnley,88.36
Júlio Tavares,CPV,Dijon,62.86
Taleb Tawatha,ISR,Eint Frankfurt,14.81
Charlie Taylor,ENG,Burnley,64.92
Cristian Tello,ESP,Betis,37.26
Simon Terodde,GER,Stuttgart,29.23
Simon Terodde,GER,Köln,33.33
Marco Terrazzino,GER,Freiburg,32.26
Martin Terrier,FRA,Strasbourg,51.69
Kenny Tete,NED,Lyon,39.79
Florian Thauvin,FRA,Marseille,78.51
Kévin Théophile-Catherine,FRA,Saint-Étienne,64.18
Cyril Théréau,FRA,Fiorentina,33.47
Romain Thomas,FRA,Angers,79.28
Adrien Thomasson,FRA,Nantes,78.22
Erik Thommy,GER,Stuttgart,18.51
Marcus Thuram,FRA,Guingamp,65.33
Youri Tielemans,BEL,Monaco,50.52
David Timor,ESP,Girona,30.71
Marcel Tisserand,COD,Wolfsburg,37.29
Tito,ESP,Leganés,20.63
Ola Toivonen,SWE,Toulouse,24.72
Karl Toko Ekambi,CMR,Angers,90.58
Hernán Toledo,ARG,Las Palmas,20.20
Corentin Tolisso,FRA,Bayern Munich,29.62
Jeremy Toljan,GER,Dortmund,40.57
Rafael Tolói,ITA,Atalanta,70.09
James Tomkins,ENG,Crystal Palace,43.38
Nenad Tomović,SRB,Chievo,47.66
Lorenzo Tonelli,ITA,Napoli,10.79
Aleksandar Tonev,BUL,Crotone,12.03
Toño,ESP,Levante,39.47
Ömer Toprak,TUR,Dortmund,70.75
Vasilis Torosidis,GRE,Bologna,25.21
Lucas Torreira,URU,Sampdoria,100.00
Daniel Torres,COL,Alavés,38.09
Fernando Torres,ESP,Atlético Madrid,29.35
Ferrán Torres,ESP,Valencia,34.54
Miguel Torres,ESP,Málaga,20.92
Jordan Torunarigha,GER,Hertha BSC,32.02
Alin Toșca,ROU,Benevento,37.72
Alin Toșca,ROU,Betis,13.08
Cenk Tosun,TUR,Everton,24.34
Jérémy Toulalan,FRA,Bordeaux,56.69
Abdoulaye Touré,FRA,Nantes,72.27
Almamy Touré,MLI,Monaco,24.79
Lucas Tousart,FRA,Lyon,69.06
Andros Townsend,ENG,Crystal Palace,68.06
Bertrand Traoré,BFA,Lyon,58.23
Charles Traore,MLI,Troyes,100.00
Hamari Traoré,MLI,Rennes,85.44
Ismaël Traoré,CIV,Angers,84.54
Lacina Traoré,CIV,Amiens,24.59
Manu Trigueros,ESP,Villarreal,63.20
Kieran Trippier,ENG,Tottenham,60.70
Marcello Trotta,ITA,Crotone,68.27
Matthieu Udol,FRA,Metz,30.65
Leonardo Ulloa,ARG,Brighton,7.82
Samuel Umtiti,FRA,Barcelona,38.69
Enes Ünal,TUR,Villarreal,31.85
Enes Ünal,TUR,Levante,17.51
Cengiz Ünder,TUR,Roma,35.59
Dayot Upamecano,FRA,RB Leipzig,77.93
Mark Uth,GER,Hoffenheim,71.32
Valentín Vada,ARG,Bordeaux,26.47
Sauli Väisänen,FIN,SPAL,17.67
Mirko Valdifiori,ITA,Torino,19.22
Antonio Valencia,ECU,Manchester Utd,46.54
Borja Valero,ESP,Inter,46.84
Borja Valle,ESP,La Coruña,15.36
Jesús Vallejo,ESP,Real Madrid,13.66
Mattia Valoti,ITA,Hellas Verona,48.09
Federico Valverde,URU,La Coruña,39.86
Virgil van Dijk,NED,Southampton,28.64
Virgil van Dijk,NED,Liverpool,66.82
Raphaël Varane,FRA,Real Madrid,84.84
Jamie Vardy,ENG,Leicester City,73.77
Cédric Varrault,FRA,Dijon,25.54
Franco Vázquez,ARG,Sevilla,49.98
Lucas Vázquez,ESP,Real Madrid,50.02
Matías Vecino,URU,Inter,34.87
Carlos Vela,MEX,Real Sociedad,11.29
Miloš Veljković,SRB,Werder Bremen,67.81
Miguel Veloso,POR,Genoa,48.92
Lorenzo Venuti,ITA,Benevento,75.21
Daniele Verde,ITA,Hellas Verona,58.86
Simone Verdi,ITA,Bologna,86.38
Jordan Veretout,FRA,Fiorentina,95.54
Paul Verhaegh,NED,Wolfsburg,87.64
Thomas Vermaelen,BEL,Barcelona,24.43
Marco Verratti,ITA,Paris S-G,62.50
Valerio Verre,ITA,Sampdoria,18.11
Jan Vertonghen,BEL,Tottenham,65.29
Mikel Vesga,ESP,Athletic Club,41.00
Jannik Vestergaard,DEN,M'Gladbach,92.75
Rúben Vezo,POR,Valencia,48.62
Francesco Vicari,ITA,SPAL,86.29
Aleix Vidal,ESP,Barcelona,13.70
Arturo Vidal,CHI,Bayern Munich,47.03
Nacho Vidal,ESP,Valencia,14.07
Jonathan Viera,ESP,Las Palmas,70.22
