Player,Nation,Squad,score
Leon Balogun,NGA,Mainz 05,39.02
Mario Balotelli,ITA,Nice,43.46
Abdoulaye Bamba,CIV,Angers,39.70
Jonathan Bamba,FRA,Saint-Étienne,75.48
Yacine Bammou,MAR,Nantes,21.57
Éver Banega,ARG,Sevilla,76.88
Mattia Bani,ITA,Chievo,61.76
Léo Baptistão,BRA,Espanyol,55.94
Antonín Barák,CZE,Udinese,46.38
Andrea Barberis,ITA,Crotone,92.19
Enis Bardhi,MKD,Levante,59.85
Phil Bardsley,SCO,Burnley,35.44
Nicolò Barella,ITA,Cagliari,96.92
Philipp Bargfrede,GER,Werder Bremen,38.23
Aymen Barkok,MAR,Eint Frankfurt,21.71
Ashley Barnes,ENG,Burnley,44.22
Antonio Barragán,ESP,Betis,41.38
Antonio Barreca,ITA,Torino,14.46
Édgar Barreto,PAR,Sampdoria,42.10
Musa Barrow,GAM,Atalanta,16.27
Gareth Barry,ENG,West Brom,58.08
Fin Bartels,GER,Werder Bremen,23.17
Marc Bartra,ESP,Betis,66.65
Marc Bartra,ESP,Dortmund,27.78
Andrea Barzagli,ITA,Juventus,48.74
Daniele Baselli,ITA,Torino,50.12
Nicolas Basin,FRA,Metz,9.15
Dušan Basta,SRB,Lazio,23.14
Gil Bastião Dias,POR,Fiorentina,35.73
Samuel Bastien,COD,Chievo,41.78
Borja Bastón,ESP,Málaga,29.45
Bastos,ANG,Lazio,33.59
Michy Batshuayi,BEL,Chelsea,9.66
Michy Batshuayi,BEL,Dortmund,26.11
Moritz Bauer,AUT,Stoke City,40.48
Robert Bauer,GER,Werder Bremen,31.02
Timo Baumgartl,GER,Stuttgart,68.46
Julian Baumgartlinger,AUT,Leverkusen,48.54
Paul Baysse,FRA,Málaga,38.37
Paul Baysse,FRA,Bordeaux,48.41
Hervé Bazile,HAI,Caen,25.69
Riechedly Bazoer,NED,Wolfsburg,19.41
Enrico Bearzotti,ITA,Hellas Verona,12.59
Claudio Beauvue,GLP,Leganés,53.99
Bebé,CPV,Eibar,11.65
Ihlas Bebou,TOG,Hannover 96,50.23
Andreas Beck,GER,Stuttgart,58.96
Jan Bednarek,POL,Southampton,63.96
Valon Behrami,SUI,Udinese,41.77
Ishak Belfodil,ALG,Werder Bremen,42.23
Stefan Bell,GER,Mainz 05,71.88
Karim Bellarabi,GER,Leverkusen,32.41
Héctor Bellerín,ESP,Arsenal,56.87
François Bellugou,FRA,Troyes,71.59
Andrea Belotti,ITA,Torino,76.53
Chaouki Ben Saada,TUN,Troyes,11.51
Wissam Ben Yedder,FRA,Sevilla,62.50
Ahmad Benali,LBY,Crotone,32.05
Marco Benassi,ITA,Fiorentina,60.14
Medhi Benatia,MAR,Juventus,36.59
Lars Bender,GER,Leverkusen,43.56
Sven Bender,GER,Leverkusen,69.99
Nicolas Benezet,FRA,Guingamp,49.92
Ramy Bensebaini,ALG,Rennes,67.65
Nabil Bentaleb,ALG,Schalke 04,36.16
Rodrigo Bentancur,URU,Juventus,54.19
Christian Benteke,BEL,Crystal Palace,41.24
Karim Benzema,FRA,Real Madrid,83.96
Yassine Benzia,ALG,Lille,66.68
Saido Berahino,BDI,Stoke City,15.16
Domenico Berardi,ITA,Sassuolo,74.19
Yuri Berchiche,ESP,Paris S-G,58.25
Álex Berenguer,ESP,Torino,43.48
Bartosz Bereszyński,POL,Sampdoria,77.40
Jóhann Berg Guðmundsson,ISL,Burnley,43.05
Markel Bergara,ESP,Getafe,43.43
Emil Berggreen,DEN,Mainz 05,21.56
Robert Berić,SVN,Saint-Étienne,24.62
Kévin Bérigaud,FRA,Montpellier,8.04
Federico Bernardeschi,ITA,Juventus,39.60
Bernardo,BRA,RB Leipzig,49.43
Juan Bernat,ESP,Bayern Munich,27.68
Andrea Bertolacci,ITA,Genoa,94.65
Ryan Bertrand,ENG,Southampton,74.96
Daniel Bessa,ITA,Hellas Verona,28.88
Daniel Bessa,ITA,Genoa,46.38
Vincent Bessat,FRA,Caen,48.12
Ermin Bičakčić,BIH,Hoffenheim,41.10
Pedro Bigas,ESP,Las Palmas,31.21
Lucas Biglia,ARG,Milan,40.77
Philip Billing,DEN,Huddersfield,43.81
Jean-Claude Billong,CMR,Benevento,9.49
Cristiano Biraghi,ITA,Fiorentina,93.23
Mame Biram Diouf,SEN,Stoke City,79.25
Davide Biraschi,ITA,Genoa,54.52
Valter Birsa,SVN,Chievo,56.93
Milan Biševac,SRB,Metz,20.63
Yves Bissouma,MLI,Lille,46.35
Leonardo Bittencourt,GER,Köln,56.27
Ludovic Blas,FRA,Guingamp,62.40
Pablo de Blasis,ARG,Mainz 05,54.99
Jérémy Blayac,FRA,Strasbourg,28.44
Alexis Blin,FRA,Toulouse,58.63
Daley Blind,NED,Manchester Utd,10.60
Emmanuel Boateng,GHA,Levante,28.58
Jérôme Boateng,GER,Bayern Munich,60.74
Kevin-Prince Boateng,GHA,Eint Frankfurt,79.01
Raúl Bobadilla,PAR,M'Gladbach,13.62
Mathieu Bodmer,FRA,Amiens,24.56
Yannick Bolasie,COD,Everton,26.52
Giacomo Bonaventura,ITA,Milan,46.33
Daniele Bonera,ITA,Villarreal,34.99
Gaëtan Bong,CMR,Brighton,58.82
Kevin Bonifazi,ITA,Torino,12.49
Leonardo Bonucci,ITA,Milan,95.94
Wilfried Bony,CIV,Swansea City,19.90
Celso Borges,CRC,La Coruña,75.05
Fabio Borini,ITA,Milan,39.91
Marco Borriello,ITA,SPAL,23.81
Ryad Boudebouz,ALG,Betis,29.61
Sofiane Boufal,MAR,Southampton,27.55
Arnold Bouka Moutou,CGO,Dijon,9.65
Emmanuel Bourgaud,FRA,Amiens,17.94
Benjamin Bourigeaud,FRA,Rennes,79.19
Eneko Bóveda,ESP,La Coruña,21.44
Eneko Bóveda,ESP,Athletic Club,16.66
Lucas Boyé,ARG,Celta Vigo,8.13
Robbie Brady,IRL,Burnley,24.71
Martin Braithwaite,DEN,Bordeaux,25.95
Brandon,ESP,Rennes,10.39
Julian Brandt,GER,Leverkusen,81.03
Darko Brašanac,SRB,Leganés,40.11
Josip Brekalo,CRO,Wolfsburg,46.89
Josip Brekalo,CRO,Stuttgart,22.84
Jimmy Briand,FRA,Guingamp,93.48
Enrico Brignola,ITA,Benevento,41.59
Miguel Britos,URU,Watford,23.27
Leon Britton,ENG,Swansea City,8.93
John Brooks,USA,Wolfsburg,73.85
Daniel Brosinski,GER,Mainz 05,55.46
Izzy Brown,ENG,Brighton,9.05
Marcelo Brozović,CRO,Inter,77.06
Bruma,POR,RB Leipzig,39.36
Jeffrey Bruma,NED,Wolfsburg,29.89
Bruno,ESP,Brighton,46.96
Chris Brunt,NIR,West Brom,58.17
Marcel Büchel,LIE,Hellas Verona,52.54
Ante Budimir,CRO,Crotone,47.31
Nicolás Burdisso,ARG,Torino,63.18
Guido Burgstaller,AUT,Schalke 04,52.12
Burgui,ESP,Alavés,24.56
Oliver Burke,SCO,West Brom,11.04
Patrick Burner,MTQ,Nice,37.47
Dženis Burnić,GER,Stuttgart,10.56
Sergio Busquets,ESP,Barcelona,85.74
Unai Bustinza,ESP,Leganés,71.32
Jakub Błaszczykowski,POL,Wolfsburg,16.74
Erick Cabaco,URU,Levante,34.79
Yohan Cabaye,FRA,Crystal Palace,69.47
Rémy Cabella,FRA,Saint-Étienne,80.37
Gustavo Cabral,ARG,Celta Vigo,57.33
Leandro Cabrera,URU,Crotone,11.04
Leandro Cabrera,URU,Getafe,49.83
Fabrizio Cacciatore,ITA,Chievo,54.01
Martín Cáceres,URU,Hellas Verona,35.86
Martín Cáceres,URU,Lazio,11.31
Cafú,POR,Metz,19.66
Jonathan Cafu,BRA,Bordeaux,18.84
Gary Cahill,ENG,Chelsea,59.50
Yannick Cahuzac,FRA,Toulouse,45.75
Felipe Caicedo,ECU,Lazio,31.92
Caiuby,BRA,Augsburg,63.86
Cala,ESP,Getafe,53.72
Davide Calabria,ITA,Milan,61.50
Mattia Caldara,ITA,Atalanta,49.36
Hakan Çalhanoğlu,TUR,Milan,79.73
Daniel Caligiuri,ITA,Schalke 04,85.37
José Callejón,ESP,Napoli,79.46
Jonathan Calleri,ARG,Las Palmas,100.00
Simone Calvano,ITA,Hellas Verona,19.67
Dominic Calvert-Lewin,ENG,Everton,64.66
Ignacio Camacho,ESP,Wolfsburg,24.81
Abdoul Camara,GUI,Guingamp,26.02
Souleymane Camara,SEN,Montpellier,27.27
Víctor Camarasa,ESP,Betis,38.60
Geoff Cameron,USA,Stoke City,47.72
José Campaña,ESP,Levante,70.28
Emre Can,GER,Liverpool,59.25
Sergio Canales,ESP,Real Sociedad,57.91
João Cancelo,POR,Inter,54.59
Antonio Candreva,ITA,Inter,47.76
Paolo Cannavaro,ITA,Sassuolo,41.36
Ander Capa,ESP,Eibar,74.54
Pierrick Capelle,FRA,Angers,53.61
Étienne Capoue,FRA,Watford,70.23
Gianluca Caprari,ITA,Sampdoria,34.76
Marco Capuano,ITA,Crotone,43.40
Marco Capuano,ITA,Cagliari,22.01
Antonio Caracciolo,ITA,Hellas Verona,86.60
Diego Carlos,BRA,Nantes,82.26
Lionel Carole,FRA,Sevilla,15.97
Yannick Carrasco,BEL,Atlético Madrid,48.68
Daniel Carriço,POR,Sevilla,33.13
André Carrillo,PER,Watford,44.65
Guido Carrillo,ARG,Southampton,12.14
Guido Carrillo,ARG,Monaco,12.50
Andy Carroll,ENG,West Ham,16.96
Tom Carroll,ENG,Swansea City,76.23
Federico Cartabia,ARG,La Coruña,42.73
Dani Carvajal,ESP,Real Madrid,63.29
Casemiro,BRA,Real Madrid,87.48
Francesco Cassata,ITA,Sassuolo,12.90
Timothy Castagne,BEL,Atalanta,56.90
Leandro Castán,BRA,Cagliari,35.84
Dani Castellano,ESP,Las Palmas,68.43
Javi Castellano,ESP,Las Palmas,55.06
Samu Castillejo,ESP,Villarreal,60.72
Chory Castro,URU,Málaga,63.35
Gonzalo Castro,GER,Dortmund,40.52
Jonny Castro,ESP,Celta Vigo,97.76
Lucas Castro,ARG,Chievo,62.54
Rubén Castro,ESP,Betis,10.51
Danilo Cataldi,ITA,Benevento,73.06
Craig Cathcart,NIR,Watford,60.89
Edinson Cavani,URU,Paris S-G,50.82
Dani Ceballos,ESP,Real Madrid,21.64
Federico Ceccherini,ITA,Crotone,98.97
Luca Ceppitelli,ITA,Cagliari,53.65
Alessio Cerci,ITA,Hellas Verona,48.84
Boštjan Cesar,SVN,Chievo,25.29
Fouad Chafik,MAR,Dijon,47.91
Nathaniel Chalobah,ENG,Watford,15.76
Calum Chambers,ENG,Arsenal,26.81
Timothy Chandler,USA,Eint Frankfurt,39.32
Kwon Chang-hoon,KOR,Dijon,42.97
Charles,BRA,Eibar,48.48
Chema,ESP,Levante,48.54
Denis Cheryshev,RUS,Villarreal,26.57
Raman Chibsah,GHA,Benevento,32.71
Giorgio Chiellini,ITA,Juventus,56.51
Federico Chiesa,ITA,Fiorentina,85.26
Ben Chilwell,ENG,Leicester City,72.07
Vlad Chiricheș,ROU,Napoli,18.74
Hamza Choudhury,ENG,Leicester City,14.17
Andreas Christensen,DEN,Chelsea,42.75
Amato Ciciretti,ITA,Benevento,25.13
Luca Cigarini,ITA,Cagliari,58.20
Per Ciljan Skjelbred,NOR,Hertha BSC,54.05
Thiago Cionek,POL,SPAL,66.18
Issa Cissokho,SEN,Amiens,53.69
Ciaran Clark,IRL,Newcastle Utd,44.82
Christian Clemens,GER,Köln,22.24
Tom Cleverley,ENG,Watford,36.26
Sam Clucas,ENG,Swansea City,59.06
Marcus Coco,FRA,Guingamp,50.10
Massimo Coda,ITA,Benevento,42.85
Isaac Cofie,GHA,Genoa,19.29
Renaud Cohade,FRA,Metz,60.50
Coke,ESP,Levante,38.55
Emre Çolak,TUR,La Coruña,47.70
Séamus Coleman,IRL,Everton,63.14
James Collins,WAL,West Ham,29.67
Racine Coly,SEN,Nice,18.16
Kingsley Coman,FRA,Bayern Munich,43.27
Alois Confais,FRA,Troyes,20.14
Daniel Congré,FRA,Montpellier,84.72
Lewis Cook,ENG,Bournemouth,42.24
Steve Cook,ENG,Bournemouth,77.62
Francis Coquelin,FRA,Valencia,45.58
Sébastien Corchia,FRA,Sevilla,23.50
Iñigo Córdoba,ESP,Athletic Club,43.51
Jhon Córdoba,COL,Köln,49.98
Sergio Córdova,VEN,Augsburg,14.76
Jérémy Cordoval,GLP,Troyes,30.31
Benjamin Corgnet,FRA,Strasbourg,31.90
Jack Cork,ENG,Burnley,70.37
Andreas Cornelius,DEN,Atalanta,28.62
Maxwel Cornet,CIV,Lyon,49.12
Quentin Cornette,FRA,Amiens,12.82
Ángel Correa,ARG,Atlético Madrid,63.98
Joaquín Correa,ARG,Sevilla,33.83
Andrea Costa,ITA,Benevento,43.21
Danny da Costa,GER,Eint Frankfurt,52.71
Diego Costa,ESP,Atlético Madrid,35.19
Douglas Costa,BRA,Juventus,34.10
Filippo Costa,ITA,SPAL,32.44
Jaume Costa,ESP,Villarreal,43.80
Nuno da Costa,CPV,Strasbourg,43.75
Kalifa Coulibaly,MLI,Nantes,31.95
Lassana Coulibaly,MLI,Angers,38.32
Philippe Coutinho,BRA,Liverpool,30.83
Philippe Coutinho,BRA,Barcelona,34.13
Nicolas Cozza,FRA,Montpellier,38.01
Michele Cremonesi,ITA,SPAL,12.30
Aaron Cresswell,ENG,West Ham,78.07
Lorenzo Crisetig,ITA,Bologna,17.87
Bryan Cristante,ITA,Atalanta,90.12
Sebastián Cristóforo,URU,Fiorentina,8.52
Enzo Crivelli,FRA,Angers,29.96
Enzo Crivelli,FRA,Caen,43.00
Giovanni Crociata,ITA,Crotone,8.86
Peter Crouch,ENG,Stoke City,48.63
Juan Cuadrado,COL,Juventus,65.06
Mickaël Cuisance,FRA,M'Gladbach,23.51
Patrick Cutrone,ITA,Milan,42.77
Wylan Cyprien,FRA,Nice,52.79
Marco D'Alessandro,ITA,Benevento,31.71
Danilo D'Ambrosio,ITA,Inter,50.36
Damien Da Silva,FRA,Caen,85.73
Kouadio-Yves Dabila,CIV,Lille,24.88
Bryan Dabo,BFA,Fiorentina,21.66
Bryan Dabo,BFA,Saint-Étienne,37.92
Mahmoud Dahoud,GER,Dortmund,35.73
Dario Dainelli,ITA,Chievo,46.62
Felipe dal Belo,BRA,SPAL,64.01
Charlie Daniels,ENG,Bournemouth,68.07
Danilo,BRA,Manchester City,33.41
Scott Dann,ENG,Crystal Palace,33.51
Kevin Danso,AUT,Augsburg,39.60
Dante,BRA,Nice,73.18
Romain Danzé,FRA,Rennes,20.65
Andrea Danzi,ITA,Hellas Verona,12.39
Stéphane Darbion,FRA,Troyes,55.60
Sergi Darder,ESP,Espanyol,83.56
Vladimír Darida,CZE,Hertha BSC,53.40
Matteo Darmian,ITA,Manchester Utd,12.61
Ben Davies,WAL,Tottenham,53.72
Tom Davies,ENG,Everton,51.00
Steven Davis,NIR,Southampton,44.04
Craig Dawson,ENG,West Brom,74.84
Kevin De Bruyne,BEL,Manchester City,65.58
Sebastien De Maio,FRA,Bologna,39.57
Rodrigo De Paul,ARG,Udinese,89.29
Daniele De Rossi,ITA,Roma,50.20
Mattia De Sciglio,ITA,Juventus,35.27
Lorenzo De Silvestri,ITA,Torino,76.14
Lucas Deaux,FRA,Guingamp,47.49
Mathieu Debuchy,FRA,Saint-Étienne,53.17
Troy Deeney,ENG,Watford,61.63
Jermain Defoe,ENG,Bournemouth,29.98
Steven Defour,BEL,Burnley,35.67
Grégoire Defrel,MTQ,Roma,14.74
Alessandro Deiola,ITA,Cagliari,28.19
Lorenzo Del Pinto,ITA,Benevento,24.21
Thomas Delaney,DEN,Werder Bremen,89.72
Jonathan Delaplace,FRA,Caen,17.35
Cristian Dell'Orco,ITA,Sassuolo,12.05
Andy Delort,ALG,Toulouse,70.89
Fabian Delph,ENG,Manchester City,38.74
Mousa Dembélé,BEL,Tottenham,34.72
Ousmane Dembélé,FRA,Barcelona,36.08
Jessy Deminguet,FRA,Caen,26.82
Kerem Demirbay,GER,Hoffenheim,56.30
Diego Demme,GER,RB Leipzig,70.45
Fabio Depaoli,ITA,Chievo,56.63
Mathieu Deplagne,FRA,Troyes,80.57
Laurent Depoitre,BEL,Huddersfield,40.65
Mike van der Hoorn,NED,Swansea City,56.24
Gregory van der Wiel,NED,Cagliari,9.26
Daniele Dessena,ITA,Cagliari,14.47
Mattia Destro,ITA,Bologna,30.92
Gerard Deulofeu,ESP,Watford,43.76
Gerard Deulofeu,ESP,Barcelona,14.99
Gianluca Di Chiara,ITA,Benevento,32.20
Federico Di Francesco,ITA,Bologna,47.55
Ángel Di María,ARG,Paris S-G,65.27
Franco Di Santo,ARG,Schalke 04,51.17
Cheick Diabaté,MLI,Benevento,19.90
Fousseni Diabaté,MLI,Leicester City,16.41
Fallou Diagne,SEN,Metz,64.66
Adama Diakhaby,FRA,Monaco,25.15
Mouctar Diakhaby,GUI,Lyon,23.00
Abdou Diallo,SEN,Mainz 05,81.20
Mustapha Diallo,SEN,Guingamp,41.58
Mohamed Diamé,SEN,Newcastle Utd,70.72
Lassana Diarra,FRA,Paris S-G,21.25
Amadou Diawara,GUI,Napoli,21.13
Bakaye Dibassy,MLI,Amiens,83.13
Daniel Didavi,GER,Wolfsburg,72.58
Étienne Didot,FRA,Guingamp,56.83
Adrián Diéguez,ESP,Alavés,13.59
Dennis Diekmeier,GER,Hamburger SV,70.85
Eric Dier,ENG,Tottenham,64.83
Lucas Digne,FRA,Barcelona,21.87
Landry Dimata,BEL,Wolfsburg,28.40
Tristan Dingomé,CMR,Troyes,37.62
Ismaël Diomandé,CIV,Caen,30.18
Lois Diony,FRA,Saint-Étienne,29.80
Issa Diop,FRA,Toulouse,95.09
Papakouli Diop,SEN,Eibar,63.17
Assane Dioussé,SEN,Saint-Étienne,40.84
Djené,TOG,Getafe,91.84
Koffi Djidji,CIV,Nantes,72.05
Alexander Djiku,GHA,Caen,80.26
Papy Djilobodji,SEN,Dijon,78.48
Berat Djimsiti,ALB,Benevento,86.79
Keagan Dolly,RSA,Montpellier,20.21
Giulio Donati,ITA,Mainz 05,48.80
Anastasios Donis,GRE,Stuttgart,29.28
Godfred Donsah,GHA,Bologna,54.09
Mauro dos Santos,ARG,Leganés,32.50
Mathieu Dossevi,TOG,Metz,71.83
Abdoulaye Doucouré,MLI,Watford,94.61
Cheick Doukouré,CIV,Levante,20.05
Aleksandar Dragović,AUT,Leicester City,21.78
Julian Draxler,GER,Paris S-G,41.46
Danny Drinkwater,ENG,Chelsea,15.30
Josip Drmić,SUI,M'Gladbach,14.12
Rick van Drongelen,NED,Hamburger SV,55.22
Óscar Duarte,CRC,Espanyol,24.51
Rubén Duarte,ESP,Alavés,79.64
Leo Dubois,FRA,Nantes,92.79
Ondrej Duda,SVK,Hertha BSC,41.66
Shane Duffy,IRL,Brighton,66.54
Paul Dummett,WAL,Newcastle Utd,51.08
Alfred Duncan,GHA,Sassuolo,44.83
Lewis Dunk,ENG,Brighton,92.48
Jimmy Durmaz,SWE,Toulouse,46.38
Riza Durmisi,DEN,Betis,63.67
Paulo Dybala,ARG,Juventus,63.17
Nathan Dyer,ENG,Swansea City,37.69
Edin Džeko,BIH,Roma,77.17
Blerim Džemaili,SUI,Bologna,37.21
Félix Eboa Eboa,CMR,Guingamp,58.68
Éder,ITA,Inter,21.95
Simone Edera,ITA,Torino,10.79
Tom Edwards,ENG,Stoke City,15.24
Maximilian Eggestein,GER,Werder Bremen,92.93
Albin Ekdal,SWE,Hamburger SV,43.02
Josip Elez,CRO,Hannover 96,22.81
Mohamed Elneny,EGY,Arsenal,26.88
Aritz Elustondo,ESP,Real Sociedad,55.53
Nico Elvedi,SUI,M'Gladbach,85.55
Rodrigo Ely,BRA,Alavés,44.21
Breel Embolo,SUI,Schalke 04,34.80
Youssef En-Nesyri,MAR,Málaga,47.27
Sergi Enrich,ESP,Eibar,56.89
Javier Eraso,ESP,Leganés,43.95
Christian Eriksen,DEN,Tottenham,67.48
Gonzalo Escalante,ARG,Eibar,53.96
Sergio Escudero,ESP,Sevilla,38.56
Bernardo Espinosa,COL,Girona,92.06
Alexander Esswein,GER,Hertha BSC,20.33
Oghenekaro Etebo,NGA,Las Palmas,41.44
Beñat Etxebarria,ESP,Athletic Club,38.48
Xabier Etxeita,ESP,Athletic Club,11.95
Jonny Evans,NIR,West Brom,68.20
Patrice Evra,FRA,Marseille,9.89
Erik Expósito,ESP,Las Palmas,14.97
Valentin Eysseric,FRA,Fiorentina,18.14
Imoh Ezekiel,NGA,Las Palmas,15.31
Marco Fabián,MEX,Eint Frankfurt,14.30
Fabinho,BRA,Monaco,97.18
Cesc Fàbregas,ESP,Chelsea,68.87
Fayçal Fajr,MAR,Getafe,42.28
Radamel Falcao,COL,Monaco,69.64
Diego Falcinelli,ITA,Fiorentina,12.88
Diego Falcinelli,ITA,Sassuolo,36.45
Simon Falette,GUI,Eint Frankfurt,47.59
Cesar Falletti,URU,Bologna,10.08
Iago Falque,ESP,Torino,67.23
Paolo Faragò,ITA,Cagliari,46.51
Davide Faraoni,ITA,Crotone,54.55
Mohamed Fares,ALG,Hellas Verona,79.43
Diego Farias,BRA,Cagliari,35.72
Federico Fazio,ARG,Roma,58.40
Zouhair Feddal,MAR,Betis,46.52
Nabil Fekir,FRA,Lyon,69.71
Felipe,BRA,Hannover 96,25.00
Luiz Felipe,ITA,Lazio,48.48
Ohis Felix Uduokhai,GER,Wolfsburg,52.43
