Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3,3,204,2.3
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36,36,3195,35.5
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,19,15,1302,14.5
4,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,1,0,9,0.1
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,38,3420,38
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,26,23,2023,22.5
7,Charles Abi,fr FRA,DFFW,Saint-Étienne,fr Ligue 1,18,2000,3,0,32,0.4
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17,17,1420,15.8
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,10,9,790,8.8
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,37,37,3309,36.8
11,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,28,19,1510,16.8
12,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,10,8,721,8
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,1,90,1
14,Aday,es ESP,DFMF,Girona,es La Liga,30,1987,10,8,645,7.2
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,23,22,1994,22.2
16,Claud Adjapong,it ITA,MFFW,Sassuolo,it Serie A,20,1998,5,3,270,3
17,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2000,7,2,216,2.4
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,3,2,166,1.8
19,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,20,10,943,10.5
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,28,27,2389,26.5
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,27,23,2032,22.6
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13,12,1050,11.7
23,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,33,31,2459,27.3
24,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,29,29,2528,28.1
25,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,6,4,344,3.8
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,4,2,161,1.8
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,17,12,1075,11.9
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,2,1,80,0.9
29,Ola Aina,ng NGA,DF,Torino,it Serie A,21,1996,30,22,2160,24
30,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,13,11,936,10.4
31,Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,13,12,1073,11.9
32,Rayan Aït Nouri,fr FRA,DFMF,Angers,fr Ligue 1,17,2001,3,0,57,0.6
33,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,25,18,1531,17
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,25,25,2205,24.5
35,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,13,12,1023,11.4
36,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,38,38,3411,37.9
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,2,180,2
38,Chadrac Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,16,5,525,5.8
39,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,8,5,499,5.5
40,Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,4,4,313,3.5
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,31,29,2530,28.1
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,25,23,1895,21.1
43,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,27,11,1265,14.1
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,36,32,2991,33.2
45,Luis Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,27,25,1990,22.1
46,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,20,19,1713,19
47,Miiko Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,22,19,1660,18.4
48,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,27,18,1625,18.1
49,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,26,11,1211,13.5
50,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,25,20,1868,20.8
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,30,26,2408,26.8
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,34,34,2976,33.1
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,34,33,2922,32.5
54,Álex Alegría,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,9,0,140,1.6
55,Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,1,0,5,0.1
56,Iván Alejo,es ESP,MF,Getafe,es La Liga,23,1995,4,2,146,1.6
57,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,17,6,637,7.1
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,25,2250,25
