Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,5,33,11,33.3,1.36,0.45,0.15,0.45,23.4,4,0,0,3.1,3.1,0.09,+1.9,+1.9
2,Rolando Aarons,eng ENG,MFFW,Newcastle Utd,eng Premier League,21,1995,1.5,0,2,0,0,1.29,0,0,,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
3,Rolando Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,0,3,0,0,0.52,0,0,,17.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,1,4,2,50,0.34,0.17,0.25,0.5,17.1,0,0,0,0.2,0.2,0.04,+0.8,+0.8
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,0,2,1,50,0.36,0.18,0,0,11.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,0,21,6,28.6,1.61,0.46,0,0,25.2,2,0,0,1,1,0.05,-1,-1
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,0,7,1,14.3,0.27,0.04,0,0,19.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,5,42,13,31,2.19,0.68,0.12,0.38,13.1,0,0,0,6.8,6.8,0.16,-1.8,-1.8
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,0,5,0,0,0.53,0,0,,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,0,15,2,13.3,0.39,0.05,0,0,18,0,0,0,1,1,0.07,-1,-1
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,1,9,3,33.3,0.85,0.28,0.11,0.33,24.2,0,0,0,0.4,0.4,0.04,+0.6,+0.6
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,0,9,2,22.2,1.97,0.44,0,0,31.5,3,0,1,1.6,0.9,0.09,-1.6,-0.9
14,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
15,Aday,es ESP,DF,Girona,es La Liga,29,1987,20.4,2,31,12,38.7,1.52,0.59,0.03,0.08,22.8,5,1,2,2.8,1.3,0.04,-0.8,-0.3
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,0,5,1,20,0.15,0.03,0,0,9.1,0,0,0,0.6,0.6,0.13,-0.6,-0.6
17,Claud Adjapong,it ITA,DFFW,Sassuolo,it Serie A,19,1998,13.6,0,14,4,28.6,1.03,0.3,0,0,20.7,0,0,0,0.8,0.8,0.06,-0.8,-0.8
18,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
19,Yacine Adli,fr FRA,FW,Paris S-G,fr Ligue 1,17,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
20,Ali Adnan Kadhim,iq IRQ,DFFW,Udinese,it Serie A,23,1993,18.6,0,12,3,25,0.65,0.16,0,0,27.6,5,0,0,0.5,0.5,0.04,-0.5,-0.5
21,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,9,56,23,41.1,2.34,0.96,0.11,0.26,13.5,0,3,5,11.1,7.6,0.13,-2.1,-1.6
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
24,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,24,1993,6.8,0,8,3,37.5,1.18,0.44,0,0,8.6,0,0,0,1.6,1.6,0.21,-1.6,-1.6
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,0,3,1,33.3,0.15,0.05,0,0,36.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,2.6,0,6,2,33.3,2.33,0.78,0,0,10.4,0,0,0,1.2,1.2,0.19,-1.2,-1.2
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,21,90,38,42.2,4.13,1.74,0.19,0.45,13.9,1,4,4,16.2,13.1,0.15,+4.8,+3.9
28,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,27.3,0,16,4,25,0.59,0.15,0,0,18.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,0,9,0,0,0.7,0,0,,21.1,0,0,0,0.6,0.6,0.07,-0.6,-0.6
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,33.4,5,39,7,17.9,1.17,0.21,0.13,0.71,23.8,0,0,0,2.2,2.2,0.06,+2.8,+2.8
31,Ailton,br BRA,DFMF,Stuttgart,de Bundesliga,22,1995,1.2,0,1,0,0,0.83,0,0,,15,0,0,0,0,0,0.03,0,0
32,Youssef Aït Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,22.7,0,23,3,13,1.01,0.13,0,0,31.5,0,0,0,0.7,0.7,0.03,-0.7,-0.7
33,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23,1993,14.1,0,8,0,0,0.57,0,0,,19.5,0,0,0,0.9,0.9,0.12,-0.9,-0.9
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,10,0,5,2,40,0.5,0.2,0,0,20.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,37.3,2,18,8,44.4,0.48,0.21,0.11,0.25,11.2,0,0,0,1.4,1.4,0.08,+0.6,+0.6
36,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,0.4,0,2,0,0,4.86,0,0,,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
37,Chadrac Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,22,1995,12.2,5,32,15,46.9,2.61,1.23,0.16,0.33,18,0,0,1,4.7,4,0.12,+0.3,+1.0
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,18.8,0,5,2,40,0.27,0.11,0,0,20.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
