Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Med_Cmp,Med_Att,Med_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,1107,1469,75.4,16588,6133,645,713,90.5,383,511,75,57,160,35.6,2,1.6,1.7,+0.4,20,50,37,9,86
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,1284,1578,81.4,25516,9586,415,469,88.5,715,787,90.9,145,266,54.5,0,0.9,0.6,-0.9,9,95,7,0,96
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,1535,1701,90.2,25518,5456,748,805,92.9,655,699,93.7,108,129,83.7,0,1,0.8,-1,17,87,13,1,80
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,1341,1659,80.8,23753,6845,605,678,89.2,535,620,86.3,152,236,64.4,2,4.4,2.6,-2.4,35,147,23,9,126
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,3,7,42.9,46,0,2,3,66.7,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,0
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,84,137,61.3,1009,278,53,78,67.9,23,36,63.9,1,3,33.3,1,1.4,0.6,-0.4,7,5,6,0,15
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,7,9,77.8,72,15,5,7,71.4,1,1,100,0,0,,0,0,0,0,0,0,1,0,1
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,485,696,69.7,6820,1622,293,401,73.1,134,180,74.4,28,39,71.8,4,4.9,2.4,-0.9,38,35,27,3,53
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,191,226,84.5,3666,1177,56,67,83.6,113,119,95,18,28,64.3,0,0,0,0,0,8,0,0,7
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,1837,2043,89.9,34996,12274,678,731,92.7,919,968,94.9,211,296,71.3,0,0.7,0.8,-0.7,5,119,6,0,78
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,37,64,57.8,481,117,22,32,68.8,10,18,55.6,1,3,33.3,1,0.5,0.3,+0.5,3,3,3,2,2
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,6,9,66.7,102,10,1,1,100,3,6,50,1,1,100,0,0,0,0,0,0,0,0,1
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,1543,1963,78.6,29328,10206,662,722,91.7,640,767,83.4,219,392,55.9,3,3.5,4.1,-0.5,43,115,43,27,104
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,304,472,64.4,4188,1017,188,256,73.4,73,106,68.9,18,34,52.9,3,3.2,1.7,-0.2,26,24,10,0,29
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,794,918,86.5,11903,3451,424,460,92.2,278,307,90.6,49,71,69,1,0.8,1.4,+0.2,7,85,8,0,65
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,73,101,72.3,991,255,44,57,77.2,28,35,80,0,3,0,0,0.5,0.5,-0.5,4,5,4,2,6
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,107,147,72.8,1681,608,51,63,81,39,47,83,9,14,64.3,0,0.4,0.2,-0.4,3,8,3,0,11
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14,376,516,72.9,5007,1529,219,272,80.5,125,166,75.3,9,18,50,2,2,1.5,0,14,27,19,4,49
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,906,1251,72.4,17505,6047,410,480,85.4,310,407,76.2,157,279,56.3,7,6.2,4.3,+0.8,59,122,36,4,130
