Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,56,33,31,18,7,24,3,21,49,105,50,3
69,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,0.4,0,0,0,0,0,0,0,0,0,0,0,0
70,Mohamed Ali Cho,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,3.9,9,7,2,6,1,4,0,4,3,12,0,0
71,Ezgjan Alioski,mk MKD,DFMF,Leeds United,eng Premier League,28,1992,27.3,74,31,38,28,8,17,2,15,23,97,50,2
72,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0
73,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33,3,2,3,0,0,0,0,0,2,5,26,7
74,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12,0,0,0,0,0,0,0,0,0,0,9,3
75,Allan,br BRA,MF,Everton,eng Premier League,29,1991,22.8,80,45,39,37,4,31,12,19,19,99,25,1
76,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,6.9,18,11,8,6,4,9,0,9,7,25,3,0
77,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,27,49,29,21,25,3,23,4,19,25,74,20,1
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,13,3,6,4,3,12,1,11,12,25,30,0
79,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,28,1992,17.4,42,25,13,26,3,22,5,17,22,64,24,2
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,19,12,11,8,0,12,5,7,53,72,73,0
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,13,10,10,3,0,17,12,5,26,39,81,0
82,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,1998,10,17,8,10,4,3,8,1,7,8,25,10,0
83,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,39,26,18,19,2,14,4,10,23,62,25,0
84,Romain Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,30,1989,1.3,4,2,3,1,0,2,1,1,1,5,1,0
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0,0,0,0,0,1,0,1,2,2,1,0
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8,11,7,6,4,1,8,4,4,12,23,26,0
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9,11,9,9,1,1,12,2,10,27,38,33,1
88,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,1997,8.4,7,4,1,1,5,2,0,2,2,9,4,0
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,21,12,7,4,8,0,18,3,15,12,24,7,0
91,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,23.2,57,36,31,24,2,40,19,21,49,106,87,3
92,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,39,22,11,24,4,30,5,25,23,62,12,0
93,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,18,10,8,7,3,12,4,8,14,32,13,0
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,33,19,18,11,4,24,13,11,44,77,151,1
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,2,1,1,1,0,1,1,0,2,4,6,0
96,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,0,0,0,0,0,1,0,1,1,1,0,0
97,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Felipe Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,0,1,1,0,1,0,0,0,0,0,1,0,0
99,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,3,2,0,3,0,10,3,7,2,5,9,0
100,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2,0,0,0,0,0,0,0,0,0,0,0,0
101,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,114,68,47,61,6,39,10,29,76,190,49,0
102,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,51,24,22,27,2,40,6,34,51,102,31,2
103,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,36,24,17,15,4,17,4,13,19,55,9,1
104,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1,0,0,0,0,0,0,0,0,0,0,1,0
105,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10,15,8,9,4,2,7,0,7,13,28,17,1
106,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,0,0,0,0,0,2,2,0,3,3,11,0
107,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,24,31,19,10,18,3,22,1,21,30,61,40,0
108,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,1,0
109,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0,0,0,0,0,1,0,1,0,0,0,0
110,Cristian Ansaldi,ar ARG,DFFW,Torino,it Serie A,33,1986,21.6,48,33,25,14,9,21,7,14,16,64,38,0
111,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,31,20,17,14,0,28,18,10,47,78,114,0
112,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,30,1990,21.9,7,4,1,5,1,20,3,17,7,14,7,0
113,José Antonio Miranda,gq EQG,MFDF,Getafe,es La Liga,22,1998,0.3,0,0,0,0,0,1,0,1,0,0,0,0
114,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,4,2,3,1,0,6,5,1,4,8,13,0
115,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,22,1998,19.8,17,12,0,13,4,17,1,16,17,34,4,0
116,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,19.2,38,20,12,17,9,15,1,14,10,48,6,0
117,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,55,34,33,15,7,23,6,17,25,80,43,0
118,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,1,1,0,1,0,0,0,0,0,1,0,0
119,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,33.1,64,39,22,35,7,40,5,35,42,106,28,0
120,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,41,23,16,21,4,32,4,28,33,74,17,0
121,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,38,25,12,18,8,23,1,22,11,49,3,0
122,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27,24,16,14,9,1,23,18,5,43,67,89,2
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,22,11,12,8,2,24,15,9,20,42,47,1
124,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,45,26,31,11,3,36,11,25,69,114,73,1
125,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36,1,0,1,0,0,0,0,0,1,2,13,3
126,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1,2,1,0,1,1,0,0,0,1,3,4,0
127,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,2,2,0,1,1,1,0,1,0,2,3,0
128,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,21,1999,0.5,1,0,0,0,1,0,0,0,0,1,0,0
129,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0
130,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,30.7,60,41,19,32,9,26,1,25,24,84,19,0
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,47,32,20,26,1,24,3,21,49,96,57,0
132,Toluwalas Arokodare,ng NGA,FWMF,Köln,de Bundesliga,19,2000,1.2,1,1,0,0,1,1,0,1,1,2,0,0
133,Sergio Arribas,es ESP,MFFW,Real Madrid,es La Liga,18,2001,1.5,3,1,2,1,0,2,0,2,4,7,2,0
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,0,0,0,0,0,0,0,0,0,0,0,3
135,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,52,32,24,24,4,22,2,20,22,74,15,1
136,Kwadwo Asamoah,gh GHA,DFMF,Cagliari,it Serie A,31,1988,2.5,4,3,2,2,0,5,1,4,4,8,2,1
137,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,8.5,30,15,15,14,1,23,2,21,13,43,14,0
138,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36,0,0,0,0,0,0,0,0,0,0,13,2
139,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,24,1996,20.8,12,6,7,4,1,15,0,15,11,23,10,0
140,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,1.1,0,0,0,0,0,2,0,2,3,3,3,0
141,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,31.8,11,3,2,7,2,25,2,23,16,27,21,0
142,Roger Assalé,ci CIV,FWMF,Dijon,fr Ligue 1,26,1993,9.2,10,8,3,5,2,7,3,4,2,12,2,0
143,Youcef Atal,dz ALG,DFFW,Nice,fr Ligue 1,24,1996,10.6,25,12,11,14,0,10,2,8,26,51,12,0
144,Miguel Atienza,es ESP,MF,Eibar,es La Liga,21,1999,9.3,20,9,5,15,0,14,1,13,9,29,12,0
145,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,25.9,12,8,7,4,1,18,0,18,7,19,17,0
146,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37,1,1,1,0,0,0,0,0,1,2,16,0
147,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,42,30,27,10,5,22,2,20,32,74,76,1
148,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,0.4,2,0,0,2,0,0,0,0,0,2,0,0
149,Ludwig Augustinsson,se SWE,DFFW,Werder Bremen,de Bundesliga,26,1994,21.7,37,20,19,14,4,21,7,14,20,57,62,0
150,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,27,1992,17.8,55,33,33,17,5,28,5,23,19,74,44,3
151,Charlie Austin,eng ENG,FWMF,West Brom,eng Premier League,31,1989,1.5,4,2,1,2,1,0,0,0,3,7,4,0
152,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,26,1994,2.2,6,2,3,1,2,1,0,1,1,7,0,0
153,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22,1997,15.1,5,3,2,3,0,9,0,9,3,8,4,0
154,Mehmet-Can Aydin,de GER,DF,Schalke 04,de Bundesliga,18,2002,5.6,15,7,9,6,0,6,1,5,6,21,16,0
155,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,28,1991,23.3,38,26,8,16,14,28,2,26,16,54,12,0
156,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,25,1994,8.8,15,9,8,5,2,9,5,4,16,31,33,0
157,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,28,1991,37.8,108,61,69,30,9,53,36,17,36,144,96,5
158,Ramon Azeez,ng NGA,MF,Granada,es La Liga,27,1992,1.1,1,1,0,1,0,0,0,0,1,2,1,0
159,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,30,1989,24.3,53,28,22,24,7,30,5,25,28,81,62,2
160,Ludovic Baal,gf GUF,DFMF,Brest,fr Ligue 1,34,1986,3.3,6,5,4,1,1,4,1,3,5,11,5,0
161,Carlos Bacca,co COL,FW,Villarreal,es La Liga,33,1986,8.7,9,5,5,3,1,5,0,5,3,12,2,0
162,Loïc Bade,fr FRA,DF,Lens,fr Ligue 1,20,2000,29,57,34,47,10,0,43,17,26,74,131,135,2
163,Milan Badelj,hr CRO,MF,Genoa,it Serie A,31,1989,26.8,56,27,27,22,7,51,10,41,87,143,45,1
164,Édgar Badía,es ESP,GK,Elche,es La Liga,28,1992,30,1,0,1,0,0,0,0,0,0,1,17,3
165,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,19,2001,31.9,24,17,15,9,0,21,12,9,58,82,102,4
166,Alex Baena,es ESP,MF,Villarreal,es La Liga,19,2001,1.5,4,3,1,2,1,1,1,0,1,5,1,0
167,Miguel Baeza,es ESP,MFFW,Celta Vigo,es La Liga,20,2000,6,7,6,5,2,0,3,0,3,3,10,2,0
168,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,28,1992,18,9,6,1,7,1,9,0,9,9,18,9,0
169,Leon Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,22,1997,23.8,14,8,3,7,4,13,0,13,9,23,3,0
170,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,26,1994,10.2,5,5,3,1,1,13,11,2,13,18,36,2
171,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1,0,0,0,0,0,0,0,0,0,0,1,0
172,Tiemoué Bakayoko,fr FRA,MF,Napoli,it Serie A,25,1994,21.8,69,41,21,41,7,24,2,22,36,105,13,2
173,Mitchel Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20,2000,18.8,38,30,15,14,9,22,2,20,22,60,20,0
174,Ridle Baku,de GER,FWDF,Wolfsburg,de Bundesliga,22,1998,29.8,50,31,20,20,10,54,4,50,40,90,33,1
175,Ridle Baku,de GER,DF,Mainz 05,de Bundesliga,22,1998,2,4,2,3,1,0,3,1,2,3,7,6,0
176,Dilane Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,17,2002,0.6,2,2,1,1,0,2,0,2,1,3,0,0
177,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,28,1991,13.3,24,12,23,1,0,23,6,17,25,49,63,0
178,Keita Baldé,sn SEN,FW,Sampdoria,it Serie A,25,1995,13.3,9,6,2,6,1,10,1,9,0,9,3,0
179,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,27,1993,31,47,34,28,14,5,26,7,19,25,72,70,1
180,Gareth Bale,wls WAL,FW,Tottenham,eng Premier League,31,1989,10.2,17,10,4,9,4,13,2,11,8,25,16,0
181,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,32,1988,18.8,26,15,11,12,3,22,7,15,7,33,46,0
182,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,21,1999,18.2,29,18,19,7,3,17,9,8,28,57,65,3
183,Fodé Ballo-Touré,sn SEN,DF,Monaco,fr Ligue 1,23,1997,7.4,21,17,9,11,1,7,0,7,6,27,11,1
184,Botond Balogh,hu HUN,DF,Parma,it Serie A,18,2002,1.8,9,7,9,0,0,4,3,1,2,11,8,0
185,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,30,1990,15,27,17,19,7,1,7,1,6,19,46,34,0
186,Jonathan Bamba,fr FRA,MF,Lille,fr Ligue 1,24,1996,33.2,45,23,15,19,11,24,2,22,24,69,15,0
187,Robson Bambu,br BRA,DF,Nice,fr Ligue 1,22,1997,11.6,16,11,14,2,0,8,7,1,10,26,57,0
188,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,26,1993,33.9,21,9,2,11,8,14,4,10,10,31,37,0
189,Mattia Bani,it ITA,DF,Genoa,it Serie A,26,1993,10.2,10,5,5,5,0,16,11,5,27,37,44,0
190,Mattia Bani,it ITA,DF,Parma,it Serie A,26,1993,12.7,20,11,15,4,1,10,6,4,33,53,50,0
191,Simon Banza,fr FRA,FW,Lens,fr Ligue 1,23,1996,15.2,13,6,0,4,9,16,1,15,7,20,15,0
192,Antonín Barák,cz CZE,MF,Hellas Verona,it Serie A,25,1994,30.7,30,19,8,16,6,27,7,20,12,42,40,1
193,Federico Barba,it ITA,DF,Benevento,it Serie A,26,1993,29.5,31,16,22,8,1,39,18,21,48,79,94,4
194,Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,24,1996,2.8,6,3,5,1,0,2,1,1,2,8,11,2
195,Barcia,es ESP,DF,Granada,es La Liga,19,2000,1,1,1,1,0,0,1,1,0,3,4,9,0
196,Melvin Bard,fr FRA,DF,Lyon,fr Ligue 1,19,2000,4.8,12,8,7,4,1,10,2,8,6,18,14,0
197,Enis Bardhi,mk MKD,MF,Levante,es La Liga,25,1995,18.7,28,12,8,16,4,8,2,6,21,49,14,0
198,Phil Bardsley,sct SCO,DF,Burnley,eng Premier League,35,1985,3,6,5,4,2,0,3,1,2,6,12,12,0
199,Nicolò Barella,it ITA,MF,Inter,it Serie A,23,1997,32.2,58,31,23,29,6,29,4,25,26,84,14,0
200,Philipp Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,31,1989,0.3,0,0,0,0,0,0,0,0,0,0,3,0
201,Kike Barja,es ESP,MFFW,Osasuna,es La Liga,23,1997,15.9,10,5,6,1,3,10,1,9,16,26,8,0
202,Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,26,1993,17,6,2,2,4,0,9,1,8,5,11,6,1
203,Ross Barkley,eng ENG,FWMF,Chelsea,eng Premier League,26,1993,0.5,0,0,0,0,0,0,0,0,0,0,0,0
204,Aymen Barkok,ma MAR,MFDF,Eint Frankfurt,de Bundesliga,22,1998,10.9,29,15,11,9,9,15,1,14,10,39,9,1
205,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,30,1989,14.8,12,6,2,6,4,14,2,12,5,17,11,0
206,Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,22,1997,21.6,19,9,11,3,5,16,3,13,8,27,11,0
207,Marc Baró,es ESP,DF,Cádiz,es La Liga,20,1999,1,2,1,2,0,0,1,0,1,2,4,2,1
208,Antonio Barragán,es ESP,DF,Elche,es La Liga,33,1987,24.8,28,14,21,5,2,22,8,14,33,61,67,1
