Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0,0,0,0,0,0,0,1,1,1,0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,35,22,18,17,0,18,6,12,30,65,40,2
3,Issah Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,59,37,36,23,0,34,15,19,61,120,132,0
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,2,0,1,1,0,0,0,0,0,2,0,0
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,34,19,16,14,4,9,2,7,20,54,10,0
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,145,84,64,69,12,64,6,58,46,191,12,0
8,Charles Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,10.1,8,2,5,0,3,6,2,4,4,12,5,0
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,15,13,10,5,0,7,4,3,27,42,87,0
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,18,12,13,3,2,13,4,9,17,35,34,0
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,7,5,3,3,1,6,0,6,5,12,17,0
13,Amir Abrashi,al ALB,MFDF,Freiburg,de Bundesliga,30,1990,0.7,1,1,1,0,0,1,1,0,2,3,1,0
14,Gennaro Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,4.9,6,4,1,4,1,4,1,3,4,10,4,0
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,51,32,34,13,4,24,15,9,76,127,121,2
16,Ragnar Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,1.1,2,0,0,1,1,1,0,1,1,3,1,0
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,62,42,34,20,8,23,2,21,23,85,30,1
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,25,16,4,15,6,20,2,18,4,29,19,1
19,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,21,1999,20.6,35,24,12,15,8,22,5,17,29,64,30,0
20,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,5.3,9,4,4,3,2,2,0,2,6,15,1,0
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,37,19,30,6,1,26,20,6,42,79,197,2
22,Bobby Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,0.4,0,0,0,0,0,0,0,0,0,0,1,0
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,74,37,30,33,11,27,2,25,39,113,17,2
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,0,0,0,0,0,0,0,0,0,0,3,1
26,Martin Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24,1996,17.3,32,18,17,12,3,9,3,6,27,59,36,0
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,18,10,11,7,0,10,5,5,15,33,10,0
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,20,9,10,9,1,14,3,11,12,32,18,0
29,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,39,28,9,15,15,30,0,30,10,49,2,0
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,37,30,28,9,0,34,22,12,47,84,102,0
31,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,6.2,4,1,0,2,2,2,0,2,2,6,0,0
32,Ruben Aguilar,fr FRA,DFMF,Monaco,fr Ligue 1,27,1993,24.7,63,37,32,21,10,30,3,27,47,110,43,1
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,4,1,3,1,0,2,0,2,1,5,1,0
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10,26,20,10,14,2,6,0,6,2,28,8,0
35,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,46,25,18,25,3,17,5,12,53,99,32,0
36,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,1,0,0,1,0,0,0,0,1,2,1,0
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,26,17,17,9,0,7,4,3,25,51,88,1
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,37,20,22,7,8,22,6,16,45,82,94,2
39,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,15.6,29,16,18,10,1,14,1,13,15,44,25,0
40,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,2.1,3,2,1,2,0,2,1,1,4,7,1,0
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,40,14,34,6,0,51,32,19,42,82,122,2
42,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,33,30,18,6,18,6,14,5,9,11,41,54,0
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,41,22,23,12,6,23,10,13,49,90,70,1
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,18,14,14,4,0,16,3,13,19,37,33,0
45,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,3,3,1,0,2,2,0,2,0,3,1,0
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,10,5,3,6,1,2,1,1,9,19,23,0
47,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,4.2,11,8,2,8,1,3,1,2,6,17,7,0
48,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,38,25,13,22,3,24,6,18,18,56,13,0
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,18,12,11,6,1,28,15,13,13,31,32,2
50,David Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,29.7,37,21,14,19,4,29,13,16,43,80,60,0
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,53,33,30,16,7,17,2,15,21,74,38,0
52,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,0.8,2,1,1,0,1,0,0,0,1,3,0,0
53,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,8,2,2,5,1,9,1,8,2,10,10,0
54,Jordi Alba,es ESP,DFFW,Barcelona,es La Liga,31,1989,33.6,45,30,22,16,7,21,2,19,49,94,48,0
55,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,43,24,15,19,9,41,2,39,13,56,11,1
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,22,15,19,3,0,32,22,10,22,44,146,2
57,Marc Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,19.4,33,19,14,15,4,29,3,26,17,50,27,1
58,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,6,3,1,2,3,8,0,8,9,15,6,0
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,8,4,6,2,0,19,13,6,16,24,50,0
60,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,61,36,20,30,11,26,0,26,30,91,14,0
61,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,54,29,32,21,1,35,8,27,31,85,28,0
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,16,10,11,5,0,14,10,4,21,37,61,1
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,35,22,22,11,2,40,28,12,10,45,121,0
64,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,9.2,14,10,8,4,2,14,1,13,3,17,10,0
65,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,1998,0.5,1,0,1,0,0,0,0,0,0,1,0,0
66,Carles Aleñá,es ESP,MFFW,Getafe,es La Liga,22,1998,15.2,15,10,3,9,3,14,1,13,2,17,2,0
67,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0
