Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,12,6,7,5,0,5,0,5,8,20,9,0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,48,24,35,11,2,33,9,24,40,88,91,2
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,34,19,16,13,5,19,6,13,18,52,50,0
4,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,60,33,48,11,1,44,24,20,65,125,196,0
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,51,33,27,16,8,33,7,26,29,80,23,1
7,Charles Abi,fr FRA,DFFW,Saint-Étienne,fr Ligue 1,18,2000,0.4,4,4,2,1,1,1,0,1,0,4,1,0
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,22,14,13,8,1,23,12,11,24,46,64,0
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,20,11,7,10,3,11,3,8,14,34,15,0
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,40,30,22,13,5,50,32,18,61,101,169,1
11,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,27,9,9,12,6,11,1,10,12,39,16,0
12,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8,29,17,12,16,1,17,1,16,16,45,8,0
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Aday,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,9,8,2,5,2,1,0,1,7,16,17,1
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,31,22,20,11,0,26,11,15,31,62,101,0
16,Claud Adjapong,it ITA,MFFW,Sassuolo,it Serie A,20,1998,3,4,2,1,3,0,3,1,2,1,5,4,0
17,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2000,2.4,7,2,2,3,2,3,0,3,2,9,0,0
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,1.8,1,1,1,0,0,1,1,0,3,4,6,0
19,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,4,2,1,1,2,2,1,1,0,4,4,0
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,52,38,38,12,2,22,2,20,19,71,60,1
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,45,29,32,10,3,33,11,22,27,72,65,1
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,17,12,8,9,0,20,11,9,14,31,59,1
23,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,17,9,1,10,6,15,1,14,9,26,3,0
24,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,28.1,88,51,40,33,15,23,3,20,37,125,50,1
25,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,2,2,0,1,1,4,2,2,4,6,2,0
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,4,0,1,2,1,2,0,2,1,5,2,0
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,20,11,6,11,3,7,0,7,17,37,12,0
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,3,1,1,1,1,1,0,1,2,5,2,0
29,Ola Aina,ng NGA,DF,Torino,it Serie A,21,1996,24,54,36,32,20,2,30,3,27,39,93,59,2
30,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,25,13,9,12,4,15,2,13,19,44,6,2
31,Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,33,16,14,18,1,15,5,10,15,48,19,0
32,Rayan Aït Nouri,fr FRA,DFMF,Angers,fr Ligue 1,17,2001,0.6,2,2,1,1,0,0,0,0,0,2,1,0
33,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17,17,13,1,10,6,5,0,5,5,22,9,0
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,29,19,14,13,2,22,13,9,27,56,92,2
35,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,28,15,18,8,2,12,2,10,23,51,36,0
