Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
64,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,22,6,827,9.2
65,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,1998,2,0,48,0.5
66,Carles Aleñá,es ESP,MFFW,Getafe,es La Liga,22,1998,22,15,1366,15.2
67,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,1,0,16,0.2
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,36,34,3031,33.7
69,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,2,0,34,0.4
70,Mohamed Ali Cho,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,21,1,348,3.9
71,Ezgjan Alioski,mk MKD,DFMF,Leeds United,eng Premier League,28,1992,36,29,2461,27.3
72,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,1,0,15,0.2
73,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33,33,2970,33
74,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12,12,1080,12
75,Allan,br BRA,MF,Everton,eng Premier League,29,1991,24,23,2051,22.8
76,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,15,7,620,6.9
77,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,34,28,2429,27
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,13,11,960,10.7
79,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,28,1992,27,17,1568,17.4
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,23,22,1948,21.6
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,19,18,1632,18.1
82,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,1998,15,10,896,10
83,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,24,20,1504,16.7
84,Romain Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,30,1989,2,1,116,1.3
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,1,0,45,0.5
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,12,8,722,8
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,13,10,813,9
88,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,1997,23,5,753,8.4
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,1,0,2,0
90,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,29,20,1890,21
91,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,25,23,2089,23.2
92,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,31,28,2441,27.1
93,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,23,7,800,8.9
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,31,30,2730,30.3
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,3,2,192,2.1
96,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,3,1,72,0.8
97,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,1,0,4,0
98,Felipe Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,2,0,3,0
99,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,16,14,1126,12.5
100,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2,2,180,2
101,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,35,35,2885,32.1
102,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,29,29,2526,28.1
103,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,26,21,1672,18.6
104,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1,1,90,1
105,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,14,11,901,10
106,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,2,1,135,1.5
107,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,26,24,2161,24
108,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,1,0,5,0.1
109,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,1,0,13,0.1
110,Cristian Ansaldi,ar ARG,DFFW,Torino,it Serie A,33,1986,31,20,1947,21.6
111,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,31,30,2711,30.1
112,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,30,1990,26,24,1974,21.9
113,José Antonio Miranda,gq EQG,MFDF,Getafe,es La Liga,22,1998,4,0,26,0.3
114,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,5,2,232,2.6
115,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,22,1998,30,23,1781,19.8
116,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,34,21,1731,19.2
117,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,22,16,1556,17.3
118,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,1,0,26,0.3
119,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,34,33,2983,33.1
120,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,21,20,1669,18.5
121,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,1996,28,17,1496,16.6
122,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,33,26,2426,27
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,24,16,1510,16.8
124,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,34,30,2807,31.2
125,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36,36,3240,36
126,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1,1,90,1
127,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,13,2,294,3.3
128,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,21,1999,4,0,47,0.5
129,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,1,0,5,0.1
130,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,33,32,2764,30.7
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,30,30,2585,28.7
132,Toluwalas Arokodare,ng NGA,FWMF,Köln,de Bundesliga,19,2000,10,0,112,1.2
133,Sergio Arribas,es ESP,MFFW,Real Madrid,es La Liga,18,2001,8,0,135,1.5
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,7,6,585,6.5
135,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,30,25,1818,20.2
136,Kwadwo Asamoah,gh GHA,DFMF,Cagliari,it Serie A,31,1988,9,1,224,2.5
137,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,13,8,762,8.5
138,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36,36,3240,36
139,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,24,1996,35,21,1869,20.8
140,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,6,0,95,1.1
141,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,33,33,2864,31.8
142,Roger Assalé,ci CIV,FWMF,Dijon,fr Ligue 1,26,1993,17,11,828,9.2
143,Youcef Atal,dz ALG,DFFW,Nice,fr Ligue 1,24,1996,18,13,956,10.6
144,Miguel Atienza,es ESP,MF,Eibar,es La Liga,21,1999,12,9,838,9.3
145,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,29,26,2332,25.9
146,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37,37,3330,37
147,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,37,37,3216,35.7
148,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,3,0,36,0.4
149,Ludwig Augustinsson,se SWE,DFFW,Werder Bremen,de Bundesliga,26,1994,23,21,1957,21.7
150,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,27,1992,19,19,1605,17.8
151,Charlie Austin,eng ENG,FWMF,West Brom,eng Premier League,31,1989,5,0,138,1.5
152,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,26,1994,8,2,202,2.2
153,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22,1997,21,16,1359,15.1
154,Mehmet-Can Aydin,de GER,DF,Schalke 04,de Bundesliga,18,2002,6,6,500,5.6
155,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,28,1991,33,23,2096,23.3
156,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,25,1994,19,7,796,8.8
157,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,28,1991,38,38,3399,37.8
158,Ramon Azeez,ng NGA,MF,Granada,es La Liga,27,1992,2,1,101,1.1
159,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,30,1989,26,24,2188,24.3
160,Ludovic Baal,gf GUF,DFMF,Brest,fr Ligue 1,34,1986,7,3,296,3.3
161,Carlos Bacca,co COL,FW,Villarreal,es La Liga,33,1986,23,9,786,8.7
162,Loïc Bade,fr FRA,DF,Lens,fr Ligue 1,20,2000,31,29,2610,29
163,Milan Badelj,hr CRO,MF,Genoa,it Serie A,31,1989,30,29,2408,26.8
164,Édgar Badía,es ESP,GK,Elche,es La Liga,28,1992,30,30,2700,30
165,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,19,2001,35,32,2870,31.9
166,Alex Baena,es ESP,MF,Villarreal,es La Liga,19,2001,6,2,137,1.5
167,Miguel Baeza,es ESP,MFFW,Celta Vigo,es La Liga,20,2000,22,4,543,6
168,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,28,1992,30,18,1616,18
169,Leon Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,22,1997,30,25,2141,23.8
170,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,26,1994,12,10,916,10.2
171,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1,1,90,1
172,Tiemoué Bakayoko,fr FRA,MF,Napoli,it Serie A,25,1994,32,23,1964,21.8
173,Mitchel Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20,2000,26,18,1694,18.8
174,Ridle Baku,de GER,FWDF,Wolfsburg,de Bundesliga,22,1998,32,31,2678,29.8
175,Ridle Baku,de GER,DF,Mainz 05,de Bundesliga,22,1998,2,2,180,2
176,Dilane Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,17,2002,7,0,56,0.6
177,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,28,1991,14,13,1198,13.3
178,Keita Baldé,sn SEN,FW,Sampdoria,it Serie A,25,1995,25,12,1197,13.3
179,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,27,1993,32,32,2787,31
180,Gareth Bale,wls WAL,FW,Tottenham,eng Premier League,31,1989,20,10,920,10.2
181,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,32,1988,23,17,1689,18.8
182,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,21,1999,21,19,1634,18.2
183,Fodé Ballo-Touré,sn SEN,DF,Monaco,fr Ligue 1,23,1997,24,6,662,7.4
184,Botond Balogh,hu HUN,DF,Parma,it Serie A,18,2002,3,1,165,1.8
185,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,30,1990,16,16,1347,15
186,Jonathan Bamba,fr FRA,MF,Lille,fr Ligue 1,24,1996,38,34,2985,33.2
187,Robson Bambu,br BRA,DF,Nice,fr Ligue 1,22,1997,15,12,1046,11.6
188,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,26,1993,38,37,3050,33.9
189,Mattia Bani,it ITA,DF,Genoa,it Serie A,26,1993,11,10,921,10.2
190,Mattia Bani,it ITA,DF,Parma,it Serie A,26,1993,15,14,1145,12.7
191,Simon Banza,fr FRA,FW,Lens,fr Ligue 1,23,1996,34,12,1372,15.2
192,Antonín Barák,cz CZE,MF,Hellas Verona,it Serie A,25,1994,34,32,2765,30.7
193,Federico Barba,it ITA,DF,Benevento,it Serie A,26,1993,32,31,2659,29.5
194,Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,24,1996,4,3,250,2.8
195,Barcia,es ESP,DF,Granada,es La Liga,19,2000,1,1,90,1
196,Melvin Bard,fr FRA,DF,Lyon,fr Ligue 1,19,2000,14,4,432,4.8
197,Enis Bardhi,mk MKD,MF,Levante,es La Liga,25,1995,26,19,1682,18.7
198,Phil Bardsley,sct SCO,DF,Burnley,eng Premier League,35,1985,4,3,274,3
199,Nicolò Barella,it ITA,MF,Inter,it Serie A,23,1997,36,32,2896,32.2
200,Philipp Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,31,1989,1,0,27,0.3
201,Kike Barja,es ESP,MFFW,Osasuna,es La Liga,23,1997,33,17,1433,15.9
202,Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,26,1993,24,18,1531,17
203,Ross Barkley,eng ENG,FWMF,Chelsea,eng Premier League,26,1993,2,0,42,0.5
204,Aymen Barkok,ma MAR,MFDF,Eint Frankfurt,de Bundesliga,22,1998,26,9,977,10.9
205,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,30,1989,22,15,1331,14.8
206,Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,22,1997,25,22,1945,21.6
207,Marc Baró,es ESP,DF,Cádiz,es La Liga,20,1999,1,1,90,1
208,Antonio Barragán,es ESP,DF,Elche,es La Liga,33,1987,27,26,2235,24.8
209,Antonio Barreca,it ITA,DF,Fiorentina,it Serie A,25,1995,3,1,85,0.9
210,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,20,2000,29,27,2303,25.6
211,Ander Barrenetxea,es ESP,MFFW,Real Sociedad,es La Liga,18,2001,31,13,1307,14.5
212,Jacob Barrett Laursen,dk DEN,DF,Arminia,de Bundesliga,25,1994,16,13,1108,12.3
213,Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,21,1998,38,34,2921,32.5
214,Kyle Bartley,eng ENG,DF,West Brom,eng Premier League,29,1991,30,28,2584,28.7
215,Paolo Bartolomei,it ITA,MF,Spezia,it Serie A,30,1989,6,3,320,3.6
216,Marc Bartra,es ESP,DF,Betis,es La Liga,29,1991,19,19,1694,18.8
217,Daniele Baselli,it ITA,MF,Torino,it Serie A,28,1992,15,3,396,4.4
218,Chris Basham,eng ENG,DFMF,Sheffield Utd,eng Premier League,32,1988,31,31,2576,28.6
219,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,23,1996,34,32,2601,28.9
220,Álvaro Bastida,es ESP,MF,Cádiz,es La Liga,16,2004,1,0,35,0.4
221,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,21,1999,33,33,2922,32.5
222,Simone Bastoni,it ITA,DF,Spezia,it Serie A,23,1996,22,19,1522,16.9
223,Bastos,ao ANG,DF,Lazio,it Serie A,29,1991,2,0,63,0.7
224,Michy Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,26,1993,18,7,728,8.1
225,Rodrigo Battaglia,ar ARG,MF,Alavés,es La Liga,29,1991,32,29,2492,27.7
226,Cristian Battocchio,it ITA,MF,Brest,fr Ligue 1,28,1992,15,2,355,3.9
227,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,30,1990,31,31,2790,31
228,Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,32,1988,17,12,1072,11.9
229,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,20,1999,31,28,2369,26.3
230,Jon Bautista,es ESP,FW,Real Sociedad,es La Liga,25,1995,21,0,370,4.1
231,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,32,1988,31,29,2614,29
232,Noah Joel Sarenren Bazee,ng NGA,FWMF,Augsburg,de Bundesliga,23,1996,5,0,36,0.4
233,Ihlas Bebou,tg TOG,FWMF,Hoffenheim,de Bundesliga,26,1994,32,23,2200,24.4
234,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,24,1996,35,32,2780,30.9
235,Sheraldo Becker,sr SUR,FWMF,Union Berlin,de Bundesliga,25,1995,18,15,1106,12.3
236,Timo Becker,de GER,DF,Schalke 04,de Bundesliga,23,1997,20,18,1640,18.2
237,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,24,1996,36,36,3100,34.4
238,Donny van de Beek,nl NED,MFFW,Manchester Utd,eng Premier League,23,1997,19,4,524,5.8
239,Valon Behrami,ch SUI,MF,Genoa,it Serie A,35,1985,26,8,892,9.9
240,Brian Behrendt,de GER,DF,Arminia,de Bundesliga,28,1991,3,0,79,0.9
241,Maximilian Beier,de GER,FWDF,Hoffenheim,de Bundesliga,17,2002,3,0,10,0.1
242,Ishak Belfodil,dz ALG,FWMF,Hoffenheim,de Bundesliga,28,1992,14,7,596,6.6
243,Erwan Belhadji,fr FRA,MF,Dijon,fr Ligue 1,19,2001,1,0,30,0.3
244,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,26,1994,35,33,2727,30.3
245,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,28,1991,16,16,1266,14.1
246,Karim Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,30,1990,22,7,798,8.9
247,Jean-Ricner Bellegarde,fr FRA,MFFW,Strasbourg,fr Ligue 1,22,1998,36,25,2086,23.2
248,Héctor Bellerín,es ESP,DFMF,Arsenal,eng Premier League,25,1995,25,24,2089,23.2
249,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,17,2003,29,19,1697,18.9
250,Andrea Belotti,it ITA,FW,Torino,it Serie A,26,1993,35,33,2888,32.1
251,Fran Beltrán,es ESP,MFFW,Celta Vigo,es La Liga,21,1999,32,13,1399,15.5
252,Sami Ben Amar,ma MAR,MF,Nîmes,fr Ligue 1,22,1998,1,0,7,0.1
253,Hatem Ben Arfa,fr FRA,MFFW,Bordeaux,fr Ligue 1,33,1987,24,19,1703,18.9
254,Salim Ben Seghir,fr FRA,DF,Nice,fr Ligue 1,17,2003,1,0,7,0.1
255,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,29,1990,37,32,2607,29
256,Ahmad Benali,ly LBY,MF,Crotone,it Serie A,28,1992,18,15,1214,13.5
257,Samy Benchamma,fr FRA,DFMF,Montpellier,fr Ligue 1,20,2000,5,0,42,0.5
258,Lars Bender,de GER,DF,Leverkusen,de Bundesliga,31,1989,14,12,936,10.4
259,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,31,1989,18,14,1170,13
260,Darío Benedetto,ar ARG,FW,Marseille,fr Ligue 1,30,1990,32,19,1579,17.5
261,László Bénes,sk SVK,MF,Augsburg,de Bundesliga,22,1997,12,9,660,7.3
262,László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,22,1997,7,1,150,1.7
263,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,27,1993,38,38,3420,38
264,Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,28,1992,31,30,2651,29.5
265,Sergio Benito,es ESP,FW,Valladolid,es La Liga,21,1999,1,0,2,0
266,Bilal Benkhedim,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2001,3,1,73,0.8
267,Djamel Benlamri,dz ALG,DF,Lyon,fr Ligue 1,30,1989,6,0,149,1.7
268,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,22,1997,21,17,1326,14.7
269,Saïd Benrahma,dz ALG,FWMF,West Ham,eng Premier League,24,1995,30,14,1391,15.5
270,Yassine Benrahou,fr FRA,MF,Nîmes,fr Ligue 1,21,1999,23,15,1239,13.8
271,Ramy Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,25,1995,25,20,1811,20.1
272,Josh Benson,eng ENG,MF,Burnley,eng Premier League,20,1999,6,2,264,2.9
273,Nabil Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,25,1994,9,6,548,6.1
274,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,23,1997,33,27,2324,25.8
275,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,29,1990,30,21,1816,20.2
276,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,32,1987,34,33,2894,32.2
277,Yassine Benzia,dz ALG,MFFW,Dijon,fr Ligue 1,25,1994,7,5,407,4.5
278,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,29,1991,1,0,28,0.3
279,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,25,1994,30,28,2475,27.5
280,Gaetano Berardi,ch SUI,DF,Leeds United,eng Premier League,31,1988,2,1,113,1.3
281,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,30,1990,23,21,1682,18.7
282,Álex Berenguer,es ESP,MF,Torino,it Serie A,25,1995,2,2,131,1.5
283,Álex Berenguer,es ESP,MFFW,Athletic Club,es La Liga,25,1995,35,27,2278,25.3
284,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,28,1992,31,29,2607,29
