Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,2,0,11,0.1
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,22,20,1777,19.7
3,Issah Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,2,0,18,0.2
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,33,2889,32.1
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,3,0,60,0.7
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,18,15,1320,14.7
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,38,32,2963,32.9
8,Charles Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,24,9,912,10.1
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,1,0,2,0
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,14,1260,14
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,14,14,1222,13.6
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,22,12,1040,11.6
13,Amir Abrashi,al ALB,MFDF,Freiburg,de Bundesliga,30,1990,5,0,60,0.7
14,Gennaro Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,14,2,441,4.9
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,32,32,2813,31.3
16,Ragnar Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,7,0,100,1.1
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,30,26,2330,25.9
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,36,30,2667,29.6
19,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,21,1999,27,21,1850,20.6
20,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,18,3,479,5.3
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,33,33,2953,32.8
22,Bobby Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,3,0,36,0.4
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,35,25,2418,26.9
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,1,0,10,0.1
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,3,270,3
26,Martin Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24,1996,26,16,1558,17.3
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,12,9,800,8.9
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,15,8,701,7.8
29,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,29,14,1356,15.1
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,35,3147,35
31,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,12,7,559,6.2
32,Ruben Aguilar,fr FRA,DFMF,Monaco,fr Ligue 1,27,1993,33,27,2225,24.7
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,6,3,252,2.8
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,20,10,899,10
35,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,27,26,2146,23.8
36,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,2,0,36,0.4
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,25,14,1289,14.3
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,31,31,2664,29.6
39,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,21,16,1404,15.6
40,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,3,2,187,2.1
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,33,31,2780,30.9
42,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,35,34,2967,33
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,28,26,2350,26.1
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,13,10,865,9.6
45,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,9,0,146,1.6
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,10,9,797,8.9
47,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,10,4,378,4.2
48,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,32,6,1056,11.7
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,16,14,1184,13.2
50,David Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,32,30,2675,29.7
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,22,17,1505,16.7
52,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,1,1,73,0.8
53,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,25,12,1245,13.8
54,Jordi Alba,es ESP,DFFW,Barcelona,es La Liga,31,1989,35,34,3025,33.6
55,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,34,33,2618,29.1
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,35,35,3115,34.6
57,Marc Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,31,17,1746,19.4
58,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,27,19,1544,17.2
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,13,8,909,10.1
60,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,24,20,1854,20.6
61,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,30,25,2165,24.1
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,17,14,1299,14.4
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,25,25,2240,24.9
