Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
307,Bartosz Bialek,pl POL,FWDF,Wolfsburg,de Bundesliga,19,2001,2,0,6,2,33.3,3.03,1.01,0,0,13.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,763b8b37
308,Giulian Biancone,fr FRA,DFMF,Troyes,fr Ligue 1,21,2000,25.5,1,28,9,32.1,1.1,0.35,0.04,0.11,18.3,1,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches,de40e38c
309,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,31,1990,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,7aac47fe
310,Mads Bidstrup,dk DEN,MF,Brentford,eng Premier League,20,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,407db0d5
311,Pedro Bigas,es ESP,DF,Elche,es La Liga,30,1990,17.2,1,12,3,25,0.7,0.17,0.08,0.33,20.6,1,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches,697295b1
312,El Bilal Touré,ml MLI,FW,Reims,fr Ligue 1,19,2001,13.3,2,32,10,31.3,2.41,0.75,0.03,0.1,14,0,1,1,4.7,3.9,0.12,-2.7,-2.9,Matches,47c609d5
313,Jean-Claude Billong,cm CMR,DF,Clermont Foot,fr Ligue 1,27,1993,10.9,0,5,1,20,0.46,0.09,0,0,10.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,a3e1d20d
314,Luis Binks,eng ENG,DF,Bologna,it Serie A,19,2001,7.2,0,2,0,0,0.28,0,0,,21.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,36e88fbc
315,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,28,1992,35,4,36,16,44.4,1.03,0.46,0.08,0.19,25.4,14,1,2,3.7,2.2,0.06,+0.3,+0.8,Matches,9e1577aa
316,Davide Biraschi,it ITA,DF,Genoa,it Serie A,27,1994,10.3,0,3,0,0,0.29,0,0,,24,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,64cd167d
317,Tom Bischof,de GER,MF,Hoffenheim,de Bundesliga,16,2005,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,07d3bfec
318,Yves Bissouma,ml MLI,MF,Brighton,eng Premier League,24,1996,23.5,1,21,5,23.8,0.9,0.21,0.05,0.2,25.3,1,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches,6c203af0
319,Nathan Bitu Mazala,fr FRA,DF,Paris S-G,fr Ligue 1,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,0f697e02
320,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,1991,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,3d214e5f
321,Bjarki Bjarkason,is ISL,MF,Venezia,it Serie A,21,2000,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,f1d25de7
322,Blanco,es ESP,MF,Real Madrid,es La Liga,21,2000,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,506daeac
323,Ludovic Blas,fr FRA,MFFW,Nantes,fr Ligue 1,23,1997,32.9,10,85,32,37.6,2.58,0.97,0.06,0.16,20.6,1,5,5,12.1,8.2,0.1,-2.1,-3.2,Matches,6191093d
324,Danny Blum,de GER,FW,Bochum,de Bundesliga,30,1991,3.8,2,11,5,45.5,2.86,1.3,0.18,0.4,16.5,1,0,0,0.9,0.9,0.08,+1.1,+1.1,Matches,eb61713c
325,Myron Boadu,nl NED,FW,Monaco,fr Ligue 1,20,2001,10.7,4,21,8,38.1,1.97,0.75,0.19,0.5,10.5,0,0,0,5.8,5.8,0.28,-1.8,-1.8,Matches,5b479568
326,Jérôme Boateng,de GER,DF,Lyon,fr Ligue 1,32,1988,18,0,5,3,60,0.28,0.17,0,0,17.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,2db2fd7b
327,Kevin-Prince Boateng,gh GHA,MFFW,Hertha BSC,de Bundesliga,34,1987,7.7,0,10,2,20,1.29,0.26,0,0,22.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,f4ec4fd0
328,Antonin Bobichon,fr FRA,MFFW,Angers,fr Ligue 1,25,1995,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,7d937aa1
329,Herbert Bockhorn,de GER,DF,Bochum,de Bundesliga,26,1995,9.4,0,7,2,28.6,0.74,0.21,0,0,23.4,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,5ad8c360
330,Jean-Paul Boëtius,nl NED,MF,Mainz 05,de Bundesliga,27,1994,20,2,24,8,33.3,1.2,0.4,0.08,0.25,24.4,1,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches,635f2732
331,Jeremie Boga,ci CIV,FWMF,Atalanta,it Serie A,24,1997,8.5,0,21,5,23.8,2.47,0.59,0,0,18.5,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches,fe012aca
