Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
718,Javairô Dilrosun,nl NED,FW,Hertha BSC,de Bundesliga,23,1998,1.5,0,1,0,0,0.65,0,0,,22.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,34a0f5ff
719,Federico Dimarco,it ITA,DF,Inter,it Serie A,23,1997,15.9,2,38,18,47.4,2.39,1.13,0.05,0.11,20.1,3,0,1,4.1,3.3,0.09,-2.1,-1.3,Matches,970b8574
720,Landry Dimata,be BEL,FWMF,Espanyol,es La Liga,23,1997,6,0,8,0,0,1.33,0,0,,11.7,0,0,0,1.5,1.5,0.19,-1.5,-1.5,Matches,b5f63410
721,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,27,1993,30.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,fc70e345
722,Junior Dina Ebimbe,fr FRA,MF,Paris S-G,fr Ligue 1,20,2000,3.5,0,4,1,25,1.14,0.28,0,0,25.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,95bb6ddc
723,Tristan Dingomé,cm CMR,MFFW,Troyes,fr Ligue 1,30,1991,12,2,20,4,20,1.67,0.33,0.1,0.5,22.8,1,0,0,1.1,1.1,0.06,+0.9,+0.9,Matches,92b56413
724,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,20,2001,6.4,0,3,0,0,0.47,0,0,,10.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,6de23ab0
725,Issa Diop,fr FRA,DF,West Ham,eng Premier League,24,1997,10.7,0,2,2,100,0.19,0.19,0,0,9.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,a712ca2b
726,Sofiane Diop,fr FRA,MFFW,Monaco,fr Ligue 1,21,2000,21.6,6,37,13,35.1,1.71,0.6,0.16,0.46,17.2,2,0,0,5.6,5.6,0.15,+0.4,+0.4,Matches,1.91E+35
727,Andy Diouf,fr FRA,MF,Rennes,fr Ligue 1,18,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,9b5237b1
728,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,23,1997,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,7f622eef
729,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,23,1998,30.2,1,20,2,10,0.66,0.07,0.05,0.5,10.9,0,0,0,2.5,2.5,0.13,-1.5,-1.5,Matches,ad82197c
730,Filippo Distefano,it ITA,FW,Fiorentina,it Serie A,17,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,2110f96c
731,Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34,1987,38,0,1,0,0,0.03,0,0,,20.2,0,0,0,0,0,0.03,0,0,Matches,b6160ad0
732,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,21,2000,25.9,1,12,5,41.7,0.46,0.19,0.08,0.2,12.6,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Matches,b2336681
733,Djené,tg TOG,DF,Getafe,es La Liga,29,1991,34.6,0,4,1,25,0.12,0.03,0,0,19,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,a4971d84
734,Moussa Djenepo,ml MLI,MF,Southampton,eng Premier League,23,1998,5.1,0,11,1,9.1,2.17,0.2,0,0,16.3,0,0,0,1.4,1.4,0.12,-1.4,-1.4,Matches,254147d4
735,Koffi Djidji,ci CIV,DF,Torino,it Serie A,28,1992,19.3,0,10,3,30,0.52,0.16,0,0,17.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,933d3b51
736,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,26,1994,29.9,1,15,7,46.7,0.5,0.23,0.07,0.14,11.3,0,0,0,2.1,2.1,0.14,-1.1,-1.1,Matches,43e7a164
737,Bryan Djile Nokoué,cm CMR,DFMF,Saint-Étienne,fr Ligue 1,19,2002,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,75186a6a
738,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,28,1993,25.1,1,18,3,16.7,0.72,0.12,0.06,0.33,13.6,0,0,0,2.4,2.4,0.13,-1.4,-1.4,Matches,6eee05f1
739,Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,23,1998,23.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,62124972
740,Naïs Djouahra,fr FRA,FWMF,Real Sociedad,es La Liga,21,1999,2.4,0,5,2,40,2.05,0.82,0,0,18,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,3594a357
741,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,29,1992,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,ac295d9e
742,Lewis Dobbin,eng ENG,FWMF,Everton,eng Premier League,18,2003,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,e814e1cf
743,Matt Doherty,ie IRL,DF,Tottenham,eng Premier League,29,1992,9.7,2,16,6,37.5,1.65,0.62,0.13,0.33,14.1,0,0,0,2.7,2.7,0.17,-0.7,-0.7,Matches,d557d734
744,Jeremy Doku,be BEL,FWMF,Rennes,fr Ligue 1,19,2002,5.2,1,5,2,40,0.96,0.38,0.2,0.5,15.1,0,0,0,0.8,0.8,0.17,+0.2,+0.2,Matches,fffea3e5
745,Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,23,1997,16.6,6,38,13,34.2,2.29,0.78,0.11,0.31,16.2,0,2,2,7,5.4,0.14,-1,-1.4,Matches,cc83b74d
746,Jaume Doménech,es ESP,GK,Valencia,es La Liga,30,1990,3.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,c9cb972b
747,Brandon Domingues,fr FRA,MFFW,Troyes,fr Ligue 1,21,2000,2.6,1,4,2,50,1.56,0.78,0.25,0.5,19.6,0,0,0,0.8,0.8,0.2,+0.2,+0.2,Matches,2a00c6c0
748,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,20,2001,3.8,0,1,0,0,0.26,0,0,,7.7,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches,3521abfe
749,Mario Dominguez,es ESP,FW,Valencia,es La Liga,17,2004,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,d709cd5c
750,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,23,1998,22.4,0,21,3,14.3,0.94,0.13,0,0,16.3,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches,20b3a502
751,John Donald,es ESP,DF,Elche,es La Liga,20,2000,2,0,2,1,50,1,0.5,0,0,12.1,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches,5e95c000
752,Lee Dongjun,kr KOR,MFFW,Hertha BSC,de Bundesliga,24,1997,1.3,0,3,1,33.3,2.29,0.76,0,0,12.9,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches,96d0b6f0
753,Anastasios Donis,gr GRE,FWMF,Reims,fr Ligue 1,24,1996,4.1,0,10,0,0,2.43,0,0,,19.4,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Matches,0f26fd24
754,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,08f5afaa
755,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,23,1998,25.8,1,12,1,8.3,0.46,0.04,0.08,1,29.4,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,7f73bdf4
756,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,23,1997,34,5,29,12,41.4,0.85,0.35,0.17,0.42,11.2,0,0,0,3.3,3.3,0.11,+1.7,+1.7,Matches,67ac5bb8
757,Jodel Dossou,bj BEN,FW,Clermont Foot,fr Ligue 1,29,1992,22.3,3,52,17,32.7,2.33,0.76,0.06,0.18,17.1,0,0,0,6.2,6.2,0.12,-3.2,-3.2,Matches,a1dbfcb1
758,Lohann Doucet,fr FRA,MFDF,Nantes,fr Ligue 1,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,dff0c299
759,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,28,1993,28.2,2,34,11,32.4,1.21,0.39,0.06,0.18,17.9,0,0,0,3,3,0.09,-1,-1,Matches,02b29014
760,Cheick Doucouré,ml MLI,MF,Lens,fr Ligue 1,21,2000,32.7,1,31,11,35.5,0.95,0.34,0.03,0.09,22.9,0,0,0,2.1,2.1,0.07,-1.1,-1.1,Matches,ce4f40c7
761,Fodé Doucouré,ml MLI,DFFW,Reims,fr Ligue 1,20,2001,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,1bfe34dc
762,Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,18,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,0512a60a
763,Kamory Doumbia,ml MLI,MFFW,Reims,fr Ligue 1,18,2003,3.9,2,4,2,50,1.02,0.51,0.5,1,17,0,0,0,0.8,0.8,0.21,+1.2,+1.2,Matches,9226aa22
764,Moussa Doumbia,ml MLI,FW,Reims,fr Ligue 1,26,1994,1,0,3,2,66.7,3.14,2.09,0,0,26.7,0,0,1,1,0.3,0.09,-1,-0.3,Matches,6481421d
765,Souleyman Doumbia,ci CIV,DFFW,Angers,fr Ligue 1,24,1996,24.7,0,14,3,21.4,0.57,0.12,0,0,20.6,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches,9daeac61
766,Kieran Dowell,eng ENG,FWMF,Norwich City,eng Premier League,23,1997,10.1,1,8,2,25,0.79,0.2,0.13,0.5,20.8,3,0,0,1.2,1.2,0.15,-0.2,-0.2,Matches,2f6ec02a
767,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,23,1997,6.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,085e71a7
768,Radu Drăgușin,ro ROU,DF,Sampdoria,it Serie A,19,2002,6.9,0,3,0,0,0.44,0,0,,16.1,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,620922ed
769,Radu Drăgușin,ro ROU,DF,Salernitana,it Serie A,19,2002,5.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,620922ed
770,Cody Drameh,eng ENG,DFMF,Leeds United,eng Premier League,19,2001,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,e0d1510a
771,Julian Draxler,de GER,FWMF,Paris S-G,fr Ligue 1,27,1993,6.1,2,9,3,33.3,1.48,0.49,0.22,0.67,15.4,0,0,0,1.5,1.5,0.17,+0.5,+0.5,Matches,1a992676
772,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,fbf83734
773,Domingos Duarte,pt POR,DF,Granada,es La Liga,26,1995,18.7,1,6,1,16.7,0.32,0.05,0.17,1,9.2,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches,93090f69
774,Óscar Duarte,cr CRC,DF,Levante,es La Liga,32,1989,19.7,2,19,5,26.3,0.96,0.25,0.11,0.4,12.6,0,0,0,1.4,1.4,0.07,+0.6,+0.6,Matches,aa0ac32d
775,Rubén Duarte,es ESP,DF,Alavés,es La Liga,25,1995,29.1,0,9,3,33.3,0.31,0.1,0,0,23.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,1fe0492d
776,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,26,1994,19.4,0,10,1,10,0.52,0.05,0,0,20.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,ff0ab48c
777,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,3a949a25
778,Ondrej Duda,sk SVK,MFFW,Köln,de Bundesliga,26,1994,17.9,2,42,14,33.3,2.35,0.78,0.05,0.14,19.8,0,0,0,4.7,4.7,0.12,-2.7,-2.7,Matches,79ca3e23
779,Jeremy Dudziak,tn TUN,MFFW,Greuther Fürth,de Bundesliga,25,1995,12.6,2,16,4,25,1.27,0.32,0.13,0.5,14.3,0,0,0,2.5,2.5,0.17,-0.5,-0.5,Matches,5a8d6540
780,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,29,1992,16,1,22,5,22.7,1.38,0.31,0.05,0.2,11.3,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches,7314bba4
781,Unai Dufur,es ESP,DF,Osasuna,es La Liga,22,1999,1,0,1,0,0,1,0,0,,9,0,0,0,0,0,0.04,0,0,Matches,c261b5dd
782,Denzel Dumfries,nl NED,DF,Inter,it Serie A,25,1996,22.5,5,38,17,44.7,1.69,0.75,0.13,0.29,11.3,0,0,0,6.1,6.1,0.16,-1.1,-1.1,Matches,481c9ece
783,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,29,1991,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,3fe6bd8c
784,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,28,1993,21.5,2,11,3,27.3,0.51,0.14,0.18,0.67,18.5,0,0,0,1.1,1.1,0.1,+0.9,+0.9,Matches,528492ea
785,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,29,1991,28.6,1,19,7,36.8,0.66,0.24,0.05,0.14,10.8,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches,282f75f3
786,Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,29,1992,5.3,0,1,0,0,0.19,0,0,,32.2,0,0,0,0,0,0.02,0,0,Matches,cf623c78
787,Hugo Duro,es ESP,DFMF,Getafe,es La Liga,21,1999,0.1,0,2,1,50,15,7.5,0,0,16.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,37e103f8
788,Hugo Duro,es ESP,FWMF,Valencia,es La Liga,21,1999,20.4,7,31,15,48.4,1.52,0.74,0.23,0.47,11.7,0,0,0,4.2,4.2,0.14,+2.8,+2.8,Matches,37e103f8
789,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,24,1997,33.4,1,12,3,25,0.36,0.09,0.08,0.33,17.1,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Matches,0cbc8baa
790,Paulo Dybala,ar ARG,FWMF,Juventus,it Serie A,27,1993,22.9,10,97,36,37.1,4.24,1.57,0.09,0.25,23,10,1,2,8,6.5,0.07,+2.0,+2.5,Matches,e0921a4f
791,Edin Džeko,ba BIH,FW,Inter,it Serie A,35,1986,27.4,13,87,37,42.5,3.17,1.35,0.15,0.35,11.2,0,0,0,14.9,14.9,0.17,-1.9,-1.9,Matches,3bb7f478
792,Enzo Ebosse,cm CMR,DF,Angers,fr Ligue 1,22,1999,21,0,3,0,0,0.14,0,0,,17.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,9ba7b4fa
793,Tyronne Ebuehi,ng NGA,DF,Venezia,it Serie A,25,1995,12.6,0,7,1,14.3,0.55,0.08,0,0,14.1,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches,6af30900
794,Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,3bb7b8b4
795,Éderson,br BRA,MF,Salernitana,it Serie A,22,1999,12.7,2,21,9,42.9,1.65,0.71,0.1,0.22,18.9,0,0,0,2.3,2.3,0.11,-0.3,-0.3,Matches,a9202def
796,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,23,1998,17.4,6,39,17,43.6,2.24,0.98,0.13,0.29,13.3,0,1,1,7.1,6.3,0.16,-1.1,-1.3,Matches,0562b7f1
797,CJ Egan-Riley,eng ENG,DF,Manchester City,eng Premier League,18,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,d313e8ff
798,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,24,1996,24.4,1,23,6,26.1,0.94,0.25,0.04,0.17,21.8,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches,beb882a8
799,Lilian Egloff,de GER,MFDF,Stuttgart,de Bundesliga,18,2002,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,2f7fec15
800,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,26,1995,7.6,0,6,0,0,0.79,0,0,,24.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,76b2817e
801,Julian Eitschberger,de GER,DF,Hertha BSC,de Bundesliga,17,2004,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,943b9602
802,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,32,1989,18.2,1,14,2,14.3,0.77,0.11,0.07,0.5,15.2,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches,f503ea63
803,Hugo Ekitike,fr FRA,FW,Reims,fr Ligue 1,19,2002,14.1,10,29,16,55.2,2.05,1.13,0.31,0.56,14.4,0,1,2,7,5.3,0.19,+3.0,+3.7,Matches,5b92d896
804,Jurgen Ekkelenkamp,nl NED,MFFW,Hertha BSC,de Bundesliga,21,2000,8,3,14,4,28.6,1.75,0.5,0.21,0.75,14.6,0,0,0,1.7,1.7,0.12,+1.3,+1.3,Matches,73d6a176
805,Caleb Ekuban,gh GHA,FWMF,Genoa,it Serie A,27,1994,19.1,1,38,7,18.4,1.99,0.37,0.03,0.14,14.7,0,0,0,4.1,4.1,0.11,-3.1,-3.1,Matches,7afbd2c3
806,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,19,2002,13.5,2,21,7,33.3,1.56,0.52,0.1,0.29,15.7,0,0,0,2.7,2.7,0.13,-0.7,-0.7,Matches,2fba6108
807,Alberth Elis,hn HON,FWMF,Bordeaux,fr Ligue 1,25,1996,15.7,9,30,11,36.7,1.92,0.7,0.3,0.82,13.9,0,0,1,7,6.2,0.21,+2.0,+2.8,Matches,104b4ad3
808,Harvey Elliott,eng ENG,MF,Liverpool,eng Premier League,18,2003,3.8,0,10,1,10,2.6,0.26,0,0,18.5,0,0,0,1.1,1.1,0.12,-1.1,-1.1,Matches,c8387671
809,Elif Elmas,mk MKD,FWMF,Napoli,it Serie A,21,1999,18,3,33,11,33.3,1.83,0.61,0.09,0.27,18.3,0,0,0,2.9,2.9,0.09,+0.1,+0.1,Matches,cf007308
810,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,29,1992,9,0,8,2,25,0.89,0.22,0,0,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,47a34c4f
811,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,27,1994,23.4,4,14,7,50,0.6,0.3,0.29,0.57,13.7,0,0,0,1.8,1.8,0.13,+2.2,+2.2,Matches,f7dc2ae5
812,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24,1996,27,1,13,1,7.7,0.48,0.04,0.08,1,10,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches,48035304
813,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,18,2003,19.8,10,43,20,46.5,2.17,1.01,0.23,0.5,12.9,0,0,0,7.3,7.3,0.17,+2.7,+2.7,Matches,0d7b6576
814,Mohamed Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,26,1994,22.7,4,43,17,39.5,1.9,0.75,0.09,0.24,14.7,0,0,0,6.1,6.1,0.15,-2.1,-2.1,Matches,68dc0dac
815,Adri Embarba,es ESP,FWMF,Espanyol,es La Liga,29,1992,22.1,0,49,16,32.7,2.22,0.73,0,0,23.1,15,0,0,3.7,3.7,0.08,-3.7,-3.7,Matches,db8f0eba
816,Breel Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,24,1997,24.1,9,48,23,47.9,1.99,0.96,0.19,0.39,13.8,0,0,0,8.7,8.7,0.19,+0.3,+0.3,Matches,0b4f388a
817,Emerson,br BRA,DFMF,Tottenham,eng Premier League,22,1999,25.4,1,15,4,26.7,0.59,0.16,0.07,0.25,14.6,0,0,0,1.8,1.8,0.12,-0.8,-0.8,Matches,df8b52a5
818,Emerson,br BRA,DF,Barcelona,es La Liga,22,1999,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,df8b52a5
819,Renaud Emond,be BEL,FWMF,Nantes,fr Ligue 1,29,1991,2.1,0,1,0,0,0.47,0,0,,49.6,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches,5c9ac7f0
820,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,24,1997,14.2,5,36,13,36.1,2.54,0.92,0.11,0.31,11.9,0,1,1,6.5,5.7,0.16,-1.5,-1.7,Matches,04e17fd5
821,Keita Endo,jp JPN,MF,Union Berlin,de Bundesliga,23,1997,0.6,0,2,1,50,3.27,1.64,0,0,17.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,1a83027b
822,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,28,1993,32.2,4,45,16,35.6,1.4,0.5,0.09,0.25,16.3,0,0,0,5.8,5.5,0.12,-1.8,-1.5,Matches,c149016b
823,Christian Eriksen,dk DEN,MF,Brentford,eng Premier League,29,1992,10.4,1,22,8,36.4,2.11,0.77,0.05,0.13,24.6,5,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches,980522ec
824,Martin Erlic,hr CRO,DF,Spezia,it Serie A,23,1998,28.6,2,15,3,20,0.52,0.1,0.13,0.67,10.1,0,0,0,2.9,2.9,0.2,-0.9,-0.9,Matches,0fee6bda
825,Gonzalo Escalante,ar ARG,MF,Lazio,it Serie A,28,1993,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,3f79a1c8
826,Gonzalo Escalante,ar ARG,MF,Alavés,es La Liga,28,1993,14.4,5,16,9,56.3,1.11,0.62,0.31,0.56,12.2,0,0,0,2.7,2.7,0.17,+2.3,+2.3,Matches,3f79a1c8
827,Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,3.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,67669ce7
828,Sergio Escudero,es ESP,DFMF,Granada,es La Liga,31,1989,15.9,2,21,4,19,1.32,0.25,0.1,0.5,27.1,4,0,0,1.1,1.1,0.05,+0.9,+0.9,Matches,b0616e3d
829,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,29,1992,37,2,27,7,25.9,0.73,0.19,0.07,0.29,20.7,0,0,0,1.8,1.6,0.06,+0.2,+0.4,Matches,db001fa9
830,Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,83e0eeb4
831,Estanis,es ESP,FW,Barcelona,es La Liga,17,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,ace50e9f
832,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,19,2002,20.6,0,5,1,20,0.24,0.05,0,0,7.5,0,0,0,0.9,0.9,0.17,-0.9,-0.9,Matches,1a066e69
833,Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,23,1998,17.5,0,14,4,28.6,0.8,0.23,0,0,19.1,0,0,0,1,1,0.07,-1,-1,Matches,d38fdf53
834,Oghenekaro Etebo,ng NGA,MF,Watford,eng Premier League,25,1995,4.5,0,3,0,0,0.67,0,0,,31,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,b579e83d
835,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,33,1988,15,1,3,2,66.7,0.2,0.13,0.33,0.5,5.6,0,0,0,0.7,0.7,0.24,+0.3,+0.3,Matches,f8fcd2a5
836,Eberechi Eze,eng ENG,MFFW,Crystal Palace,eng Premier League,23,1998,6.7,1,10,1,10,1.49,0.15,0.1,1,20.8,1,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,ae4fc6a4
837,Abdessamad Ezzalzouli,ma MAR,FW,Barcelona,es La Liga,19,2001,6.4,1,16,4,25,2.48,0.62,0.06,0.25,16.5,0,0,0,1.8,1.8,0.11,-0.8,-0.8,Matches,bed68338
838,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,9328b835
839,Fabinho,br BRA,MF,Liverpool,eng Premier League,27,1993,25.7,5,19,7,36.8,0.74,0.27,0.16,0.43,19.9,2,2,2,4,2.5,0.15,+1.0,+0.5,Matches,7f3b388c
840,Fábio,br BRA,DF,Nantes,fr Ligue 1,31,1990,18.5,0,11,1,9.1,0.59,0.05,0,0,17.7,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,bc7b4580
841,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,34,1987,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,33508c78
842,Wout Faes,be BEL,DF,Reims,fr Ligue 1,23,1998,37,4,22,9,40.9,0.59,0.24,0.18,0.44,13.6,0,0,0,2.4,2.4,0.11,+1.6,+1.6,Matches,9c221d14
843,Wahidullah Faghir,dk DEN,FW,Stuttgart,de Bundesliga,18,2003,1.4,1,5,1,20,3.66,0.73,0.2,1,17.3,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches,93c9e7d9
844,Romain Faivre,fr FRA,FWMF,Lyon,fr Ligue 1,23,1998,9.9,3,20,6,30,2.02,0.61,0.15,0.5,18.4,1,0,0,2,2,0.1,+1.0,+1.0,Matches,745ca0a3
845,Romain Faivre,fr FRA,MF,Brest,fr Ligue 1,23,1998,19.9,7,32,12,37.5,1.6,0.6,0.06,0.17,23.1,5,5,5,6.9,3,0.09,+0.1,-1,Matches,745ca0a3
846,Radamel Falcao,co COL,FW,Rayo Vallecano,es La Liga,35,1986,9.3,6,33,15,45.5,3.54,1.61,0.18,0.4,13.4,2,0,0,5.4,5.4,0.16,+0.6,+0.6,Matches,66116290
847,Diego Falcinelli,it ITA,FW,Bologna,it Serie A,30,1991,0.7,0,5,0,0,6.82,0,0,,15.6,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches,a39b9ef6
848,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,26,1995,9.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,9f5a610b
849,Fali,es ESP,DFMF,Cádiz,es La Liga,27,1993,20,0,14,0,0,0.7,0,0,,16.9,2,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches,72a84002
850,Paolo Faragò,it ITA,MF,Cagliari,it Serie A,28,1993,0.2,0,2,1,50,11.25,5.63,0,0,13.6,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches,9085dd7c
851,Omar Faraj,se SWE,FW,Levante,es La Liga,19,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,de627c8a
852,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,29,1991,28.6,4,30,9,30,1.05,0.31,0.13,0.44,14.1,0,0,0,3.2,3.2,0.11,+0.8,+0.8,Matches,aae9d04a
853,Mohamed Fares,dz ALG,DFFW,Genoa,it Serie A,25,1996,6.5,2,13,3,23.1,1.99,0.46,0.15,0.67,14.2,0,0,0,1.3,1.3,0.1,+0.7,+0.7,Matches,b7a5bc86
854,Diego Farias,br BRA,MFFW,Cagliari,it Serie A,31,1990,0.7,0,1,0,0,1.36,0,0,,23.4,0,0,0,0,0,0.04,0,0,Matches,157d29b6
