Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,40,26,22,15,3,27,16,11,32,72,116,1
104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,0,0,0,0,0,1,0,1,1,1,3,1
105,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33,23,17,5,9,9,19,1,18,3,26,14,0
106,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,12.6,24,18,7,10,7,13,0,13,1,25,8,0
107,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,23,1998,27.8,46,30,9,25,12,26,1,25,20,66,5,0
108,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,12,13,6,5,5,3,18,1,17,17,30,4,0
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,55,34,35,18,2,30,13,17,27,82,74,0
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,62,37,19,32,11,35,5,30,32,94,18,0
111,Mattia Aramu,it ITA,MFFW,Venezia,it Serie A,26,1995,23.3,20,15,5,9,6,20,2,18,8,28,19,0
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,45,25,18,21,6,24,4,20,33,78,21,0
113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,22,14,17,5,0,17,10,7,27,49,105,2
114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,41,23,29,12,0,37,20,17,23,64,66,1
115,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,20,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0
116,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1,0,0,0,0,0,0,0,0,0,0,1,0
117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,3,3,2,1,0,0,0,0,0,3,2,1
118,Matias Arezo,uy URU,FWMF,Granada,es La Liga,18,2002,1.8,5,3,2,1,2,1,0,1,1,6,1,0
119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,12,5,8,3,1,8,4,4,5,17,10,0
120,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,10,4,2,2,6,13,1,12,3,13,6,0
121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,27,19,15,6,6,10,1,9,8,35,15,0
122,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,29.9,17,9,1,11,5,13,2,11,7,24,17,0
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,37,20,19,16,2,43,15,28,37,74,55,0
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4,0,0,0,0,0,0,0,0,0,0,4,0
125,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,35,20,15,16,4,17,4,13,13,48,23,1
126,Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,9,5,2,5,2,4,1,3,1,10,8,0
127,Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,1998,5.2,14,6,6,5,3,6,0,6,4,18,7,0
128,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,26,1994,17.9,11,6,3,6,2,14,1,13,7,18,7,0
129,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,93,54,50,37,6,31,6,25,41,134,42,0
130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6,0,0,0,0,0,0,0,0,1,1,6,0
131,Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0
132,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,25,1996,19.2,12,8,6,4,2,8,1,7,12,24,6,1
133,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,0,0,0,0,0,1,0,1,1,1,1,0
134,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,18,6,7,11,0,14,7,7,15,33,15,0
135,Fisnik Asllani,xk KVX,MFFW,Hoffenheim,de Bundesliga,18,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0
136,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15,18,9,9,8,1,16,7,9,19,37,15,1
137,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,34.3,14,7,1,5,8,23,2,21,11,25,19,0
138,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,2000,6.8,15,10,11,3,1,3,1,2,11,26,19,0
139,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,8.7,13,6,4,5,4,14,2,12,8,21,16,0
140,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,1996,12.7,29,19,17,10,2,13,2,11,32,61,21,0
141,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,1989,11.5,11,5,6,4,1,12,1,11,0,11,4,0
142,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32,1989,12,2,2,0,1,1,9,1,8,2,4,4,0
143,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,28.4,3,1,3,0,0,0,0,0,2,5,17,2
144,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,1994,26.6,36,20,22,8,6,19,4,15,29,65,68,1
145,Jean-Kévin Augustin,fr FRA,FWMF,Nantes,fr Ligue 1,24,1997,0.9,1,0,0,0,1,1,0,1,0,1,0,0
146,Ludwig Augustinsson,se SWE,DFFW,Sevilla,es La Liga,27,1994,8.8,18,14,11,3,4,10,3,7,5,23,21,0
147,Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,1992,11.2,14,9,11,2,1,14,7,7,11,25,25,0
148,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,27,1994,20.8,17,7,6,7,4,14,2,12,13,30,15,1
149,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24.2,11,7,3,6,2,11,2,9,2,13,29,0
150,Ramzi Aya,it ITA,DF,Salernitana,it Serie A,30,1990,1.5,1,1,1,0,0,0,0,0,0,1,4,0
151,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,29,1991,22.4,47,30,20,20,7,33,3,30,15,62,15,0
152,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,1994,15,20,12,14,6,0,20,14,6,13,33,57,0
153,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,1991,25.2,74,42,46,23,5,46,25,21,28,102,52,1
154,Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,1990,4.3,6,5,4,2,0,4,2,2,1,7,10,0
155,Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,26,1995,4,3,1,0,2,1,2,0,2,0,3,8,0
156,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31,1989,23,51,28,18,27,6,32,9,23,23,74,65,1
157,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,25,1996,21.5,57,30,31,23,3,19,5,14,24,81,34,1
158,Carlos Bacca,co COL,FW,Granada,es La Liga,34,1986,5.7,4,4,2,0,2,5,0,5,1,5,5,0
159,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12,0,0,0,0,0,0,0,0,1,1,5,0
160,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,2000,10.9,6,5,4,2,0,12,10,2,12,18,48,0
161,Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,1989,31.6,64,37,25,30,9,39,7,32,85,149,43,0
162,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24,0,0,0,0,0,0,0,0,0,0,16,2
163,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,2001,20.4,36,19,21,15,0,18,12,6,28,64,68,1
164,Youssouph Badji,sn SEN,FWMF,Brest,fr Ligue 1,19,2001,1.5,1,0,0,1,0,0,0,0,0,1,0,0
165,Miguel Baeza,es ESP,DF,Celta Vigo,es La Liga,21,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Issa Bah,lu LUX,FW,Venezia,it Serie A,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0
168,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,29,1992,12.2,13,8,2,7,4,15,0,15,3,16,3,0
169,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,23,1997,8.5,17,11,6,8,3,10,1,9,1,18,2,0
170,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27,1994,2.4,5,4,4,0,1,4,2,2,3,8,11,0
171,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,1993,2,3,3,1,2,0,3,1,2,3,6,5,0
172,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,0,0,0,0,0,0,0,0,0,0,4,0
173,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,22,1999,22.8,21,14,5,13,3,11,0,11,3,24,8,0
174,Cédric Bakambu,cd COD,FW,Marseille,fr Ligue 1,30,1991,4,2,0,1,0,1,2,0,2,0,2,1,0
175,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,3.4,15,9,12,3,0,5,4,1,11,26,16,0
176,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,1994,5.6,19,13,9,7,3,8,1,7,9,28,10,2
177,Mitchel Bakker,nl NED,DF,Leverkusen,de Bundesliga,21,2000,20.2,33,22,16,12,5,13,2,11,23,56,42,3
178,Ridle Baku,de GER,DFFW,Wolfsburg,de Bundesliga,23,1998,27.2,62,37,30,24,8,43,1,42,21,83,52,1
179,Dilane Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,18,2002,0.5,1,1,0,1,0,0,0,0,0,1,1,0
180,Tommaso Baldanzi,it ITA,FW,Empoli,it Serie A,18,2003,0.2,0,0,0,0,0,1,0,1,0,0,0,0
181,Alejandro Balde,es ESP,DFFW,Barcelona,es La Liga,17,2003,2.1,2,1,1,0,1,2,2,0,1,3,1,0
182,Ibrahima Baldé,fr FRA,FWMF,Lens,fr Ligue 1,18,2003,0.6,0,0,0,0,0,0,0,0,0,0,0,0
183,Keita Baldé,sn SEN,FW,Cagliari,it Serie A,26,1995,13.7,8,4,1,5,2,6,0,6,4,12,6,0
184,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,32,1989,3.1,2,1,1,0,1,2,0,2,2,4,1,0
185,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,33,1988,22.5,33,24,15,15,3,27,4,23,21,54,79,0
186,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,22,1999,10.6,9,6,9,0,0,11,4,7,19,28,30,0
187,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,29,1992,35,45,22,25,11,9,24,5,19,39,84,64,0
188,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,24,1997,5,18,14,5,13,0,6,2,4,3,21,5,0
189,Folarin Balogun,eng ENG,FW,Arsenal,eng Premier League,20,2001,0.8,1,1,0,0,1,1,0,1,0,1,1,0
190,Abdoulaye Bamba,ci CIV,DFFW,Angers,fr Ligue 1,31,1990,5.1,6,5,6,0,0,5,1,4,9,15,13,0
191,Jonathan Bamba,fr FRA,MFFW,Lille,fr Ligue 1,25,1996,27,30,12,13,9,8,24,1,23,21,51,10,0
192,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,27,1993,6.2,1,0,0,1,0,8,2,6,2,3,8,0
193,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,26,1995,21.7,33,20,10,17,6,22,5,17,10,43,37,2
194,Mattia Bani,it ITA,DF,Genoa,it Serie A,27,1993,13.5,23,13,17,6,0,19,11,8,20,43,76,0
195,Simon Banza,fr FRA,FW,Lens,fr Ligue 1,24,1996,1.4,2,1,0,0,2,1,0,1,1,3,2,0
196,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,23,1998,10.1,14,4,9,4,1,10,0,10,11,25,12,0
197,Antonín Barák,cz CZE,MFFW,Hellas Verona,it Serie A,26,1994,26,18,8,9,8,1,32,5,27,6,24,26,0
198,Barbero,es ESP,FWMF,Osasuna,es La Liga,22,1998,0.2,0,0,0,0,0,0,0,0,0,0,1,0
199,Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,25,1996,1,0,0,0,0,0,1,1,0,2,2,10,0
200,Barcia,es ESP,DF,Granada,es La Liga,20,2000,0.8,0,0,0,0,0,1,1,0,1,1,0,1
201,Bradley Barcola,fr FRA,FWMF,Lyon,fr Ligue 1,18,2002,2.9,7,4,2,3,2,7,1,6,2,9,1,1
202,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,20,2000,28.8,59,37,38,17,4,33,10,23,51,110,56,0
203,Enis Bardhi,mk MKD,MFFW,Levante,es La Liga,26,1995,18.9,29,12,12,14,3,13,2,11,10,39,7,0
204,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2,0,0,0,0,0,0,0,0,0,0,0,0
205,Keidi Bare,al ALB,MF,Espanyol,es La Liga,23,1997,16.5,27,17,14,12,1,20,10,10,15,42,26,1
206,Nicolò Barella,it ITA,MF,Inter,it Serie A,24,1997,32.4,63,42,17,35,11,26,2,24,21,84,8,2
207,Kike Barja,es ESP,MFFW,Osasuna,es La Liga,24,1997,9.6,15,11,4,7,4,10,1,9,9,24,4,0
