Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,1469,1130,332,17,5,4,50,315,0,0,0,0,1107,7,40
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,1578,1471,101,89,0,32,4,9,0,0,0,0,1284,6,26
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,1701,1678,21,17,1,3,14,4,0,0,0,0,1535,2,29
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,1659,1616,35,25,7,21,37,8,2,0,1,0,1341,8,48
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,7,7,0,0,0,0,1,0,0,0,0,0,3,0,0
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,137,129,6,0,2,0,3,0,0,0,0,0,84,2,6
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,696,627,67,6,5,1,16,2,0,0,0,0,485,2,20
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,226,216,9,5,0,0,0,2,0,0,0,0,191,1,4
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,2043,1955,87,77,1,34,3,1,0,0,0,0,1837,1,6
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,64,61,2,0,0,1,6,2,0,0,0,0,37,1,4
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,1963,1624,333,63,3,30,178,230,40,0,31,0,1543,6,30
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,472,468,2,0,4,5,8,1,0,0,0,0,304,2,22
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,918,882,32,16,1,0,2,14,0,0,0,0,794,4,15
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,101,95,5,0,0,0,5,5,0,0,0,0,73,1,3
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,147,138,8,4,0,0,11,0,4,0,4,0,107,1,12
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14,516,494,17,1,6,0,21,11,1,0,0,0,376,5,27
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,1251,1105,138,48,11,30,114,12,68,38,17,1,906,8,25
