Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
Antonín Barák,cz CZE,MFFW,Hellas Verona,it Serie A,26,1994,26.0,11,47,20,42.6,1.81,0.77,0.15,0.35,15.7,2,4,4
Barbero,es ESP,FWMF,Osasuna,es La Liga,22,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0
Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,25,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0
Barcia,es ESP,DF,Granada,es La Liga,20,2000,0.8,0,0,0,,0.00,0.00,,,,0,0,0
Bradley Barcola,fr FRA,FWMF,Lyon,fr Ligue 1,18,2002,2.9,0,5,2,40.0,1.71,0.68,0.00,0.00,13.0,0,0,0
Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,20,2000,28.8,2,5,2,40.0,0.17,0.07,0.40,1.00,17.2,0,0,0
Enis Bardhi,mk MKD,MFFW,Levante,es La Liga,26,1995,18.9,3,41,8,19.5,2.17,0.42,0.02,0.13,24.3,9,2,2
Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0
Keidi Bare,al ALB,MF,Espanyol,es La Liga,23,1997,16.5,1,4,1,25.0,0.24,0.06,0.25,1.00,13.2,0,0,0
Nicolò Barella,it ITA,MF,Inter,it Serie A,24,1997,32.4,3,68,12,17.6,2.10,0.37,0.04,0.25,20.5,0,0,0
Kike Barja,es ESP,MFFW,Osasuna,es La Liga,24,1997,9.6,2,17,6,35.3,1.77,0.62,0.12,0.33,18.9,0,0,0
Ross Barkley,eng ENG,MFFW,Chelsea,eng Premier League,27,1993,2.0,1,9,4,44.4,4.53,2.01,0.11,0.25,22.3,0,0,0
Aymen Barkok,ma MAR,MFDF,Eint Frankfurt,de Bundesliga,23,1998,1.8,0,2,1,50.0,1.13,0.56,0.00,0.00,30.3,0,0,0
Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,31,1989,9.0,1,15,5,33.3,1.67,0.56,0.00,0.00,17.3,0,1,1
Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23,1997,23.3,6,66,24,36.4,2.83,1.03,0.09,0.25,16.1,0,0,0
Antonio Barragán,es ESP,DF,Elche,es La Liga,34,1987,11.3,0,1,0,0.0,0.09,0.00,0.00,,13.1,0,0,0
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,21,2000,19.9,1,32,10,31.3,1.61,0.50,0.03,0.10,19.5,0,0,0
Ander Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,19,2001,6.1,1,8,2,25.0,1.32,0.33,0.13,0.50,15.2,0,0,0
Jacob Barrett Laursen,dk DEN,DF,Arminia,de Bundesliga,26,1994,18.1,2,8,4,50.0,0.44,0.22,0.25,0.50,26.1,0,0,0
Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,22,1998,23.7,6,71,27,38.0,2.99,1.14,0.08,0.22,21.4,3,0,0
Abdourahmane Barry,fr FRA,DF,Greuther Fürth,de Bundesliga,21,2000,2.3,0,1,0,0.0,0.43,0.00,0.00,,25.9,0,0,0
Marc Bartra,es ESP,DF,Betis,es La Liga,30,1991,22.1,1,15,3,20.0,0.68,0.14,0.07,0.33,16.3,0,0,0
Daniele Baselli,it ITA,MFFW,Torino,it Serie A,29,1992,1.7,0,1,0,0.0,0.60,0.00,0.00,,5.4,0,0,0
Daniele Baselli,it ITA,MF,Cagliari,it Serie A,29,1992,3.2,0,5,0,0.0,1.55,0.00,0.00,,19.0,0,0,0
Toma Bašić,hr CRO,MF,Lazio,it Serie A,24,1996,10.9,0,16,11,68.8,1.47,1.01,0.00,0.00,21.8,2,0,0
Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,24,1996,2.3,0,2,0,0.0,0.86,0.00,0.00,,27.1,1,0,0
