Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Issa Diop,fr FRA,DF,West Ham,eng Premier League,24,1997,11,10,8,5,5,0,4,11,36.4,7,14,13,1,7,17,44,0
Sofiane Diop,fr FRA,MFFW,Monaco,fr Ligue 1,21,2000,22,38,20,12,19,7,15,47,31.9,32,10,0,10,23,61,4,0
Andy Diouf,fr FRA,MF,Rennes,fr Ligue 1,18,2003,0,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,23,1997,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,23,1998,30,42,27,20,21,1,23,39,59.0,16,40,30,10,26,68,75,0
Filippo Distefano,it ITA,FW,Fiorentina,it Serie A,17,2003,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34,1987,38,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,5
Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,21,2000,26,60,39,39,19,2,26,39,66.7,13,26,10,16,24,84,71,0
Djené,tg TOG,DF,Getafe,es La Liga,29,1991,35,44,26,24,16,4,23,34,67.6,11,24,5,19,59,103,109,2
Moussa Djenepo,ml MLI,MF,Southampton,eng Premier League,23,1998,5,9,3,3,5,1,3,11,27.3,8,6,1,5,2,11,6,1
Koffi Djidji,ci CIV,DF,Torino,it Serie A,28,1992,19,48,29,21,23,4,14,18,77.8,4,20,9,11,34,82,60,0
Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,26,1994,30,50,37,33,13,4,18,35,51.4,17,30,13,17,61,111,90,2
Bryan Djile Nokoué,cm CMR,DFMF,Saint-Étienne,fr Ligue 1,19,2002,1,3,3,1,2,0,2,2,100.0,0,1,0,1,1,4,2,0
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,28,1993,25,43,24,21,20,2,29,46,63.0,17,21,11,10,31,74,56,0
Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,23,1998,24,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,2
Naïs Djouahra,fr FRA,FWMF,Real Sociedad,es La Liga,21,1999,2,7,3,2,2,3,4,8,50.0,4,3,0,3,2,9,2,0
Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,29,1992,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
Lewis Dobbin,eng ENG,FWMF,Everton,eng Premier League,18,2003,0,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0
Matt Doherty,ie IRL,DF,Tottenham,eng Premier League,29,1992,10,18,12,5,11,2,8,14,57.1,6,11,2,9,13,31,20,0
Jeremy Doku,be BEL,FWMF,Rennes,fr Ligue 1,19,2002,5,10,5,3,5,2,3,6,50.0,3,4,0,4,3,13,0,0
Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,23,1997,17,9,4,4,3,2,3,9,33.3,6,15,1,14,6,15,17,0
Jaume Doménech,es ESP,GK,Valencia,es La Liga,30,1990,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
Brandon Domingues,fr FRA,MFFW,Troyes,fr Ligue 1,21,2000,3,6,2,2,4,0,2,3,66.7,1,3,0,3,3,9,0,0
Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,20,2001,4,4,1,4,0,0,4,6,66.7,2,2,1,1,4,8,21,0
Mario Dominguez,es ESP,FW,Valencia,es La Liga,17,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,23,1998,22,76,45,36,32,8,32,76,42.1,44,38,9,29,32,108,34,1
John Donald,es ESP,DF,Elche,es La Liga,20,2000,2,7,4,4,2,1,5,8,62.5,3,5,3,2,3,10,3,0
Lee Dongjun,kr KOR,MFFW,Hertha BSC,de Bundesliga,24,1997,1,2,1,0,2,0,1,3,33.3,2,2,0,2,2,4,1,0
Anastasios Donis,gr GRE,FWMF,Reims,fr Ligue 1,24,1996,4,8,7,4,2,2,2,6,33.3,4,3,0,3,0,8,1,0
Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,2
Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,23,1998,26,76,47,47,23,6,30,60,50.0,30,34,12,22,35,111,36,3
Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,23,1997,34,50,30,36,12,2,30,41,73.2,11,34,26,8,13,63,112,4
Jodel Dossou,bj BEN,FW,Clermont Foot,fr Ligue 1,29,1992,22,36,17,15,14,7,15,43,34.9,28,14,0,14,5,41,7,0
Lohann Doucet,fr FRA,MFDF,Nantes,fr Ligue 1,18,2002,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,28,1993,28,75,43,30,37,8,32,71,45.1,39,33,8,25,28,103,32,0
Cheick Doucouré,ml MLI,MF,Lens,fr Ligue 1,21,2000,33,75,43,34,34,7,36,80,45.0,44,30,7,23,68,143,24,0
Fodé Doucouré,ml MLI,DFFW,Reims,fr Ligue 1,20,2001,2,12,9,9,3,0,9,11,81.8,2,1,0,1,4,16,6,0
Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,18,2003,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Kamory Doumbia,ml MLI,MFFW,Reims,fr Ligue 1,18,2003,4,8,2,2,5,1,5,13,38.5,8,9,3,6,3,11,3,0
Moussa Doumbia,ml MLI,FW,Reims,fr Ligue 1,26,1994,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Souleyman Doumbia,ci CIV,DFFW,Angers,fr Ligue 1,24,1996,25,30,20,16,9,5,13,27,48.1,14,25,4,21,39,69,51,0
Kieran Dowell,eng ENG,FWMF,Norwich City,eng Premier League,23,1997,10,18,7,8,7,3,9,32,28.1,23,10,1,9,7,25,4,0
Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,23,1997,6,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,2
Radu Drăgușin,ro ROU,DF,Sampdoria,it Serie A,19,2002,7,4,3,2,2,0,2,6,33.3,4,8,4,4,10,14,33,0
Radu Drăgușin,ro ROU,DF,Salernitana,it Serie A,19,2002,5,5,4,2,3,0,4,10,40.0,6,7,3,4,13,18,17,0
Cody Drameh,eng ENG,DFMF,Leeds United,eng Premier League,19,2001,1,4,2,3,1,0,1,3,33.3,2,0,0,0,1,5,4,0
Julian Draxler,de GER,FWMF,Paris S-G,fr Ligue 1,27,1993,6,3,2,0,3,0,0,4,0.0,4,3,0,3,5,8,3,0
Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,9,0
Domingos Duarte,pt POR,DF,Granada,es La Liga,26,1995,19,18,14,9,9,0,6,11,54.5,5,27,20,7,22,40,82,0
Óscar Duarte,cr CRC,DF,Levante,es La Liga,32,1989,20,18,8,12,6,0,8,23,34.8,15,18,9,9,24,42,102,0
Rubén Duarte,es ESP,DF,Alavés,es La Liga,25,1995,29,76,47,43,27,6,43,85,50.6,42,40,6,34,57,133,82,0
Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,26,1994,19,43,27,22,14,7,27,46,58.7,19,27,3,24,22,65,35,1
Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,8,2
Ondrej Duda,sk SVK,MFFW,Köln,de Bundesliga,26,1994,18,23,16,4,12,7,6,23,26.1,17,14,2,12,17,40,9,0
Jeremy Dudziak,tn TUN,MFFW,Greuther Fürth,de Bundesliga,25,1995,13,17,6,5,8,4,3,14,21.4,11,8,0,8,10,27,4,0
Shane Duffy,ie IRL,DF,Brighton,eng Premier League,29,1992,16,15,12,12,3,0,8,14,57.1,6,24,18,6,16,31,76,1
Unai Dufur,es ESP,DF,Osasuna,es La Liga,22,1999,1,0,0,0,0,0,0,0,,0,1,0,1,4,4,4,0
Denzel Dumfries,nl NED,DF,Inter,it Serie A,25,1996,23,32,12,9,14,9,16,32,50.0,16,15,6,9,9,41,26,0
Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,29,1991,2,7,3,3,4,0,5,8,62.5,3,5,0,5,3,10,5,0
Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,28,1993,22,34,19,13,16,5,11,32,34.4,21,32,3,29,10,44,7,0
Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,29,1991,29,10,8,5,5,0,5,11,45.5,6,32,28,4,27,37,113,3
Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,29,1992,5,13,7,6,5,2,10,13,76.9,3,8,1,7,10,23,7,0
Hugo Duro,es ESP,DFMF,Getafe,es La Liga,21,1999,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hugo Duro,es ESP,FWMF,Valencia,es La Liga,21,1999,20,25,19,11,13,1,15,38,39.5,23,24,2,22,4,29,20,1
Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,24,1997,33,71,44,43,21,7,42,90,46.7,48,40,5,35,53,124,92,0
Paulo Dybala,ar ARG,FWMF,Juventus,it Serie A,27,1993,23,30,13,7,14,9,8,35,22.9,27,19,0,19,9,39,4,3
Edin Džeko,ba BIH,FW,Inter,it Serie A,35,1986,27,14,8,7,4,3,8,25,32.0,17,22,5,17,4,18,35,0
Enzo Ebosse,cm CMR,DF,Angers,fr Ligue 1,22,1999,21,25,14,19,6,0,11,19,57.9,8,19,9,10,15,40,42,0
Tyronne Ebuehi,ng NGA,DF,Venezia,it Serie A,25,1995,13,28,12,16,8,4,10,18,55.6,8,13,3,10,16,44,38,1
Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37,2,1,2,0,0,0,2,0.0,2,0,0,0,0,2,12,0
Éderson,br BRA,MF,Salernitana,it Serie A,22,1999,13,29,18,11,14,4,14,26,53.8,12,11,2,9,19,48,8,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,23,1998,17,16,10,2,7,7,7,21,33.3,14,20,5,15,0,16,18,0
CJ Egan-Riley,eng ENG,DF,Manchester City,eng Premier League,18,2003,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,24,1996,24,48,28,17,25,6,22,50,44.0,28,35,11,24,30,78,32,1
Lilian Egloff,de GER,MFDF,Stuttgart,de Bundesliga,18,2002,0,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,26,1995,8,32,18,27,5,0,15,24,62.5,9,13,4,9,9,41,26,0
Julian Eitschberger,de GER,DF,Hertha BSC,de Bundesliga,17,2004,1,0,0,0,0,0,0,1,0.0,1,1,1,0,2,2,2,0
Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,32,1989,18,43,28,17,21,5,26,56,46.4,30,27,7,20,29,72,25,0
Hugo Ekitike,fr FRA,FW,Reims,fr Ligue 1,19,2002,14,18,10,8,6,4,4,11,36.4,7,9,2,7,6,24,15,0
Jurgen Ekkelenkamp,nl NED,MFFW,Hertha BSC,de Bundesliga,21,2000,8,8,3,2,6,0,2,7,28.6,5,9,2,7,4,12,5,0
Caleb Ekuban,gh GHA,FWMF,Genoa,it Serie A,27,1994,19,19,12,2,12,5,7,23,30.4,16,19,5,14,9,28,6,0
Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,19,2002,14,26,20,12,12,2,15,29,51.7,14,17,1,16,9,35,7,0
Alberth Elis,hn HON,FWMF,Bordeaux,fr Ligue 1,25,1996,16,19,10,5,5,9,11,25,44.0,14,9,0,9,7,26,10,0
Harvey Elliott,eng ENG,MF,Liverpool,eng Premier League,18,2003,4,3,0,1,1,1,0,6,0.0,6,8,1,7,4,7,2,0
Elif Elmas,mk MKD,FWMF,Napoli,it Serie A,21,1999,18,25,15,10,10,5,12,28,42.9,16,13,2,11,8,33,17,0
Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,29,1992,9,16,8,10,5,1,7,12,58.3,5,7,1,6,14,30,13,0
Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,27,1994,23,21,14,16,5,0,10,20,50.0,10,19,13,6,29,50,86,0
Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24,1996,27,40,24,23,17,0,22,36,61.1,14,33,22,11,34,74,83,1
Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,18,2003,20,18,10,9,6,3,6,16,37.5,10,7,0,7,4,22,4,0
Mohamed Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,26,1994,23,36,17,14,15,7,11,39,28.2,28,23,2,21,12,48,28,0
Adri Embarba,es ESP,FWMF,Espanyol,es La Liga,29,1992,22,44,29,22,15,7,26,69,37.7,43,35,3,32,19,63,30,0
Breel Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,24,1997,24,17,11,2,12,3,4,9,44.4,5,14,2,12,6,23,8,0
Emerson,br BRA,DFMF,Tottenham,eng Premier League,22,1999,25,72,47,50,16,6,36,67,53.7,31,25,2,23,22,94,92,1
Emerson,br BRA,DF,Barcelona,es La Liga,22,1999,1,3,3,2,1,0,1,2,50.0,1,1,0,1,2,5,1,0
Renaud Emond,be BEL,FWMF,Nantes,fr Ligue 1,29,1991,2,1,0,0,1,0,0,4,0.0,4,2,1,1,0,1,1,0
Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,24,1997,14,10,5,5,2,3,4,11,36.4,7,9,1,8,4,14,18,0
Keita Endo,jp JPN,MF,Union Berlin,de Bundesliga,23,1997,1,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,28,1993,32,73,41,34,34,5,31,72,43.1,41,43,12,31,30,103,64,0
Christian Eriksen,dk DEN,MF,Brentford,eng Premier League,29,1992,10,13,6,4,5,4,8,17,47.1,9,9,1,8,9,22,14,0
Martin Erlic,hr CRO,DF,Spezia,it Serie A,23,1998,29,28,16,18,10,0,10,18,55.6,8,54,39,15,28,56,122,1
Gonzalo Escalante,ar ARG,MF,Lazio,it Serie A,28,1993,0,1,0,1,0,0,1,1,100.0,0,2,1,1,1,2,0,0
Gonzalo Escalante,ar ARG,MF,Alavés,es La Liga,28,1993,14,30,14,9,20,1,13,34,38.2,21,27,2,25,21,51,28,0
Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
Sergio Escudero,es ESP,DFMF,Granada,es La Liga,31,1989,16,46,24,25,17,4,26,54,48.1,28,18,3,15,26,72,35,0
Alfonso Espino,uy URU,DF,Cádiz,es La Liga,29,1992,37,107,63,58,39,10,44,112,39.3,68,45,10,35,54,161,87,1
Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Estanis,es ESP,FW,Barcelona,es La Liga,17,2003,0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,19,2002,21,27,18,22,4,1,15,27,55.6,12,31,24,7,22,49,69,1
Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,23,1998,18,36,22,20,11,5,17,24,70.8,7,13,5,8,25,61,29,2
Oghenekaro Etebo,ng NGA,MF,Watford,eng Premier League,25,1995,5,11,8,7,4,0,3,8,37.5,5,3,1,2,5,16,5,0
Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,33,1988,15,24,14,14,8,2,14,22,63.6,8,17,13,4,20,44,59,0
Eberechi Eze,eng ENG,MFFW,Crystal Palace,eng Premier League,23,1998,7,10,6,5,2,3,6,11,54.5,5,4,1,3,5,15,1,0
Abdessamad Ezzalzouli,ma MAR,FW,Barcelona,es La Liga,19,2001,6,17,9,9,5,3,5,8,62.5,3,3,0,3,9,26,0,0
Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,0
Fabinho,br BRA,MF,Liverpool,eng Premier League,27,1993,26,46,25,17,23,6,24,70,34.3,46,33,10,23,39,85,25,1
Fábio,br BRA,DF,Nantes,fr Ligue 1,31,1990,19,61,40,31,23,7,36,74,48.6,38,29,7,22,35,96,31,1
Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,34,1987,0,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,0,0
Wout Faes,be BEL,DF,Reims,fr Ligue 1,23,1998,37,40,24,30,9,1,25,33,75.8,8,47,37,10,53,93,169,2
Wahidullah Faghir,dk DEN,FW,Stuttgart,de Bundesliga,18,2003,1,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0
Romain Faivre,fr FRA,FWMF,Lyon,fr Ligue 1,23,1998,10,10,4,2,6,2,4,13,30.8,9,4,0,4,3,13,2,0
Romain Faivre,fr FRA,MF,Brest,fr Ligue 1,23,1998,20,30,18,12,13,5,12,30,40.0,18,11,0,11,13,43,10,0
Radamel Falcao,co COL,FW,Rayo Vallecano,es La Liga,35,1986,9,2,1,0,1,1,1,4,25.0,3,4,1,3,2,4,11,0
Diego Falcinelli,it ITA,FW,Bologna,it Serie A,30,1991,1,2,2,2,0,0,0,0,,0,0,0,0,1,3,1,0
Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,26,1995,10,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0
Fali,es ESP,DFMF,Cádiz,es La Liga,27,1993,20,32,19,24,8,0,17,32,53.1,15,26,16,10,24,56,82,0
Paolo Faragò,it ITA,MF,Cagliari,it Serie A,28,1993,0,1,1,1,0,0,0,0,,0,2,0,2,0,1,0,0
Omar Faraj,se SWE,FW,Levante,es La Liga,19,2002,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,29,1991,29,62,40,38,21,3,29,62,46.8,33,38,5,33,23,85,62,1
Mohamed Fares,dz ALG,DFFW,Genoa,it Serie A,25,1996,7,4,2,1,3,0,0,4,0.0,4,8,3,5,8,12,11,0
Diego Farias,br BRA,MFFW,Cagliari,it Serie A,31,1990,1,1,1,0,1,0,1,3,33.3,2,0,0,0,0,1,0,0
Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,1998,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Ömer Faruk Beyaz,tr TUR,DFMF,Stuttgart,de Bundesliga,17,2003,1,4,3,1,3,0,1,5,20.0,4,0,0,0,2,6,0,0
Noah Fatar,fr FRA,DFMF,Angers,fr Ligue 1,19,2002,0,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,0,0
Ansu Fati,es ESP,FW,Barcelona,es La Liga,18,2002,4,3,2,0,2,1,1,1,100.0,0,4,0,4,1,4,0,0
Julien Faussurier,fr FRA,MFDF,Brest,fr Ligue 1,34,1987,5,10,6,3,3,4,6,13,46.2,7,12,1,11,5,15,6,0
Andrea Favilli,it ITA,FW,Genoa,it Serie A,24,1997,0,1,1,0,0,1,0,0,,0,0,0,0,0,1,2,0
Federico Fazio,ar ARG,DF,Salernitana,it Serie A,34,1987,16,17,11,10,6,1,9,12,75.0,3,21,16,5,27,44,67,1
Aleix Febas,es ESP,MF,Mallorca,es La Liga,25,1996,1,4,1,0,4,0,2,4,50.0,2,0,0,0,0,4,0,0
Adrian Fein,de GER,MF,Greuther Fürth,de Bundesliga,22,1999,0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0
Nabil Fekir,fr FRA,MF,Betis,es La Liga,28,1993,31,43,29,5,25,13,7,36,19.4,29,14,0,14,7,50,7,0
Felipe,br BRA,DF,Atlético Madrid,es La Liga,32,1989,17,20,15,11,8,1,8,18,44.4,10,17,11,6,28,48,77,0
Luiz Felipe,it ITA,DF,Lazio,it Serie A,24,1997,28,41,23,21,16,4,20,34,58.8,14,40,33,7,33,74,102,1
João Félix,pt POR,FWMF,Atlético Madrid,es La Liga,21,1999,14,5,2,1,4,0,1,5,20.0,4,4,1,3,7,12,8,0
Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,23,1997,9,9,6,6,3,0,6,11,54.5,5,13,8,5,9,18,33,0
Kiko Femenía,es ESP,DF,Watford,eng Premier League,30,1991,24,35,22,23,10,2,21,37,56.8,16,24,8,16,37,72,51,0
Evan Ferguson,ie IRL,MF,Brighton,eng Premier League,16,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nathan Ferguson,eng ENG,DF,Crystal Palace,eng Premier League,20,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,26,1994,35,54,28,26,22,6,26,91,28.6,65,36,0,36,17,71,42,2
Edimilson Fernandes,ch SUI,MFFW,Arminia,de Bundesliga,25,1996,3,2,0,1,1,0,1,4,25.0,3,2,2,0,2,4,6,0
Aitor Fernández,es ESP,GK,Levante,es La Liga,30,1991,13,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,7,0
Álex Fernández,es ESP,MF,Cádiz,es La Liga,28,1992,23,47,31,22,17,8,21,61,34.4,40,30,7,23,30,77,31,0
Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,1998,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,2
Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,32,1989,6,3,0,3,0,0,2,5,40.0,3,10,10,0,4,7,28,0
Fernandinho,br BRA,MFDF,Manchester City,eng Premier League,36,1985,11,21,10,7,10,4,9,27,33.3,18,8,2,6,8,29,13,1
Fernando,br BRA,MFDF,Sevilla,es La Liga,34,1987,21,24,17,14,9,1,12,33,36.4,21,21,13,8,29,53,32,2
Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,27,1994,18,40,22,28,9,3,19,33,57.6,14,31,22,9,39,79,63,1
Salvador Ferrer,es ESP,DFMF,Spezia,it Serie A,23,1998,17,32,18,15,9,8,12,25,48.0,13,24,12,12,18,50,46,0
Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,29,1992,32,55,35,28,23,4,29,87,33.3,58,21,5,16,30,85,35,0
Riccardo Fiamozzi,it ITA,DF,Empoli,it Serie A,28,1993,7,7,5,2,2,3,2,4,50.0,2,6,5,1,7,14,12,0
Fidel,es ESP,MF,Elche,es La Liga,31,1989,25,44,23,18,17,9,14,57,24.6,43,9,1,8,7,51,20,0
Karol Fila,pl POL,DF,Strasbourg,fr Ligue 1,23,1998,6,10,8,5,4,1,4,8,50.0,4,7,2,5,4,14,6,0
Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,32,1989,3,3,1,0,2,1,2,4,50.0,2,5,1,4,2,5,8,0
Luca Fiordilino,it ITA,MF,Venezia,it Serie A,25,1996,7,21,13,11,6,4,13,27,48.1,14,14,4,10,11,32,12,0
Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,31,1990,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,29,1991,11,23,14,5,8,10,3,16,18.8,13,20,0,20,4,27,3,0
Junior Firpo,es ESP,DFMF,Leeds United,eng Premier League,24,1996,19,60,28,29,26,5,31,59,52.5,28,22,6,16,24,84,38,0
Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,1993,32,0,0,0,0,0,0,2,0.0,2,1,0,1,2,2,10,1
Ashley Fletcher,eng ENG,FW,Watford,eng Premier League,25,1995,0,2,1,1,1,0,1,1,100.0,0,1,1,0,0,2,0,0
Alexis Flips,fr FRA,MFDF,Reims,fr Ligue 1,21,2000,12,37,21,21,9,7,22,45,48.9,23,21,0,21,24,61,17,0
Alessandro Florenzi,it ITA,DFFW,Milan,it Serie A,30,1991,13,28,14,14,7,7,14,32,43.8,18,9,2,7,27,55,10,1
Phil Foden,eng ENG,FW,Manchester City,eng Premier League,21,2000,24,16,8,10,4,2,7,17,41.2,10,9,0,9,11,27,5,0
Mamadou Fofana,ml MLI,DF,Metz,fr Ligue 1,23,1998,0,1,1,0,1,0,1,2,50.0,1,2,1,1,1,2,2,0
Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,26,1995,37,27,19,11,13,3,12,58,20.7,46,24,2,22,26,53,17,1
Wesley Fofana,fr FRA,DF,Leicester City,eng Premier League,20,2000,7,12,8,11,1,0,7,11,63.6,4,5,2,3,12,24,26,1
Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,22,1999,24,69,43,19,41,9,29,56,51.8,27,29,7,22,32,101,22,2
Thomas Foket,be BEL,DFFW,Reims,fr Ligue 1,26,1994,25,28,19,12,13,3,18,40,45.0,22,26,4,22,33,61,35,0
Thomas Fontaine,mg MAD,DF,Lorient,fr Ligue 1,30,1991,2,2,0,1,0,1,0,1,0.0,1,3,3,0,2,4,4,0
José Fontán,es ESP,DF,Celta Vigo,es La Liga,21,2000,3,5,3,3,2,0,1,5,20.0,4,3,1,2,10,15,10,0
José Fonte,pt POR,DF,Lille,fr Ligue 1,37,1983,38,23,12,14,7,2,11,25,44.0,14,39,32,7,44,67,159,1
Fernando Forestieri,it ITA,FWMF,Udinese,it Serie A,31,1990,1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
Pablo Fornals,es ESP,FWMF,West Ham,eng Premier League,25,1996,31,54,28,21,21,12,22,84,26.2,62,49,2,47,27,81,16,1
Emil Forsberg,se SWE,MF,RB Leipzig,de Bundesliga,29,1991,19,21,12,2,11,8,7,22,31.8,15,18,0,18,2,23,2,1
Adam Forshaw,eng ENG,MF,Leeds United,eng Premier League,29,1991,17,53,23,21,27,5,21,54,38.9,33,17,1,16,19,72,12,2
Marcus Forss,fi FIN,FWMF,Brentford,eng Premier League,22,1999,2,3,3,0,2,1,2,4,50.0,2,5,0,5,1,4,0,0
Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,1988,19,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,23,2
Philipp Förster,de GER,MFFW,Stuttgart,de Bundesliga,26,1995,11,20,13,4,12,4,11,26,42.3,15,12,1,11,3,23,2,0
Francesco Forte,it ITA,FW,Venezia,it Serie A,28,1993,5,3,2,0,2,1,2,5,40.0,3,1,0,1,0,3,2,0
Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,29,1992,1,2,0,2,0,0,1,2,50.0,1,2,1,1,0,2,4,0
Ben Foster,eng ENG,GK,Watford,eng Premier League,38,1983,26,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,9,4
Tariqe Fosu,gh GHA,DF,Brentford,eng Premier League,25,1995,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Timothy Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,23,1998,2,5,3,3,1,1,4,4,100.0,0,1,0,1,2,7,2,0
Dimitri Foulquier,fr FRA,DF,Granada,es La Liga,28,1993,2,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,2,0
Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,28,1993,26,36,17,17,15,4,21,34,61.8,13,19,3,16,29,65,49,0
